gene,logFC,AveExpr,t,P.Value,adj.P.Val,sig,dir
HMGB2,0.735905172385218,9.91125407354268,11.8813338666941,1.45499940112869e-24,2.29351555599915e-20,TRUE,Up in RA
C1GALT1C1,0.739731204625739,7.21822813983107,11.6636446894332,6.36560689357764e-24,5.01705307317322e-20,TRUE,Up in RA
KDM1A,-0.327421497836652,7.81067081504614,-11.4645658471514,2.44665504027903e-23,1.28555411333061e-19,TRUE,Down in RA
STARD3NL,0.507141421079989,8.39849847715521,11.2661399820643,9.32872355376086e-23,3.67621673444831e-19,TRUE,Up in RA
MAGED1,-0.404184820287306,7.82900565341381,-11.2202222553887,1.2708268029235e-22,4.00640857889663e-19,TRUE,Down in RA
STX7,0.479984406690621,9.60940819385706,10.8728573819343,1.30765123489544e-21,3.4354177359428e-18,TRUE,Up in RA
YPEL5,0.311275808817444,11.0502063649164,10.8099820424952,1.99099997717329e-21,4.48344752002609e-18,TRUE,Up in RA
NAT10,-0.377261333083378,6.28265943657253,-10.771758284285,2.57014808292994e-21,4.79684140325876e-18,TRUE,Down in RA
CSGALNACT2,0.522650753201975,9.26875092962116,10.7622395388136,2.73879164050808e-21,4.79684140325876e-18,TRUE,Up in RA
SRRT,-0.339189755278178,8.89112625829442,-10.7349894027527,3.28507566810489e-21,5.17826477563374e-18,TRUE,Down in RA
MCM3AP,-0.294407467370492,8.59660015836043,-10.6688698187062,5.10524119039045e-21,6.29426477935e-18,TRUE,Down in RA
ZDHHC17,0.64177833063406,9.60133810946474,10.6626523296626,5.32117607032474e-21,6.29426477935e-18,TRUE,Up in RA
C5orf30,0.556649298022943,6.66099183602414,10.6600702531818,5.4135060038446e-21,6.29426477935e-18,TRUE,Up in RA
EVI2A,0.99796299919486,9.91091450972465,10.6552466545417,5.59028782026899e-21,6.29426477935e-18,TRUE,Up in RA
CAPZA2,0.520768902854327,10.6570379278903,10.621217502649,7.01207366644176e-21,7.18320469295149e-18,TRUE,Up in RA
ZNF230,0.784248231296102,5.60356362274135,10.6142961681096,7.34267471533626e-21,7.18320469295149e-18,TRUE,Up in RA
CHMP5,0.72121185034106,8.9950546022964,10.6059359858451,7.76278414425889e-21,7.18320469295149e-18,TRUE,Up in RA
ACTR10,0.265128148046747,9.12796412632132,10.5976535096283,8.20260638667302e-21,7.18320469295149e-18,TRUE,Up in RA
SAMSN1,0.699449813977211,8.87538007341473,10.5762585158579,9.45711090015768e-21,7.84591784837819e-18,TRUE,Up in RA
BCL2A1,1.32309889076438,8.44246701654234,10.553749814846,1.09837692228526e-20,8.3502316152266e-18,TRUE,Up in RA
PEX2,0.695416577661229,8.00923683573059,10.5518349748414,1.1124460059618e-20,8.3502316152266e-18,TRUE,Up in RA
TBC1D15,0.612206303432625,8.3190490329177,10.5424654479693,1.1839202944384e-20,8.38802125796653e-18,TRUE,Up in RA
PPP1R12A,0.518293259367142,10.2844858517463,10.5374666031824,1.22390718095052e-20,8.38802125796653e-18,TRUE,Up in RA
UBAP2,-0.412689845165817,8.0322017628852,-10.4960928598773,1.61096525560256e-20,1.04836656047279e-17,TRUE,Down in RA
UBE2W,0.560271704031573,8.95784232004181,10.4913309314745,1.66270151695868e-20,1.04836656047279e-17,TRUE,Up in RA
KHSRP,-0.409744864546845,9.50350240502074,-10.4806863748016,1.78441572016674e-20,1.08183634603801e-17,TRUE,Down in RA
CHERP,-0.355486785139906,9.42346139384015,-10.4717564510488,1.89334532573272e-20,1.10536305072314e-17,TRUE,Down in RA
RB1CC1,0.541768636684493,9.20871587387587,10.4478855903056,2.21816508764199e-20,1.24874772416074e-17,TRUE,Up in RA
ZNF267,0.957482032655923,8.44707957865676,10.4170881840171,2.7205395692943e-20,1.47875397347538e-17,TRUE,Up in RA
CLEC4D,1.21086896465697,7.18648555658803,10.3664944320313,3.80336590280381e-20,1.99841522419655e-17,TRUE,Up in RA
LYRM5,0.497937563201708,7.45462893569608,10.3226374329148,5.08350616180027e-20,2.5810496820161e-17,TRUE,Up in RA
PTBP1,-0.31616787461295,10.5721244038577,-10.3180594839616,5.23971260702375e-20,2.5810496820161e-17,TRUE,Down in RA
