gene,logFC_unadj,P_unadj,FDR_unadj,logFC_adj,P_adj,FDR_adj,sig_unadjusted,sig_adjusted,status
SMARCA4,-0.563673119762407,1.28388827042245e-11,3.37298846777817e-08,-0.5174804485425,3.14746497737448e-07,0.00231768205953302,TRUE,TRUE,retained
MSTO1,-0.444123622182326,2.36914583885521e-08,1.39346439768189e-06,-0.532537833271159,4.27887483461815e-07,0.00231768205953302,TRUE,TRUE,retained
STARD3NL,0.697482262904324,3.47500635421382e-12,3.2794215301091e-08,0.567802781152976,4.62474033786539e-07,0.00231768205953302,TRUE,TRUE,retained
B3GNT2,0.835376954304917,1.12386865970904e-10,6.82462999576146e-08,0.806475243429674,6.13162923796576e-07,0.00231768205953302,TRUE,TRUE,retained
TRIM23,1.21047811974067,1.17915137837989e-11,3.37298846777817e-08,1.01709477667412,1.03253132323655e-06,0.00231768205953302,TRUE,TRUE,retained
RB1CC1,0.717270012476374,8.74787232951545e-11,6.04796403658505e-08,0.613400918618525,1.10254154037934e-06,0.00231768205953302,TRUE,TRUE,retained
ZNF230,1.09141244519553,2.22311351045061e-11,4.38036728315412e-08,0.883725586479754,1.10498414892342e-06,0.00231768205953302,TRUE,TRUE,retained
TBC1D15,1.00783079918137,5.3994961501183e-12,3.2794215301091e-08,0.717530421452719,1.44019745528845e-06,0.00231768205953302,TRUE,TRUE,retained
C11orf54,0.6151101450154,3.15043739151759e-11,4.96603446024917e-08,0.511837042444749,1.45023262672127e-06,0.00231768205953302,TRUE,TRUE,retained
VCPIP1,0.803090917832283,2.07886394015515e-10,9.63798008490165e-08,0.70014747450266,1.47033055860751e-06,0.00231768205953302,TRUE,TRUE,retained
TTC33,1.30373504909124,8.32182079581071e-12,3.2794215301091e-08,0.979122627268105,1.77547224097373e-06,0.00254425172131536,TRUE,TRUE,retained
MIER1,0.650633388676314,6.28812807475888e-12,3.2794215301091e-08,0.480362215462095,2.42194286573964e-06,0.00278294112644767,TRUE,TRUE,retained
ADARB1,-0.53904705731902,3.60827047643887e-06,4.86545487768229e-05,-0.551357890803588,2.47110563622237e-06,0.00278294112644767,TRUE,TRUE,retained
RNF13,0.43102632236156,1.62252933414547e-08,1.09298845701432e-06,0.45899255986559,2.64992059099479e-06,0.00278294112644767,TRUE,TRUE,retained
TTC31,-0.38904265160304,2.22668733690841e-08,1.36043691828246e-06,-0.417698609713756,2.68411828840824e-06,0.00278294112644767,TRUE,TRUE,retained
MAP4K1,-0.512662265060377,1.25307960598708e-09,2.40881632063102e-07,-0.449056083568745,3.01224786236201e-06,0.00278294112644767,TRUE,TRUE,retained
AK2,-0.240037581650181,2.35310540999251e-05,0.000210630326960318,-0.35408191335927,3.15462459499364e-06,0.00278294112644767,TRUE,TRUE,retained
SIDT2,-0.746981688881147,2.6240756437619e-10,1.11792714520591e-07,-0.554963660870621,3.40829997157658e-06,0.00278294112644767,TRUE,TRUE,retained
ACAD9,-0.443238402202435,4.03593629529552e-06,5.3192695503966e-05,-0.624418336293881,3.73108825244162e-06,0.00278294112644767,TRUE,TRUE,retained
DCHS1,-0.558941258415903,1.9677953809237e-06,3.14907193802034e-05,-0.693573783730923,4.18549030262723e-06,0.00278294112644767,TRUE,TRUE,retained
BCL2A1,1.83658683032758,5.63385131454731e-11,6.04796403658505e-08,1.32964652745549,4.558567569578e-06,0.00278294112644767,TRUE,TRUE,retained
