sample,B_cells_naive_CIBERSORT,B_cells_memory_CIBERSORT,Plasma_cells_CIBERSORT,T_cells_CD8_CIBERSORT,T_cells_CD4_naive_CIBERSORT,T_cells_CD4_memory_resting_CIBERSORT,T_cells_CD4_memory_activated_CIBERSORT,T_cells_follicular_helper_CIBERSORT,T_cells_regulatory_(Tregs)_CIBERSORT,T_cells_gamma_delta_CIBERSORT,NK_cells_resting_CIBERSORT,NK_cells_activated_CIBERSORT,Monocytes_CIBERSORT,Macrophages_M0_CIBERSORT,Macrophages_M1_CIBERSORT,Macrophages_M2_CIBERSORT,Dendritic_cells_resting_CIBERSORT,Dendritic_cells_activated_CIBERSORT,Mast_cells_resting_CIBERSORT,Mast_cells_activated_CIBERSORT,Eosinophils_CIBERSORT,Neutrophils_CIBERSORT,P-value_CIBERSORT,Correlation_CIBERSORT,RMSE_CIBERSORT
GSM389703,0.0221188833645225,0.0149267507707384,0,0.144794488481001,0.0974995829257336,0,0.00267262025713675,0,0.0528815977424143,0.0318505723505299,0.0689843577752601,0,0.284782774828968,0,0,0.00348463641611622,0,0.00220161189976655,0.0197943992518223,0,0,0.25400772393599,0,0.665103413613883,0.74907822178206
GSM389704,0.00495123782041167,0.0115181264080047,0,0.129574743279103,0.0810950735230317,0,0,0,0.065737057981308,0,0.0937277067811102,0,0.212559412536579,0.00133137481174348,0,0.000316058317738158,0,0.000169748447421886,0,0.00805670203143591,0,0.390962758062113,0,0.66183682758916,0.751425701183823
GSM389705,7.74799195357391e-05,0,0,0.115211510654727,0.0262646646776092,0,0,0,0.0781524017298986,0,0.203635999684064,0,0.131912100635796,0.0215271453865591,0,0,0,0.00125901298031263,0.0089002084241625,0,0,0.413059475907336,0,0.624122193146111,0.788778683004197
GSM389706,0.00547642907864453,0,0,0,0.097698219193203,0,0,0,0.0501697717878405,0.036698616649835,0.0998223283160926,0,0.224086687737236,0.0481846226416206,0,0,0,0,0,0.022085533239247,0,0.41577779135628,0,0.62838790847157,0.785507565645479
GSM389707,0.0189014204945058,0.00460051156138502,0,0.0811390189077499,0.114339905713117,0,0,0,0.147584746116959,0.0422704209418667,0.108361414654358,0,0.178825004714931,0,0,0,0,0,0.0208923073984285,0,0,0.2830852494967,0,0.636250041860156,0.772317503066767
GSM389708,0.00950774331312054,0.00947333261210204,0,0.0974031798402317,0.13172481945697,0,0,0,0.0682556955409839,0,0.0845138241443328,0,0.249751422731957,0.00144497671500711,0,0,0,0.00147748391321926,0.00192886103737704,0,0,0.344518660694699,0,0.671002366100019,0.741692762594651
GSM389709,0,0.0061417221769866,0,0.298865968943128,0.00995139041168256,0,0.00282453063032853,0,0.070165653316707,0.0487774763742931,0.121744441345662,0,0.141434216717962,0.003061136886295,0,0.00212254595703229,0,0,0,0,0,0.294910917239923,0,0.629863328030885,0.7778264249215
GSM389710,0.0144761085963298,0.0353105563661808,0,0.0336911424228188,0.160757083316391,0,0,0,0.167697925095651,0,0.124334093439627,0,0.20554502546383,0.00167736060538836,0,0,0,0.00661860127032029,0.0105851324012798,0,0,0.239306971022184,0,0.65707789784806,0.759145971456704
GSM389711,0,0,0,0.016193392362811,0.0825928613945882,0,0,0,0.044441479605113,0.0198569641242465,0.120164751640965,0,0.162626904966248,0.0144348841183635,0,0,0,0.00341518754402932,0.0088940932554243,0,0,0.527379480988211,0,0.742175742665725,0.67806311932548
GSM389712,0.0131805188463744,0.0563772371979814,0,0,0.132042326128168,0,0,0,0.109901047535939,0,0.0880317642823857,0,0.211988449185572,0.0219715981436964,0,0,0,0.0122258014624282,0.00359509010670872,0.00230632726921981,0,0.348379839841526,0,0.690150310135322,0.725199361175134
GSM389713,0.0109450560092044,0.0471103375256372,0,0.119968353259528,0.106479719118659,0,0,0,0.158568847322538,0,0.0750042486357151,0,0.150340443370843,0.0422879735322511,0,0,0,0.0102002187383358,0.00821984542282659,0,0,0.270874957064461,0,0.643038186206905,0.769176914468681
GSM389714,0.0027719970895622,0.00211158337135364,0,0.202801055337845,0,0,0,0,0.0685755625166765,0,0.180278247953441,0.00163502162620928,0.222839736736777,0.0011334780662512,0,0.00230337749085608,0,0,0.00610302881353297,0,0,0.309446910997495,0,0.702675238831967,0.713853308064898
GSM389715,0.0142029654189972,0,0,0.0689354472889176,0.0460925254807696,0,0,0,0.119075335275182,0.00330198030845835,0.053045598832862,0,0.175969186727378,0.0314167417305215,0,0,0,0.00570820285506655,0.00126287594909909,0.0031333624729822,0,0.477855777659766,0,0.736804500540753,0.678699299015606
GSM389716,0,0.0176914376905353,0,0.10727060006833,0.0539961437890152,0,0,0,0.0985942062525093,0,0.0507027293106442,0,0.21375352251845,0.00829309497514011,0,0,0,0,0.0226460166056585,0,0,0.427052248789717,0,0.742152721659418,0.671623278146261
GSM389717,0,0.00648108120418887,0,0.0368636087860924,0.0743565288021887,0,0,0,0.0518551337230531,0.034809560461183,0.107879259977518,0,0.106656735506949,0.0302836917028256,0,0.00128676180385516,0,0,0.0305925415429726,0,0,0.518935096489173,0,0.748731110615024,0.667287689668902
GSM389718,0.01711255968103,0,0,0.170159827725302,0.0617940733290904,0,0,0,0.140159793194779,0.0132985849523869,0.0312028666281791,0.0259881502133414,0.144404930293968,0.00179412603773661,0,0,0,0.0100115011358616,0.0415471857903437,0,0,0.342526401017982,0,0.672604963475157,0.741857900589538
GSM389719,0.010378687115072,0,0,0.0214638028429017,0.0973056351497605,0,0,0,0.064481577277748,0.0123420215860076,0.063517512935983,0,0.328916186505337,0.0216751420998267,0,0,0,0.00062223004666983,0.0106475634788474,0,0,0.368649640961846,0,0.667104781920419,0.747085904542441
GSM389720,0.0275283217237729,0.0265152875146198,0,0.0854773166915223,0.09402878426957,0,0,0,0.148858644927369,0.0187479211744493,0.0463684823850065,0.00883040138243623,0.128038078418807,0.0347135434136826,0,0,0,0,0.020658594995162,0,0,0.360234623103602,0,0.682533750512432,0.732825368500124
GSM389721,0.0300729533617421,0,0,0.17664286709623,0.157594886923413,0,0.00261720259796677,0,0.0733137805675456,0,0.0810932668592863,0,0.169043633447944,0.00126009476828841,0,0,0,0.000222628843106556,0.0019019517477713,0,0,0.306236733786705,0,0.683877350550115,0.73253044593389
GSM389722,0,0,0,0.0302031302235626,0.0567090831133692,0,0,0,0.034546783077628,0.0149570207676655,0.091836392755215,0,0.195043670690071,0.0267457708083195,0,0,0,0.00311218317147238,0.0106779435825216,0,0,0.536168021810175,0,0.723172388939456,0.704004599861364
GSM389723,0.016327202269536,0.000393703669695594,0,0.0957791147602922,0.065148201855169,0,0.00357862968332399,0,0.048041658246317,0.031144629224789,0.10442006819829,0,0.190080564947905,0.000921872253920761,0,0,0,0.00151088218690696,0,0.01325276567656,0,0.429400707027294,0,0.731568353303368,0.683697547055136
GSM389724,0.0175626221495637,0.0425498817974203,0,0.0388087668363761,0.0646498303069274,0,0,0,0.124840358796155,0,0.0421749748474703,0.000234296745098214,0.292893209823032,0.0868477634784919,0,0,0,0.00961662702013669,0.0121934263340927,0,0,0.267628241865235,0,0.629852191403551,0.776543213287841
GSM389725,0.029683554739799,0,0,0.122734828622401,0.045919672397065,0,0,0,0.068113034237257,0.00700155458937038,0.117801644638933,0,0.215316554851356,0.00794923850248488,0,0,0,0.00056168633457281,0,0.00440242014251515,0,0.380515810944246,0,0.697337037117289,0.717977377531204
GSM389726,0.006989615457442,0.018138676817126,0,0.0739140616993724,0.0904906831017824,0,0,0,0.0425735404058337,0.011523029262141,0.098319017830594,0,0.261970783946246,0.0328067966270267,0,0,0,0.0024634359196798,0.0239885563738224,0,0,0.336821802558934,0,0.704073581032019,0.711694618936973
