sample,B_cells_naive_CIBERSORT,B_cells_memory_CIBERSORT,Plasma_cells_CIBERSORT,T_cells_CD8_CIBERSORT,T_cells_CD4_naive_CIBERSORT,T_cells_CD4_memory_resting_CIBERSORT,T_cells_CD4_memory_activated_CIBERSORT,T_cells_follicular_helper_CIBERSORT,T_cells_regulatory_(Tregs)_CIBERSORT,T_cells_gamma_delta_CIBERSORT,NK_cells_resting_CIBERSORT,NK_cells_activated_CIBERSORT,Monocytes_CIBERSORT,Macrophages_M0_CIBERSORT,Macrophages_M1_CIBERSORT,Macrophages_M2_CIBERSORT,Dendritic_cells_resting_CIBERSORT,Dendritic_cells_activated_CIBERSORT,Mast_cells_resting_CIBERSORT,Mast_cells_activated_CIBERSORT,Eosinophils_CIBERSORT,Neutrophils_CIBERSORT,P-value_CIBERSORT,Correlation_CIBERSORT,RMSE_CIBERSORT
GSM2449668,0.090754866752164,0,0,0.119018961017032,0.109260630184122,0,0.0248044263548273,0,0.000324241153610652,0,0.130431815460792,0,0.156343290882066,0,0,0,0,0,0.0282076839129359,0,0,0.340854084282449,0,0.770132417019326,0.655776111603398
GSM2449669,0.0338478429870329,0,0,0.0446416957348982,0.16544994573329,0,0.0428335700128129,0,0,0.0494249990547354,0.142280018958815,0,0.200619061504225,0,0,0.00742545973751554,0,0,0.0229319537661826,0,0,0.290545452510493,0,0.763349842493041,0.666368729096136
GSM2449671,0.0582867694547419,0,0,0.177213186042322,0.0838260487474119,0,0.000523704736341371,0,0,0,0.0555355493008083,0.0173719707877957,0.216188705495995,0,0,0.00956144803504065,0,0,0.0273668276759233,0,0,0.35412578972362,0,0.784690965726873,0.63494598762774
GSM2449672,0.0648103905162584,0,0,0.156112593593599,0.0543875713264618,0,0.0193923323255132,0,0,0,0.135600127015027,0,0.129688874010243,0,0,0.0229360878593067,0.000925474733939466,0,0.0251016831413915,0,0,0.39104486547826,0,0.778357461359446,0.64022465374167
GSM2449673,0.0483268710668265,0,0,0.267636395123671,0.112347207501987,0,0.0254582243507935,0,0.00391493352948355,0,0.0790913696371749,0,0.0569863447234326,0,0,0.0187424395388078,0.00286001188282792,0,0.0347875359443724,0,0,0.349848666700622,0,0.738315033884978,0.685451867846851
GSM2449609,0.0711527267535515,0,0,0.12569699672367,0.0860795198153392,0,0.0300545357635434,0,0,0,0.143127233301571,0,0.151279114441451,0,0,0.00507201006666724,0,0,0.0214501469408851,0,0,0.366087716193322,0,0.752466083669684,0.66841689538304
GSM2449610,0.09862707733739,0,0,0.209531984565677,0.0790497258604287,0,0.0488040831515281,0,0,0.0165651361383682,0.0681191068199871,0.0144392216309002,0.091458944321085,0,0,0.0231925523192733,0,0.00132672539300577,0.03213607597222,0,0.00942114519666505,0.307328221293471,0,0.733704470724305,0.697250622819085
GSM2449611,0.00732998246101262,9.27651690136747e-05,0,0.192130553903441,0.0686512419869104,0,0.00823850653168954,0,0,0,0.171877795135421,0,0.221448096139152,0,0,0.00567961587243128,0,0,0.0302361949716207,0,0,0.294315247829307,0,0.758838757573855,0.665011799787139
GSM2449612,0.0373627627115776,0,0.00115949971522181,0.141130466766008,0.117518512474358,0,0.00876372080108924,0,0,0,0.0833395165385981,0,0.0530019393123144,0,0,0.0292012762559454,0,0.00748904712628625,0.063537357451353,0,0,0.457495900847249,0,0.761667309908101,0.653324917353978
GSM2449675,0.032790347092322,0,0,0.0683551449953618,0.125243772547028,0,0.0282806485986611,0,0,0.0150189848634648,0.0941164741922184,0,0.0575247408596018,0,0,0.0348324051748277,0,0,0.00520985397414894,0,0,0.538627627702365,0,0.824106844558555,0.571366541574389
GSM2449614,0.0869392676859637,0,0,0.134764013422064,0.133593941182055,0,0.0152242048644499,0,0.00399250218784535,0,0.0499137210049493,0,0.0588197632367118,0,0,0.0168563707451515,0,0,0.0280849398815017,0,0.0032448171563703,0.468566458632937,0,0.789076837924088,0.621572580110896
GSM2449615,0,0.0162946360947317,0,0.23368325830226,0.103663741530786,0,0.0136025321498171,0,0,0,0.149911818327253,0,0.0967502273530901,0,0,0.0212183779219849,0,0,0.0276521163122189,0,0,0.337223292007859,0,0.754956807376513,0.66817730371136
GSM2449616,0.0668081231105231,0.00179518495122893,0,0.114147867796169,0.104453358639335,0.0161181827926715,0,0,0,0,0.103967131583016,0,0.0579362868593694,0,0,0.0344012517295249,0,0.0034626028182746,0.0411896803304233,0,0.0148283678528173,0.440891961536646,0,0.777121118822449,0.638469675769629
GSM2449617,0.0225356159927026,0.00331229066639273,0,0.209037709321106,0.102178011513396,0,0.00541593357569234,0,0.00165359575395868,0,0.149865193285946,0,0.0239447096872948,0,0,0.041388768291964,0,0.000745995272784085,0.00658190235299704,0,0,0.433340274285765,0,0.802465984241016,0.608955508543482
