sample,T_cells_MCPcounter,CD8_T_cells_MCPcounter,Cytotoxic_lymphocytes_MCPcounter,B_lineage_MCPcounter,NK_cells_MCPcounter,Monocytic_lineage_MCPcounter,Myeloid_dendritic_cells_MCPcounter,Neutrophils_MCPcounter,Endothelial_cells_MCPcounter,Fibroblasts_MCPcounter
GSM2449668,7.95824929085394,6.25608203547989,8.55043454204754,7.86285880428272,5.92487309775215,6.62215396584882,4.82191780533156,10.0766397593298,4.34920096634499,4.24136583021072
GSM2449669,8.15564678319077,5.3334259110795,8.700385459064,7.51367802796787,5.87237449882902,7.05594064742124,4.87485054788283,9.65331741111754,4.21430543856581,4.35575334755569
GSM2449671,7.885584138344,5.75557242868795,7.94556791172618,7.58741415100151,5.83224123602542,6.90572829084429,5.25315485624191,9.99058177662732,4.327422853656,4.68860593305706
GSM2449672,7.45552036103038,5.72489163389116,8.34352469364765,8.05057045653409,5.2039163094532,7.05081374488183,5.37292012905795,10.1223821298346,4.5286456418029,4.53805814113926
GSM2449673,8.47796049454115,5.80904629385802,8.38540846677951,7.75836180247631,5.27223363007946,6.51294900726294,4.74585345809123,9.56027034818934,4.40332137630669,4.22758085324952
GSM2449609,7.91762753636162,6.01048112667226,8.3950795741284,8.21681385072495,5.3772600694342,6.73878651277784,5.02875982355849,9.77993156017747,4.39444092144371,4.15624943622409
GSM2449610,8.43004353055916,5.97104435156014,8.89114521809606,7.81971030964039,5.75862622363854,6.78860549722867,4.64662074691997,9.22032019671947,4.27391292160227,4.25213917934734
GSM2449611,7.88837738683311,6.41530494709723,8.88601284315788,6.64779404065212,5.86694463518231,6.71066946681481,5.0489481123883,9.77711820228604,4.37218601825333,4.38554509242218
GSM2449612,8.24441807682982,6.38860004886049,8.08973827614703,7.97776531612636,5.24146500031005,6.69635736407451,4.56888683853433,9.91706990542036,4.40372725160594,4.27940524816989
GSM2449675,7.86576824659766,5.66243429199832,8.39522344681847,7.72053776343562,5.69295374799321,6.90554806047504,5.00607680776093,10.2589348029603,4.31101993200319,4.48237160472478
GSM2449614,8.26511833656281,6.28946518437457,7.9604771202439,8.38666035870996,5.12347407662906,6.10692147193294,4.70619036896721,10.1164593643285,4.42572880467382,4.42649084044606
GSM2449615,8.19240165367481,5.62135029627153,8.80811007844027,7.30118494950089,5.49736955513201,6.58479886084744,4.71246085787258,9.76527241534481,4.26823178259361,4.45587248597165
GSM2449616,8.01769559643098,5.74051251579061,7.97815355407897,7.99049716753952,5.40347555551988,6.72155629269398,4.80487641160921,9.91152295377537,4.31551532021007,4.26824643433192
GSM2449617,8.17630430054654,6.14878123388395,8.7806552180313,7.30726164951738,6.07572565356594,6.57944149351163,4.51625334058869,10.166383072417,4.31527235767277,4.34938657031632
GSM2449620,7.92847280947332,5.79732146172583,8.3210973473658,7.62919026242156,5.70694369477427,6.65523668494678,4.91665109691577,10.4282373389392,4.43067868127435,4.23517277915884
GSM2449622,7.9942890341018,5.96396793836774,7.97192950534565,8.18048857360383,5.608435823737,6.32263445292362,5.11316243810167,9.82570664875195,4.48103342145186,4.25246667371119
GSM2449626,7.91204117684375,6.25665035793019,9.02013872521942,7.82233986948953,6.66969482698656,6.45955382292036,4.98244209826325,10.22593153496,4.29438376108426,4.4272638395187
GSM2449627,8.19327123919533,5.78004675193588,9.41631156746801,7.40717725047574,5.91602794651417,6.46808355244737,4.8314508555052,9.92339295177357,4.46826665989268,4.13539446594777
GSM2449628,8.19842634518969,6.24121596990864,8.32149543965139,7.76576219417446,5.65496329291717,6.27342559639463,4.80740948628989,9.97583379326385,4.43547927827387,4.3404321869837
GSM2449631,8.32661718979282,5.90480099257184,9.01253976816204,7.22550862991427,5.52426239008154,6.73318583364333,4.79814787376988,9.80072154482598,4.4813680310241,4.33470942136673
GSM2449633,7.5349983018379,5.76956339800847,8.05192294526031,6.9786629000811,6.07106136794513,7.17117625753113,4.79619260433024,10.193780311279,4.49311402345247,4.44338304662711
GSM2449634,7.8892108201052,7.2036979352766,9.60912484454013,7.89435469640546,6.0113925285221,6.82910163934257,4.99662852309086,9.48585702532548,4.34274194533133,4.38822209577818
GSM2449635,7.93054797761569,5.97873072820469,8.36556641329043,7.3396290203366,6.27143299263392,6.65600165126256,4.7313427833042,10.2122836434676,4.5441775686374,4.60602911870874
GSM2449636,7.77450957310739,5.96624238727915,7.64959065915084,7.42810714121613,5.26676932865229,6.15461716629597,4.81505295827124,10.0644930242544,4.60980046614437,4.47677927155732
GSM2449680,7.98571833143117,5.80904629385802,8.18664117343046,7.21145057995334,6.09290889659318,6.65826396152481,5.00152577483925,10.1534462955945,4.36665763629497,4.34695233329301
GSM2449643,7.91641203537273,6.34732001689315,8.33221298532171,7.46851708812113,5.27230278181642,6.956172179064,5.09301217381684,10.1604686240612,4.34805779825437,4.22879461940182
GSM2449640,7.74804191408954,5.96302911573253,8.3753593217765,7.13250114532977,5.4782314210358,6.98071378193332,5.00527585048272,10.5710229130616,4.38334232103477,4.31587086282802
GSM2449647,7.96967831017981,6.40841733888672,7.66279803926278,6.79052195363903,5.46170477574646,7.14911572289175,5.34730816855756,10.2122532198786,4.52968478945678,4.52590403728651
GSM2449649,7.61639495215708,6.6910893589942,8.58263057070635,7.46963269159882,6.15867951218162,7.29916809001251,5.13717129060468,10.1057143338954,4.44356828907239,4.68761784861191
GSM2449748,8.35486998792645,5.96693823415542,8.9834629561432,7.61216266647365,5.54360163046758,6.87230968804423,4.91354816834036,9.11282390949216,4.41342891821765,4.50403348212824
GSM2449650,8.35813950482266,6.09259053647077,8.26018256726659,8.0850758613561,5.01277945812515,6.28220869442975,4.82804857119565,10.0488929683772,4.33034022477812,4.51171314949573
GSM2449655,8.64732243452674,5.8159104023941,8.22630727491279,7.87808135011838,5.21583261242408,7.16048959793134,5.11713912145483,9.22350473159801,4.20473684828741,4.27117605602651
GSM2449778,8.29761715757292,6.06303088251227,8.35748893630075,8.52910790173449,5.27226675110771,6.72754450742939,5.06225738983758,9.95784581919042,4.19825461127862,4.11595563769645
GSM2449845,7.8213184820931,6.3371519971075,8.51598557322266,7.25340049500018,5.16846156756551,7.26674869618223,5.27163702003671,9.96580976442305,4.48845985721774,4.24585890557096
GSM2449639,8.33008138889191,6.01646924058236,8.5849831849238,7.97746783324695,5.58378018989583,7.07116852845003,5.1103826844038,9.90593161015064,4.28870239517535,4.0884499152141
GSM2449791,7.87184503480334,5.86245947868836,9.03640496357522,7.70904886463221,5.96509576647289,6.76790298846667,4.93990411903706,10.1435710405065,4.48035979922408,4.35040753702393
