gene,logFC_unadj,P_unadj,FDR_unadj,logFC_adj,P_adj,FDR_adj,sig_unadjusted,sig_adjusted,status
LTK,-0.57732763406154,3.01893460144212e-14,5.13609812399215e-11,-0.578056427878711,2.94848563125575e-13,4.64769790054844e-09,TRUE,TRUE,retained
MAGED1,-0.391419485317876,3.41888195148492e-16,2.69459181006284e-12,-0.310966942119432,3.91978200654557e-12,3.08937618845889e-08,TRUE,TRUE,retained
KDM1A,-0.294410424837975,6.21003504177865e-16,3.26295941211856e-12,-0.237888066101592,7.04398844746724e-12,3.7011463299142e-08,TRUE,TRUE,retained
HMGB2,0.673800937190016,2.86942263533336e-16,2.69459181006284e-12,0.464050376266735,1.0345220986118e-11,4.07679296010444e-08,TRUE,TRUE,retained
C1GALT1C1,0.646928821737564,1.12642901843459e-15,4.43897515439613e-12,0.446868457312719,6.01290057070253e-11,1.89562703391968e-07,TRUE,TRUE,retained
FKBP11,-0.325205177721538,1.68926979396866e-11,2.50703086111938e-09,-0.326186961500445,9.35354560622877e-11,2.45733232318307e-07,TRUE,TRUE,retained
CLEC4D,1.16915360855525,3.24131729101529e-14,5.13609812399215e-11,0.916192313844013,1.50365259605182e-10,3.38601083879498e-07,TRUE,TRUE,retained
NAT10,-0.32442423131021,8.01295200731452e-14,9.71601249933068e-11,-0.252595999339194,2.80401445794584e-10,5.52495998757504e-07,TRUE,TRUE,retained
MCM3AP,-0.259943349821954,5.41766489253235e-14,7.11655430841562e-11,-0.199000217548949,5.2957648358142e-10,8.75722964684197e-07,TRUE,TRUE,retained
CSGALNACT2,0.457120210221542,8.1280430521613e-15,2.56244685262437e-11,0.323138213277089,5.55556026571209e-10,8.75722964684197e-07,TRUE,TRUE,retained
ARG1,1.36046631995879,2.48614288199177e-11,3.18610327226311e-09,1.24725729459996,7.22673117288975e-10,8.97022066454087e-07,TRUE,TRUE,retained
ACTR10,0.235539950004475,3.58415779762188e-14,5.13609812399215e-11,0.162651415237999,7.66557834058944e-10,8.97022066454087e-07,TRUE,TRUE,retained
PCSK7,-0.367170815782908,2.42514196012595e-13,2.06649143232776e-10,-0.299382199497586,7.85357323795155e-10,8.97022066454087e-07,TRUE,TRUE,retained
WDR6,-0.309957701852466,5.07701431708439e-13,2.66763255600671e-10,-0.246950926228856,7.96695358139771e-10,8.97022066454087e-07,TRUE,TRUE,retained
NOP2,-0.277370790331029,3.82160979951234e-13,2.28616979952948e-10,-0.225763585417503,1.32028268021028e-09,1.27305760122709e-06,TRUE,TRUE,retained
CCR5,-0.50143949191142,6.20872836340072e-10,3.16725518421636e-08,-0.519258701112781,1.35450102457952e-09,1.27305760122709e-06,TRUE,TRUE,retained
STARD3NL,0.450404718293914,3.42267139854488e-14,5.13609812399215e-11,0.295155277577598,1.37296068139697e-09,1.27305760122709e-06,TRUE,TRUE,retained
S100A8,0.495844473154832,2.88213372081296e-14,5.13609812399215e-11,0.348012772036131,1.59987461107031e-09,1.4010457496834e-06,TRUE,TRUE,retained
SRRT,-0.299007485241408,1.1585682164247e-13,1.30446505682161e-10,-0.211900062754779,1.88441259757906e-09,1.40398975555414e-06,TRUE,TRUE,retained
STX7,0.429313217179884,3.19199679596961e-14,5.13609812399215e-11,0.293077233530796,1.94956066537993e-09,1.40398975555414e-06,TRUE,TRUE,retained
UBAP2,-0.36285600230005,2.78148303693528e-13,2.06649143232776e-10,-0.280159769508069,1.95341145494899e-09,1.40398975555414e-06,TRUE,TRUE,retained
MS4A4A,0.853633218252722,1.74824194690403e-12,5.51150756180963e-10,0.729660240482089,1.96044271100994e-09,1.40398975555414e-06,TRUE,TRUE,retained
FCGBP,-0.744604940950839,1.82842826351908e-11,2.62013770162285e-09,-0.682595163537375,2.0485798628272e-09,1.40398975555414e-06,TRUE,TRUE,retained
SLC16A6,0.433075915289965,9.15367368265558e-12,1.71773045547262e-09,0.383855002387184,2.18580259889975e-09,1.4356169319357e-06,TRUE,TRUE,retained
MYCBP2,-0.244049417071785,2.80634733437433e-12,7.76078123363905e-10,-0.186534196986583,2.52237484598476e-09,1.56290555854933e-06,TRUE,TRUE,retained
CHERP,-0.315509943582901,1.51091236042576e-13,1.58776743582608e-10,-0.208861679803024,2.62976522679827e-09,1.56290555854933e-06,TRUE,TRUE,retained
DVL2,-0.218391344682418,5.77360778359439e-13,2.93578643525156e-10,-0.169590849889659,2.67705703741877e-09,1.56290555854933e-06,TRUE,TRUE,retained
ZBTB4,-0.335234524364634,2.47592096732183e-12,7.22739670516555e-10,-0.271101640529855,3.06994943193519e-09,1.72827188912837e-06,TRUE,TRUE,retained
EXOC6,0.456920792677308,1.00747505652136e-12,3.87337300388932e-10,0.349778476314091,3.43685671669317e-09,1.86528487581363e-06,TRUE,TRUE,retained
COQ2,0.444874222427923,7.80318187677658e-13,3.23688305062182e-10,0.355288057205543,3.54999341967956e-09,1.86528487581363e-06,TRUE,TRUE,retained
ESYT1,-0.381338540358349,2.72257834773865e-13,2.06649143232776e-10,-0.280362915330073,4.21887510682973e-09,2.14522994545023e-06,TRUE,TRUE,retained
SIDT1,-0.330076266989257,8.83589272245939e-11,7.65275697714985e-09,-0.284093674914714,4.54868390791811e-09,2.24065326376603e-06,TRUE,TRUE,retained
BTBD10,0.349407801537453,6.05163584068426e-13,2.98099799239706e-10,0.266466766687411,5.45584188592834e-09,2.54335632808354e-06,TRUE,TRUE,retained
C5orf30,0.489852428618993,2.79321194647636e-13,2.06649143232776e-10,0.352091701321426,5.48589197201296e-09,2.54335632808354e-06,TRUE,TRUE,retained
U2AF2,-0.290617525025821,2.6041242719566e-13,2.06649143232776e-10,-0.210908890326198,8.04028591261019e-09,3.62111505258498e-06,TRUE,TRUE,retained
PDDC1,-0.317786828719081,3.93435401768409e-13,2.28616979952948e-10,-0.241865676071545,8.35730745613416e-09,3.65933992864008e-06,TRUE,TRUE,retained
SAMSN1,0.576712793428079,7.28212870875339e-13,3.18856096766888e-10,0.35770454956896,8.65871512726572e-09,3.68884666354296e-06,TRUE,TRUE,retained
CXCR6,-0.567293888215565,5.41231405222188e-08,9.8629255959738e-07,-0.621418588886343,9.42869077175765e-09,3.85856772433885e-06,TRUE,TRUE,retained
YPEL5,0.268619579968535,4.06094997061635e-13,2.28616979952948e-10,0.179720161958741,9.54666886057319e-09,3.85856772433885e-06,TRUE,TRUE,retained
MMS19,-0.221192382794931,2.41728623437296e-12,7.18937413441904e-10,-0.165292561806589,1.69214367175327e-08,6.6683151744617e-06,TRUE,TRUE,retained
ZMIZ2,-0.331469873166996,5.21736598667266e-12,1.15832873306931e-09,-0.242785915678252,1.73597493338226e-08,6.6741885060743e-06,TRUE,TRUE,retained
BMX,0.702226249691831,1.48391263033325e-08,3.51214936815962e-07,0.698569053900141,1.88149258037756e-08,7.06142084392656e-06,TRUE,TRUE,retained
NOLC1,-0.22769132329344,6.24347718576122e-10,3.17470744771465e-08,-0.206698911966575,1.96636232236327e-08,7.12526076590802e-06,TRUE,TRUE,retained
ZDHHC17,0.53195141008634,4.02613087001518e-13,2.28616979952948e-10,0.3331444409047,2.02513590951081e-08,7.12526076590802e-06,TRUE,TRUE,retained
PEX2,0.610054163851878,7.26710487675151e-13,3.18856096766888e-10,0.354295738786011,2.07339245908252e-08,7.12526076590802e-06,TRUE,TRUE,retained
PTBP1,-0.278050305888493,1.00396139373495e-12,3.87337300388932e-10,-0.191508421406109,2.07931228339637e-08,7.12526076590802e-06,TRUE,TRUE,retained
KHSRP,-0.363591278013083,3.42104422825618e-13,2.28616979952948e-10,-0.224720860446976,2.15763582584072e-08,7.23634330270795e-06,TRUE,TRUE,retained
DHRS7B,0.178803012275176,2.95025148912735e-05,0.000199164086608627,0.22505785694386,2.22990726977523e-08,7.32292256113894e-06,TRUE,TRUE,retained
FEM1C,0.348244544395202,2.77793274075489e-11,3.36835029173226e-09,0.282361379153631,2.28694786194469e-08,7.35697125466002e-06,TRUE,TRUE,retained
ITGAL,-0.3482962222492,4.92675818707557e-13,2.66763255600671e-10,-0.236434465519209,2.63381837158499e-08,8.30337579825883e-06,TRUE,TRUE,retained
EVI2A,0.889156575153767,2.04884693033468e-13,2.0184983851791e-10,0.524682822022356,2.89260733353713e-08,8.94042537226388e-06,TRUE,TRUE,retained
LYRM5,0.448038322920123,2.88414714909666e-13,2.06649143232776e-10,0.274886152017781,2.98281428874167e-08,9.04194262181442e-06,TRUE,TRUE,retained
CHMP5,0.620770682342747,4.04945829794837e-13,2.28616979952948e-10,0.396159700065515,3.28433994147194e-08,9.60054541972149e-06,TRUE,TRUE,retained
P2RY8,-0.290686786353997,2.0044650956513e-11,2.7500028287181e-09,-0.231446690831991,3.28890092409415e-08,9.60054541972149e-06,TRUE,TRUE,retained
CAPZA2,0.45601355741941,6.97172810798155e-13,3.18856096766888e-10,0.281786375765208,3.74077296050929e-08,1.07050955315076e-05,TRUE,TRUE,retained
JAK2,0.511183960369767,2.6156314407695e-12,7.49639970924539e-10,0.358199307589189,3.80311710819278e-08,1.07050955315076e-05,TRUE,TRUE,retained
SREBF2,-0.263129982660151,3.40304753358949e-11,3.91549184466943e-09,-0.218220063172845,4.13870751404025e-08,1.0954550442203e-05,TRUE,TRUE,retained
BCL2A1,1.15834995079186,8.8040952667008e-13,3.55843470997448e-10,0.732214963286956,4.16562962721881e-08,1.0954550442203e-05,TRUE,TRUE,retained
SUPT5H,-0.319567933115935,6.72618435097582e-13,3.18856096766888e-10,-0.186813829063969,4.18978435622311e-08,1.0954550442203e-05,TRUE,TRUE,retained
DYNC1H1,-0.312523268219623,1.44392066955103e-11,2.29904257718514e-09,-0.229187179602086,4.20533353189457e-08,1.0954550442203e-05,TRUE,TRUE,retained
SMARCC2,-0.335937600753869,1.5709431196431e-12,5.15891174894461e-10,-0.207687942410622,4.23921573922721e-08,1.0954550442203e-05,TRUE,TRUE,retained
BLOC1S2,0.480681165307118,7.61974217783175e-13,3.23688305062182e-10,0.295586787093708,4.45118741212872e-08,1.13167850286105e-05,TRUE,TRUE,retained
MLLT6,-0.36983704026901,1.53699308574021e-12,5.15481319372827e-10,-0.254329235172214,4.53750447534292e-08,1.13531242928302e-05,TRUE,TRUE,retained
TMC8,-0.387515134174888,5.95756562343544e-12,1.28642612222209e-09,-0.275364843113342,4.71795741211799e-08,1.14761790346916e-05,TRUE,TRUE,retained
MAP4K1,-0.348930713338303,1.90377285434816e-11,2.69366082140847e-09,-0.257952923599653,4.76031218552036e-08,1.14761790346916e-05,TRUE,TRUE,retained
SF3B3,-0.347956421169206,1.33492107569796e-12,4.67608020360597e-10,-0.227497346947406,4.8050993864724e-08,1.14761790346916e-05,TRUE,TRUE,retained
