gene,interaction_logFC,interaction_P,interaction_FDR,female_logFC,female_FDR,male_logFC,male_FDR,interaction_logFC_celladj,interaction_FDR_celladj,pattern
ZNF800,0.749943703170023,2.07870004443252e-07,0.00241851812772438,-0.104393349938883,0.275619862078453,0.726515381082533,2.10482968265601e-05,0.673637586528184,0.00503051002270546,MALE-restricted
BCLAF1,0.795970666926703,3.85249626502471e-07,0.00241851812772438,-0.128280337857137,0.185651820053992,0.867919639274623,1.1831132819761e-05,0.782101633676393,0.0037343292320801,MALE-restricted
MAP4K5,1.05673465325134,4.60290197498773e-07,0.00241851812772438,-0.143963298613646,0.314103237726776,1.05286687032202,6.29906388338685e-06,0.955072625718509,0.0106693017294453,MALE-restricted
UBXN4,0.516679710660827,1.31124400160908e-06,0.00516728479934098,0.00657840113131633,0.943903989082004,0.619570906586518,2.03894452997616e-05,0.488881751638372,0.007546345161676,MALE-restricted
RIF1,0.829201128253001,1.78952335623583e-06,0.00564165133286908,-0.047315410129517,0.722258791558921,1.01204971090764,3.11382495520434e-06,0.748748082202945,0.019390765069808,MALE-restricted
RAB2A,0.419029876284348,2.55357198621726e-06,0.00670865920312377,0.0912199420629455,0.0969705555394211,0.533645440814519,1.43516656895292e-05,0.367336494215325,0.0324604976745315,MALE-restricted
KDM5D,-0.472387561503812,4.70993371377994e-06,0.010606097875759,0.00209011428672504,0.977730576504827,-0.210134031331634,0.162455026508098,-0.458172103453874,0.0324604976745315,neither sex significant
PDSS1,0.57288114789149,1.52126758580259e-05,0.0299746761937577,-0.126735092173883,0.147745529418339,0.469479589109718,0.000357200829410011,0.505859843731047,0.0670814135676014,MALE-restricted
SLK,0.443639681357893,2.04003759672676e-05,0.0357301251524488,0.216314313229951,0.000224774632379003,0.620315303632862,2.05738091189696e-05,0.363266263617175,0.0709927392872789,MAGNITUDE difference
KLHL28,0.642728369142308,2.50969290465225e-05,0.0360983151032195,0.237847591071945,0.00428818811588194,0.953450998276082,4.70639897244512e-05,0.549537082086934,0.0670814135676014,MAGNITUDE difference
ZNF398,-0.33310189623181,2.51907293113883e-05,0.0360983151032195,-0.0660636474925517,0.197238164383061,-0.38713331039224,0.000111181357156048,-0.279039925417424,0.0745750077300751,MALE-restricted
PTPN22,0.584876243093344,2.97545334018513e-05,0.0382227616668117,0.170900021663373,0.0456544509924944,0.89301208535285,1.17657757020514e-06,0.485292884019258,0.0670814135676014,MAGNITUDE difference
TRPM7,0.555717026391917,3.15229272136365e-05,0.0382227616668117,-0.0307355724950244,0.769735338723057,0.574615628758197,0.000257614366461292,0.513916922406853,0.0670814135676014,MALE-restricted
THOC2,0.386212749098924,3.47048761992538e-05,0.0386924733906745,-0.189184376795767,0.000469870291056294,0.286728774935524,0.0069827251656471,0.365695041182817,0.0646643088287127,OPPOSITE direction
KIF5B,0.378719532607329,3.76964250051029e-05,0.0386924733906745,0.127791177207746,0.018524165578043,0.606850599677143,9.51490679208224e-07,0.315819276597829,0.0762744677425499,MAGNITUDE difference
UQCRC1,-0.385335661517244,4.10344474943884e-05,0.0386924733906745,-0.13528104835609,0.00401616173145242,-0.603900162569514,0.000167676753380937,-0.354533434742401,0.0689268024088739,MAGNITUDE difference
KIAA1586,0.549507629825663,4.91124575952547e-05,0.0386924733906745,0.28789238265787,9.42611242161277e-05,0.982798390534522,8.16064762855885e-06,0.452639747931736,0.0709927392872789,MAGNITUDE difference
ATP2B1,0.406966023053167,4.98033063769404e-05,0.0386924733906745,0.0251810522126759,0.748672977116175,0.397223428158018,0.00136547156783439,0.341901452457168,0.0949721306491397,MALE-restricted
MTF2,0.403304058860789,5.01151867661998e-05,0.0386924733906745,0.100438678220628,0.10391868201536,0.600643212478716,5.76709221785522e-06,0.358392735455759,0.0670814135676014,MALE-restricted
