gene,interaction_logFC,adj.P.Val
BCLAF1,0.796,0.00242
MAP4K5,1.057,0.00242
ZNF800,0.75,0.00242
UBXN4,0.517,0.00517
RIF1,0.829,0.00564
RAB2A,0.419,0.00671
KDM5D,-0.472,0.0106
PDSS1,0.573,0.03
SLK,0.444,0.0357
KLHL28,0.643,0.0361
ZNF398,-0.333,0.0361
PTPN22,0.585,0.0382
TRPM7,0.556,0.0382
ABCD2,0.607,0.0387
ATP2B1,0.407,0.0387
CLDN12,0.635,0.0387
GALNT1,0.392,0.0387
GLS,0.54,0.0387
KIAA1586,0.55,0.0387
KIF5B,0.379,0.0387
KTN1,0.671,0.0387
MTF2,0.403,0.0387
NAA15,0.64,0.0387
PIGS,-0.287,0.0387
SASS6,0.451,0.0387
