group,source,ID,Description,GeneRatio,Count,p.adjust,geneID
Female,BP,GO:0008380,RNA splicing,201/4605,201,1.09762131478326e-13,U2AF2/KHSRP/PTBP1/SF3B3/PPP4R2/GEMIN4/SNRNP200/RBM7/HNRNPUL1/EXOSC10/CLK2/PRPF8/SRRM2/TRRAP/HNRNPUL2/WTAP/SF1/PHF5A/PRPF31/RNPS1/HNRNPU/FMR1/SNRPB/ZBTB7A/WBP11/PUF60/SF3B2/PTBP2/FASTK/ENY2/PRPF6/UBL5/SRRM1/CLK4/LSM1/IVNS1ABP/CLK1/SF3A3/CELF1/PRPF19/PRMT1/METTL4/SNRNP70/CIRBP/NONO/FUS/SF3B4/SF3A1/SYF2/LUC7L/PPP1R9B/POLR2A/TSEN54/TAF15/DHX16/EFTUD2/SLC38A2/ILF3/SRPK1/SNRPG/CTNNBL1/DDX23/ARGLU1/PLRG1/WBP4/KAT2A/DDX41/KAT2B/HNRNPH3/PDCD7/WDR77/RBM10/RBM6/LSM3/EIF4A3/SLU7/CWC22/DAZAP1/DDX46/HNRNPL/RNF113A/PRPF3/RBM39/PPIL3/PRPF39/RBM14/SART1/PUS1/PRMT7/DDX42/LSM6/PRPF4/TMBIM6/SNRPA/PRPF18/NCL/RRP1B/ZRANB2/GEMIN5/HNRNPM/PRPF40A/ZRSR2/THOC7/C2orf49/TGS1/SMNDC1/SUPT6H/SFPQ/SF3A2/CDK13/SYNCRIP/LARP7/PPIG/RBM4/PQBP1/AKAP8L/CCNL2/LUC7L2/YBX1/IK/THOC6/DYRK1A/DHX8/TARDBP/GPKOW/GPATCH1/PSIP1/RALY/PRDX6/CRNKL1/USP22/SART3/XAB2/RBM25/SNRPE/TIA1/CWF19L2/CDC40/HNRNPA3/THOC2/THOC1/TFIP11/THRAP3/CDC5L/MAGOHB/RBM42/CLNS1A/LSM2/DBR1/ERN1/PPWD1/SNRPD1/RBM47/ZNF830/MBNL1/ZBTB8OS/SNRPA1/DDX1/PPIL2/WDR83/ZNF638/UPF3B/AHNAK/MBNL2/LSM4/SUPT3H/ARMC7/FAM50A/BUD13/SF3B1/DHX9/SNRNP40/DCPS/SCAF1/BCAS2/LSM5/TAF12/RBM15/SNRNP35/PCBP4/TSSC4/RBM4B/NUP98/CWC15/CCNL1/PPARGC1A/ATXN7L3/RBM12B/LSM7/FAM98B/NCBP1/CDK12/RBPMS2/ZMAT2/PPIH/TADA1/RNPC3/PNN/SNRPD2/CRIPT/UPF1
Female,BP,GO:0048193,Golgi vesicle transport,139/4605,139,1.92486819328975e-12,EXOC6/CNIH4/AP3D1/SPAST/NBAS/TRAPPC6B/EXOC8/PDCD6/LRRK2/SEC31A/VPS54/CREB3L2/GAK/ACSL3/RP2/GGA2/VAMP7/COG1/EXOC1/RAB33B/SURF4/SEC24C/VTI1A/RNF139/SNX2/SCAMP3/RAB11FIP3/NAPG/SPTBN1/ARF3/HYOU1/COPA/BLZF1/SEC16A/AP3S1/ARFGAP2/MON2/GGA3/SCAMP1/TMED5/SEC31B/TEX261/VCP/IER3IP1/STXBP5/GOPC/RAB14/SGSM2/GOLT1B/ERGIC2/SEC13/COG3/KDELR1/EXOC5/PITPNB/AP1AR/SEC23A/GOSR2/COG2/LAMP1/BBS1/MYO5A/SEC24A/YIPF4/AP1G2/ATP2C1/P4HB/COG6/CSK/VPS52/USO1/SEC23B/COPZ1/AP1G1/GGA1/CORO7/ARCN1/HTT/EXOC2/GOLGA2/ARL3/PGAP1/TAPBP/RAB1B/BET1/AP2A1/ARL8B/COG7/TMED2/RANGRF/GBF1/SCAMP2/CLN3/ARFRP1/TRAPPC9/YIF1A/LAPTM5/STX17/KLHL12/VAMP2/BCAP31/OSBPL5/COG4/RUFY1/LLGL2/CCDC22/USE1/CYTH3/RABGGTB/RAB10/SPIRE1/TBC1D20/SCYL1/WIPI1/TRAPPC6A/BET1L/ANKFY1/RAB8A/TMEM115/ERGIC3/SEC22A/ATP9B/MACF1/ARFGEF2/OPTN/NRBP1/NAPA/MYO1B/BICD2/SCAP/RABGGTA/EHD3/WHAMM/CNST/SAR1B/TRAPPC1/KDELR2/SNX8/GCC2
Female,BP,GO:0022613,ribonucleoprotein complex biogenesis,198/4605,198,3.13638135811752e-12,NAT10/U2AF2/NOP2/SF3B3/GEMIN4/USP36/SNRNP200/DDX27/NSUN5P1/EXOSC10/PRPF8/PELP1/RPL26L1/WDR46/NOL6/NOLC1/RSL24D1/SF1/PHF5A/PRPF31/GNL3L/ERI2/SNRPB/C1D/WBP11/PUF60/SF3B2/BMS1/NOB1/NMD3/TSR1/PTBP2/HEATR1/KRI1/PIH1D1/RPS27L/PRPF6/NOC4L/MYBBP1A/HSP90AB1/RUVBL1/FTSJ3/DHX30/SF3A3/CELF1/DDX56/MCTS1/PRPF19/EIF3B/RPS15A/SF3B4/SF3A1/LUC7L/RPS7/PWP1/GRWD1/NSUN5/SRPK1/SNRPG/DDX23/GTF2H5/C1orf131/KAT2B/RUVBL2/ZNHIT3/WDR77/RBM10/LSG1/EIF3D/EIF4A3/SLU7/NOP14/CUL4B/TRMT2B/DDX46/RRS1/PES1/PRPF3/EIF5B/PDCD11/RRP8/PRPF39/SART1/PRMT7/DDX42/NOC2L/USP16/LSM6/EIF6/NOL9/RPS27/RIOK2/DCAF13/RPS17/PRPF18/RRP1B/YTHDF2/DNTTIP2/EIF3L/GEMIN5/ZRSR2/RPS24/RPL7/MRPS2/IMP4/TGS1/SF3A2/NSUN3/TBL3/NHP2/TFB2M/EIF3K/ZNHIT6/DDX3X/RPL27/DDX18/RNASEL/LAS1L/EIF3F/WDR18/LUC7L2/UTP20/EXOSC2/PWP2/AATF/IMP3/LYAR/EIF3E/MPHOSPH6/PSIP1/CRNKL1/DDX51/PA2G4/SART3/XAB2/SNRPE/DENR/DHX29/RPF1/DHX37/TFB1M/RIOK3/TSR2/WDR74/EIF3G/CLNS1A/HSP90AA1/UTP23/LSM2/ZNF658/EMG1/SNRPD1/EIF3I/UTP14A/ERCC2/SNRPA1/MDN1/ERAL1/DDX1/BYSL/WDR12/DDX54/ISG20L2/LSM4/BUD13/TSC1/GAR1/RPS19BP1/SF3B1/DHX9/DDX49/DDX31/URB2/WDR43/RPUSD1/TRMT61B/REXO4/ERI3/RRP7A/TSSC4/RPL11/SDAD1/NOL10/NCBP1/KRR1/EXOSC9/EXOSC6/URB1/WDR36/SRFBP1/FBL/SUV39H1/EXOSC8/METTL5/RPUSD2/SNRPD2/RPL35/PAK1IP1
Female,BP,GO:0016236,macroautophagy,159/4605,159,3.27503776988257e-12,CHMP5/SUPT5H/PEX2/RB1CC1/USP36/SCOC/SREBF2/LRBA/UBQLN4/TBK1/PIP4K2B/C9orf72/EXOC8/SNX14/LRRK2/CSNK2A2/SPTLC1/ZNRF2/TP53INP1/CDK5RAP3/VTA1/LARP1/CASP3/ATG3/EXOC1/RAB33B/TP53/CDK5R1/VPS4A/VTI1A/CSNK2A1/MTM1/EXOC7/CDC37/HDAC6/CHMP1B/RHEB/TBC1D12/SNX4/VPS16/VCP/WDR81/ATP6V1G1/NIPSNAP3A/VPS13D/ATG5/NIPSNAP1/ATG4C/STUB1/TECPR1/SQSTM1/CHMP2B/PIK3C2B/ATG4B/VPS26A/HIF1A/AUP1/WDFY3/ACBD5/CHMP7/EHMT2/PIK3C3/YOD1/AMBRA1/RAB5A/CALM1/TSC2/FYCO1/EIF2S1/TBC1D25/VPS36/CAPNS1/HTT/PIKFYVE/PIK3CA/TEX264/VPS26B/CAPN1/POLDIP2/VPS25/RAB1B/ARL8B/EI24/HK2/NOD1/PRKACA/STAM2/ATP6V1D/ABI2/CHMP1A/CLN3/ATP6V0E2/GNAI3/ULK3/VPS28/ULK2/WIPI2/MFSD8/STX17/LRSAM1/VPS4B/VPS39/RNF213/ATP2A2/SLC25A5/SH3GLB1/ERN1/KAT5/HGS/PIP4K2C/WIPI1/TMEM39A/IFT88/STAM/SMCR8/MTMR14/DNAJC16/LAMP2/FKBP8/SLC25A4/TSC1/MFN2/SIRT1/MAPK8/GAPDH/TRIM32/RNF31/LIX1/GABARAPL1/KLHL3/UFM1/CTTN/GSK3A/MTOR/FBXO7/OPTN/TRIM13/BNIP3/UBXN2A/UBXN2B/IFT20/ATP6V0C/WDR45/PLEKHM1/PHF23/SNX18/FUNDC1/VPS37D/HDAC10/PSEN1/NIPSNAP3B/ATP13A2/STBD1/SESN2/CTSK/RAB23/ATG10/RIPK2/NPC1
Female,BP,GO:0010506,regulation of autophagy,155/4605,155,1.03789952295002e-10,WDR6/SUPT5H/RB1CC1/USP36/SCOC/SREBF2/UBQLN4/TBK1/PIP4K2B/C9orf72/EXOC8/LRRK2/CSNK2A2/SPTLC1/ROCK1/TMEM59/EIF4G1/TP53INP1/CDK5RAP3/LARP1/ZMPSTE24/CASP3/TRIM23/EXOC1/TP53/STK38L/CDK5R1/NPRL2/OSBPL7/USP20/SNRNP70/FOXK1/CSNK2A1/MTM1/EXOC7/CDC37/HDAC6/RHEB/TAB3/SNX4/ATP6V1G1/DRAM1/HERC1/VPS13D/ATG5/STUB1/RRAGB/TECPR1/SQSTM1/KEAP1/DEPDC5/PIK3C2A/TAB2/RPTOR/VPS26A/HIF1A/USP33/DRAM2/EHMT2/UBR4/PIK3C3/PRKAA1/AMBRA1/VHL/TSC2/FYCO1/TBC1D25/CAPNS1/HTT/HSPB1/ABL1/GOLGA2/PIK3CA/USP13/MTDH/PLEKHF1/VPS26B/CAPN1/POLDIP2/FOXK2/HK2/NOD1/PRKACA/ATP6V1D/KLHL22/CCNY/CLN3/ATP6V0E2/GNAI3/ULK3/ULK2/IL10RA/MFSD8/LRSAM1/EP300/ORMDL3/TRIM8/SLC25A5/SH3GLB1/ERN1/KAT5/STAT3/CISD2/PIP4K2C/WIPI1/DDIT3/CTSA/PSAP/TMEM39A/TRIM22/DHRSX/SMCR8/NPRL3/RAB8A/FKBP8/SLC25A4/TSC1/TRIM6/SIRT1/USP10/MAPK8/GAPDH/WNK1/TRIM32/RNF31/CTTN/GSK3A/WDR41/MTOR/PIK3R2/FBXO7/OPTN/TRIM13/BNIP3/SIRT2/KDM4A/TRIM65/ATP6V0C/PTPN22/WDR45/PHF23/SNX18/ABL2/TPCN1/PLK2/TRIM58/HGF/ATP13A2/SESN2/GATA4/IFNG/CISD1/RIPK2/TPCN2/NPC1
Female,BP,GO:0016072,rRNA metabolic process,120/4605,120,1.2362244452852e-10,NAT10/NOP2/GEMIN4/USP36/DDX27/NSUN5P1/EXOSC10/PELP1/WDR46/SMARCA4/NOL6/NOLC1/TCOF1/ERI2/C1D/WBP11/GTF3C2/BMS1/NOB1/TSR1/HEATR1/TP53/KRI1/PIH1D1/NOC4L/FTSJ3/DDX56/RPS7/PWP1/SLFN12/NSUN5/GTF2H5/KAT2B/ZNHIT3/EIF4A3/NOP14/TRMT2B/RRS1/PES1/PDCD11/RRP8/SART1/XRN1/LSM6/EIF6/NOL9/RPS27/RIOK2/POLR2E/DCAF13/RPS17/NCL/RRP1B/YTHDF2/RPS24/RPL7/IMP4/NSUN3/TBL3/NHP2/TFB2M/ZNHIT6/RPL27/DDX18/RNASEL/LAS1L/WDR18/UTP20/EXOSC2/PWP2/IMP3/LYAR/MPHOSPH6/DDX51/PA2G4/RPF1/ANG/DHX37/TFB1M/RIOK3/TSR2/WDR74/BRF1/POLR1B/UTP23/SMARCB1/EMG1/UTP14A/ERCC2/BYSL/WDR12/DDX54/GTF3C3/GAR1/DDX49/MTOR/WDR43/RPUSD1/TRMT61B/IPPK/REXO4/ERI3/RRP7A/RPL11/NOL10/KRR1/EXOSC9/EXOSC6/URB1/DDX11/WDR36/SRFBP1/FBL/DEDD2/SUV39H1/EXOSC8/METTL5/RPUSD2/RPL35/PAK1IP1
Female,BP,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,184/4605,184,1.34371082304979e-10,UBE2W/BIRC2/PSMC6/FEM1C/SPOPL/UBQLN4/PSMD10/LRRK2/CSNK2A2/USP7/TRIP4/ZNRF2/ANAPC5/CDC27/PSMD11/AMN1/KLHL2/ADRM1/PSMD2/SOCS5/ASB1/FBXL3/HSP90AB1/IVNS1ABP/RNF139/RCHY1/PSMC5/DDB1/SIAH1/FBXL4/FBXO31/PJA2/DVL1/CSNK2A1/MTM1/PSMA2/ANAPC7/PCBP2/SMARCC1/FBXW4/UCHL5/TRIM28/VCP/UBR3/KBTBD7/SOCS2/KLHL7/SOCS4/RBX1/STUB1/RNF126/PSMA4/PEX10/PCNP/HECTD3/PSMD3/KEAP1/HSPBP1/CUL5/ERCC8/CSNK2B/PSMD8/KLHDC1/USP25/TRIM26/RNF7/FBXL5/PSMC3/DCAF13/KBTBD3/SUMO1/KBTBD8/SOCS7/PELI1/WNT10B/UBR4/RNF170/BBS7/MTA1/AMBRA1/ANAPC10/RNF145/VHL/USP5/FBXO3/TBL1XR1/ANAPC16/BTRC/ASB9/TOPORS/APPBP2/KLHL15/DNAJB2/RAD23A/PSMD1/STYX/FBXO4/FZR1/KLHDC2/USP38/KLHL22/FEM1A/PSMD7/PPP2CB/ARAF/ARRB1/PSMD14/WDR26/CUL1/KLHL12/PSMC4/FBXO38/PSMB2/PSMD12/SIRT6/RNF216/PEX12/NFE2L2/UBR1/ANAPC13/ASCC2/KAT5/FAF1/CAMLG/KLHDC3/DDIT3/UBXN7/UBE4B/IPP/FBXO11/NHLRC3/SHARPIN/KBTBD2/FBXW8/PSMD13/SIRT1/KLHL8/DERL1/ANAPC2/PSMC2/AXIN1/PRICKLE1/KLHL3/GSK3A/FBXO7/TRIM13/UBXN2A/KLHL28/UBXN2B/SIRT2/PSMA5/ZYG11B/FBXO22/FBXL19/AGAP3/MAP1A/PLK1/CDC16/TBL1X/RYBP/TBX21/KLHL17/CRBN/HERC2/RPL11/NPLOC4/KLHL5/GLMN/TRAF4/CBFA2T3/PSEN1/UBE2D1/FBXL18/GCLC/PSMA3/FBXO45/SPSB1/UBE2H/CLU/ZFAND2A/SPSB2/ZER1/KBTBD6/SKP2
Female,BP,GO:0030098,lymphocyte differentiation,171/4605,171,1.34371082304979e-10,CLEC4D/SMARCC2/BRD2/SMARCD1/NFATC3/AP3D1/SP3/LIG4/ANXA1/CARD11/MEN1/SMARCA4/IKZF1/PPP2R3C/ZBTB7A/SOCS5/NKAP/B2M/TP53/ARID1A/BCL11B/ZAP70/RUNX3/RORC/IKZF3/LCK/CD69/OPA1/XRCC6/IRF2BP2/ITPKB/SASH3/LY9/BRD4/PTPN6/SMARCD2/CD8A/ST3GAL1/SMARCC1/JAK1/FOXP1/KAT2A/NCKAP1L/SPN/GPS2/RHOH/EOMES/PATZ1/CD46/SRF/ATG5/CD27/FGL2/MFNG/RC3H1/CD3G/ZEB1/KDELR1/IL18/CD3E/ARID1B/TRAF3IP2/SLAMF6/ATF2/FCRL3/DOCK11/SART1/NFKBIZ/TCF7/LRRC8A/HLA-DOA/IL2RG/CD86/SOS2/IL15/POU2AF1/WNT10B/CD74/TCF3/NCAPH2/CD79A/AMBRA1/STAT5A/INPP5D/BCL6/IL18R1/DNAJA3/LAG3/RC3H2/ABL1/SOX12/GATA3/ZBTB1/IGHM/MYB/HLA-DRB1/MSH2/FCGR2B/ARMC5/SLAMF1/CD2/EP300/CLEC4E/DOCK2/CCR6/IL23R/SYK/SMARCB1/NFIL3/SLC25A5/TYRO3/HHEX/KLHL25/KAT5/STAT3/PIK3CD/LMBR1L/ITGA4/DNAJB9/PTPN2/FNIP1/IL6ST/LFNG/CBFB/CR1/BAX/TSC1/IL7R/TGFB1/CD19/MTOR/PIK3R2/FBXO7/CYLD/WNT1/CLCF1/CEBPG/CLPTM1/CD79B/BAK1/PTPN22/ZMIZ1/IRF8/CD4/TBX21/ADA/PRDX2/CCR7/ITFG2/LYL1/VAV1/IL23A/RELB/TNFSF8/ITGB1/FLT3/ZFPM1/BATF/BLNK/SOX13/CD40LG/GPR18/LEF1/IFNG/CR2/IL12RB1/DTX1/RIPK2/FOXP3/VNN1/PTPRJ
Female,BP,GO:0000375,"RNA splicing, via transesterification reactions",143/4605,143,2.99023483901806e-10,U2AF2/KHSRP/PTBP1/SF3B3/GEMIN4/SNRNP200/RBM7/HNRNPUL1/EXOSC10/PRPF8/SRRM2/HNRNPUL2/WTAP/SF1/PHF5A/PRPF31/RNPS1/HNRNPU/FMR1/SNRPB/ZBTB7A/PUF60/SF3B2/PTBP2/PRPF6/UBL5/SRRM1/LSM1/SF3A3/CELF1/PRPF19/SNRNP70/CIRBP/SF3B4/SF3A1/SYF2/LUC7L/DHX16/EFTUD2/ILF3/SRPK1/SNRPG/CTNNBL1/DDX23/ARGLU1/PLRG1/WBP4/DDX41/HNRNPH3/WDR77/RBM10/RBM6/LSM3/EIF4A3/SLU7/CWC22/DAZAP1/DDX46/HNRNPL/RNF113A/PRPF3/RBM39/PPIL3/PRPF39/RBM14/SART1/PRMT7/DDX42/LSM6/PRPF4/SNRPA/PRPF18/NCL/GEMIN5/HNRNPM/PRPF40A/ZRSR2/TGS1/SMNDC1/SFPQ/SF3A2/CDK13/SYNCRIP/LARP7/RBM4/PQBP1/LUC7L2/IK/DYRK1A/DHX8/GPKOW/GPATCH1/PSIP1/RALY/PRDX6/CRNKL1/SART3/XAB2/RBM25/SNRPE/TIA1/CWF19L2/CDC40/HNRNPA3/TFIP11/THRAP3/CDC5L/MAGOHB/RBM42/CLNS1A/LSM2/DBR1/PPWD1/SNRPD1/RBM47/SNRPA1/DDX1/WDR83/UPF3B/LSM4/BUD13/SF3B1/DHX9/SNRNP40/DCPS/BCAS2/LSM5/RBM15/SNRNP35/PCBP4/TSSC4/RBM4B/NUP98/CWC15/LSM7/NCBP1/RBPMS2/ZMAT2/PPIH/RNPC3/PNN/SNRPD2/UPF1
Female,BP,GO:0006364,rRNA processing,103/4605,103,7.54979757017385e-10,NAT10/NOP2/GEMIN4/USP36/DDX27/NSUN5P1/EXOSC10/PELP1/WDR46/NOL6/NOLC1/ERI2/C1D/WBP11/BMS1/NOB1/TSR1/HEATR1/KRI1/PIH1D1/NOC4L/FTSJ3/DDX56/RPS7/PWP1/NSUN5/GTF2H5/KAT2B/ZNHIT3/EIF4A3/NOP14/TRMT2B/RRS1/PES1/PDCD11/RRP8/SART1/LSM6/EIF6/NOL9/RPS27/RIOK2/DCAF13/RPS17/RRP1B/YTHDF2/RPS24/RPL7/IMP4/NSUN3/TBL3/NHP2/TFB2M/ZNHIT6/RPL27/DDX18/RNASEL/LAS1L/WDR18/UTP20/EXOSC2/PWP2/IMP3/LYAR/MPHOSPH6/DDX51/PA2G4/RPF1/DHX37/TFB1M/RIOK3/TSR2/WDR74/UTP23/EMG1/UTP14A/ERCC2/BYSL/WDR12/DDX54/GAR1/DDX49/WDR43/RPUSD1/TRMT61B/REXO4/ERI3/RRP7A/RPL11/NOL10/KRR1/EXOSC9/EXOSC6/URB1/WDR36/SRFBP1/FBL/SUV39H1/EXOSC8/METTL5/RPUSD2/RPL35/PAK1IP1
