group,ID,Description,setSize,NES,pvalue,p.adjust,core_enrichment
Female,hsa05340,Primary immunodeficiency,36,-2.23054452380781,1.68821034940749e-06,0.000355138946772108,3718/4261/3543/959/29760/5788/958/100/920/930/3575/5993/6891/926/8625/7374/973/84876/3561/23495/916/925/3932/7535
Female,hsa03082,ATP-dependent chromatin remodeling,84,-2.0156259198527,2.01783492484152e-06,0.000355138946772108,60/10445/11176/283899/79913/5977/10524/6598/54617/54108/4798/2186/10847/9112/54815/1107/5931/10263/55929/57459/57492/53615/10856/6599/6603/605/57634/8607/1108/65980/8289/9031/6597/8295/3065/6602/6601
Female,hsa03010,Ribosome,146,1.88816619755029,3.12863247126242e-06,0.000367092876628124,51121/51187/51023/200916/51065/57129/6133/6170/28957/64976/28977/6210/6201/29093/28998/6164/6160/65008/29088/51650/118487/64983/54534/11222/6232/6218/6171/6229/6129/6155/51649/6235/219927/56945/51642/6173/65080/2197/51264/63931/54148/6152/63875/6135/65003/6204/6156/64928/9553/6222/11224
Female,hsa05166,Human T-cell leukemia virus 1 infection,213,-1.7637648908654,8.11845810756325e-06,0.000714424313465566,5604/10000/4049/5971/1387/8697/958/3113/920/1869/8881/109/1388/5296/5605/3108/29882/7040/7417/581/3689/291/115/595/3115/10488/5293/293/10524/292/2033/2002/896/811/3123/3551/9020/7094/64784/5566/3133/3560/331/200186/4088/119504/2113/6776/55697/6929/4772/8379/894/4791/3561/3111/2224/916/1019/917/6722/2874/2648/3716/51434/8498/3932/4790/4773/7157/5970/996/51433/64764/8295/208/4775/3683
Female,hsa03040,Spliceosome,114,-1.90371966260027,1.47191941636244e-05,0.000863526057599297,9410/84811/25804/6627/55696/57819/9984/57187/220988/56949/27238/1659/151903/79228/10084/8175/4670/6626/9128/11325/9092/9129/9879/9775/9416/56259/9343/8449/10291/10262/2521/6625/27339/10946/24148/10992/22827/51729/6628/3192/26121/7536/10594/23020/23450/11338/10523
Female,hsa05169,Epstein-Barr virus infection,192,-1.72380955724157,1.42390359466133e-05,0.000863526057599297,3113/1869/5879/7186/578/4793/7431/5296/930/3108/7297/581/595/5719/3115/3455/919/7187/5293/6774/8737/6850/7188/896/6891/5704/811/5713/3123/3551/9020/960/5707/3133/6892/894/3654/4791/5702/3111/5714/9641/5709/916/1019/917/25942/5609/57506/3716/5705/4790/864/2923/7157/5708/5970/11047/5717/9612/7874/208/3065/3661/3683
Female,hsa04659,Th17 cell differentiation,103,-1.76178665798717,0.000223203538725106,0.00982095570390467,3113/30009/920/10148/4793/2475/3108/7040/7297/3115/919/6774/149233/3123/3551/3560/5588/6257/2625/4088/6776/4772/3561/3111/50615/916/917/3716/9466/3932/6097/3326/4790/7535/4773/5970/5335/4775
Female,hsa04141,Protein processing in endoplasmic reticulum,158,-1.66772549574752,0.000212539336232468,0.00982095570390467,824/573/64215/285126/7466/10961/91319/821/6748/80331/56886/100128731/118424/55666/7326/57134/7186/578/10956/11253/165324/1388/54788/9695/79139/581/10113/51035/7184/10277/2081/200185/10134/811/8454/5886/3300/5589/823/64374/29927/6238/10483/7841/5034/3703/23640/10273/6396/7415/5609/25956/3337/10525/6185/3309/1650/3326/2923/9632/23193/7327/9601/22872/56893
Female,hsa05203,Viral carcinogenesis,160,-1.64343475408279,0.000461317440168688,0.0180426376599309,5595/2967/3134/3265/1237/3106/7185/3718/7533/5934/2934/387/5700/9261/1387/87/83933/5879/7186/578/1388/5296/581/28973/595/51564/5829/7187/10488/5293/6774/6850/5966/7188/2033/896/2885/7532/5566/3133/8841/7529/9093/6776/55697/23352/8379/894/4791/81/1019/6722/2648/3716/10013/1642/4790/1108/7157/5970/27044/64764/1234/7874/23513/3065/3661
Female,hsa04658,Th1 and Th2 cell differentiation,88,-1.75898429374771,0.000515135195419117,0.0181327588787529,3113/30009/920/4793/3108/7297/3115/919/3595/3123/3551/3560/5588/2625/6776/4772/3561/3111/916/917/3716/3932/4790/864/7535/4773/5970/5335/4775
