power,signed_R2,slope,mean_k,median_k,max_k
1,-0.0524738844348178,6.80694118808419,7898.8734820127,7909.55202580946,8194.4468393914
2,0.81524342026128,-19.0721049598509,4128.26509381136,4074.17353031699,4821.67320205498
3,0.872712869995779,-10.264843622316,2240.29809858987,2167.04745090505,3058.7010185233
4,0.797710349764585,-6.06014638459299,1260.96748316127,1180.80589748673,2046.73415933965
5,0.855803618324437,-3.61572846659735,736.439909794883,658.757968082357,1428.77579583958
6,0.860957451572274,-2.99967786434387,446.645161778632,375.06020456478,1110.98578333296
7,0.886391237610249,-2.57579694573052,281.446246455575,217.995684297878,904.106463337508
8,0.895135654616108,-2.29771212348312,184.203406803302,129.396911364071,755.5006927685
9,0.896916455364236,-2.10778581478372,125.048777869647,78.002759946139,644.586999575307
10,0.902949097473081,-1.95738096425691,87.8451544518963,47.7603251637051,558.234771931172
12,0.900867256741666,-1.78214902737133,47.4245477104174,18.7334986287334,432.040742456997
14,0.908147838962454,-1.69224645869165,28.1944559159705,7.79037018349667,344.302202848063
16,0.909342488712389,-1.64614658034,17.9997128964264,3.35044099882081,280.055224016311
18,0.906972788000751,-1.62603637177892,12.1072678733335,1.49949263309149,231.330524450242
20,0.914236385189213,-1.60474370513041,8.46824817260649,0.697900805741049,193.424910026615
