sex,module,cor_ME_RA,direction,consistent,gene,logFC,DEG_FDR,kME
Male,yellow,0.556,up in RA,TRUE,ABCA1,0.870631735163802,0.000147510856828939,0.55
Male,yellow,0.556,up in RA,TRUE,ABCC2,0.351106316789631,0.0286692319294647,0.606
Male,yellow,0.556,up in RA,TRUE,ABHD13,0.814112437937072,4.48113232226022e-07,0.845
Male,yellow,0.556,up in RA,TRUE,ABHD3,0.671927677026959,2.44223621671549e-05,0.876
Male,yellow,0.556,up in RA,TRUE,ABI1,0.330903100537878,1.53090684911008e-05,0.782
Male,yellow,0.556,up in RA,TRUE,ACAP2,0.391129105826022,2.68347224828922e-05,0.854
Male,yellow,0.556,up in RA,TRUE,ACOT13,0.387103893043541,0.000321370630099873,0.579
Male,yellow,0.556,up in RA,TRUE,ACSL3,0.437514217651599,5.27779264630187e-05,0.797
Male,yellow,0.556,up in RA,TRUE,ACSL4,0.675730962271661,3.3689151356976e-06,0.88
Male,yellow,0.556,up in RA,TRUE,ACTR10,0.332004903341152,1.47044474966872e-05,0.785
Male,yellow,0.556,up in RA,TRUE,ADAM10,0.519447925323033,8.88038712219397e-05,0.78
Male,yellow,0.556,up in RA,TRUE,ADAM9,0.640399078907353,0.000737726121668316,0.846
Male,yellow,0.556,up in RA,TRUE,AFTPH,0.185832242310744,0.00258337592591546,0.689
Male,yellow,0.556,up in RA,TRUE,AGFG1,0.344308257417702,0.000206935357320113,0.652
Male,yellow,0.556,up in RA,TRUE,AGTPBP1,0.378169493812229,0.000855925086208737,0.746
Male,yellow,0.556,up in RA,TRUE,AHCTF1,0.552975631484835,9.4289389666014e-06,0.672
Male,yellow,0.556,up in RA,TRUE,AIF1,0.206493667845377,0.02587037896199,0.459
Male,yellow,0.556,up in RA,TRUE,ALCAM,0.826975979580788,2.33707892068638e-06,0.773
Male,yellow,0.556,up in RA,TRUE,AMD1,0.352627917081025,3.40816940340027e-05,0.816
Male,yellow,0.556,up in RA,TRUE,AMN1,0.727349379121845,6.17906206056311e-07,0.846
Male,yellow,0.556,up in RA,TRUE,ANAPC13,0.206652434019443,0.00394409834268804,0.494
Male,yellow,0.556,up in RA,TRUE,ANGPT1,0.792240433182624,0.00160684129238086,0.424
Male,yellow,0.556,up in RA,TRUE,ANKRD50,0.466548890583539,0.00526418564091479,0.674
Male,yellow,0.556,up in RA,TRUE,ANKRD6,0.448975769253621,0.000106307332276644,0.555
Male,yellow,0.556,up in RA,TRUE,ANLN,0.309707562412284,0.0177652741765458,0.356
Male,yellow,0.556,up in RA,TRUE,ANXA3,1.0390670341277,0.000289278106071492,0.741
Male,yellow,0.556,up in RA,TRUE,APC,0.313861007110879,0.018951490892252,0.459
Male,yellow,0.556,up in RA,TRUE,ARFIP1,0.540209876017539,4.82456700006716e-06,0.808
Male,yellow,0.556,up in RA,TRUE,ARG1,1.4247725620729,6.99509200526872e-05,0.612
Male,yellow,0.556,up in RA,TRUE,ARHGAP29,0.388422440679429,0.000904390632631059,0.485
Male,yellow,0.556,up in RA,TRUE,ARID4A,0.552348264160085,1.97556317441598e-05,0.842
Male,yellow,0.556,up in RA,TRUE,ARID4B,0.714413031644724,7.79145850869992e-07,0.878
Male,yellow,0.556,up in RA,TRUE,ARL15,0.365868903518779,0.001228121701438,0.408
Male,yellow,0.556,up in RA,TRUE,ARL3,0.327701807337664,0.00515141706655428,0.68
Male,yellow,0.556,up in RA,TRUE,ARL5B,0.852506503081736,3.68027202396079e-06,0.803
Male,yellow,0.556,up in RA,TRUE,ARMC2,0.242480716440838,0.0165350051389316,0.379
Male,yellow,0.556,up in RA,TRUE,ARMC8,0.268139540955057,0.00288894170172067,0.44
Male,yellow,0.556,up in RA,TRUE,ARNTL,0.215562460359291,0.00914987402715104,0.651
Male,yellow,0.556,up in RA,TRUE,ARPC3,0.114185720533493,0.0421299730506122,0.495
Male,yellow,0.556,up in RA,TRUE,ARRDC3,0.616078075283232,8.22357208210858e-06,0.784
Male,yellow,0.556,up in RA,TRUE,ARRDC4,0.446917031290801,0.025910221851203,0.492
Male,yellow,0.556,up in RA,TRUE,ASAH1,0.191281823495434,0.00174382848011022,0.705
Male,yellow,0.556,up in RA,TRUE,ASB7,0.312542850686984,0.000208157648867327,0.801
Male,yellow,0.556,up in RA,TRUE,ASPH,0.852062333509057,0.00029274424802493,0.819
Male,yellow,0.556,up in RA,TRUE,ATG3,0.412876337038214,5.02943441423108e-06,0.822
Male,yellow,0.556,up in RA,TRUE,ATP11A,0.292957117336657,0.0389603946688631,0.582
Male,yellow,0.556,up in RA,TRUE,ATP11B,0.450279747984011,9.29307327380391e-06,0.836
Male,yellow,0.556,up in RA,TRUE,ATP2B1,0.437905340638984,7.60616931104633e-05,0.529
Male,yellow,0.556,up in RA,TRUE,ATP8B4,0.625437455035244,1.30407147802965e-05,0.724
Male,yellow,0.556,up in RA,TRUE,AZI2,0.794112034186848,7.96723789020629e-06,0.852
Male,yellow,0.556,up in RA,TRUE,AZIN1,0.437748136026224,1.47809617413927e-05,0.712
Male,yellow,0.556,up in RA,TRUE,B2M,0.169050326510641,8.86557533436417e-05,0.741
Male,yellow,0.556,up in RA,TRUE,B3GNT2,0.835376954304917,6.82462999576264e-08,0.825
Male,yellow,0.556,up in RA,TRUE,B3GNT5,0.726413613635744,0.000195511990673415,0.846
Male,yellow,0.556,up in RA,TRUE,BACH1,0.235632794626386,0.0121632112509923,0.785
Male,yellow,0.556,up in RA,TRUE,BAG4,0.670643062288186,7.17952336921064e-07,0.829
Male,yellow,0.556,up in RA,TRUE,BAZ1A,0.477741831812151,3.32994287978889e-07,0.891
Male,yellow,0.556,up in RA,TRUE,BAZ2B,0.683037107969479,2.94914055901324e-06,0.899
Male,yellow,0.556,up in RA,TRUE,BCAT1,0.96206336591482,1.59807614394394e-06,0.492
Male,yellow,0.556,up in RA,TRUE,BCL2A1,1.83658683032758,6.04796403658513e-08,0.869
Male,yellow,0.556,up in RA,TRUE,BLZF1,0.789440719253054,6.18655346906216e-07,0.801
Male,yellow,0.556,up in RA,TRUE,BNIP2,0.527319018241993,7.74097373763641e-07,0.92
Male,yellow,0.556,up in RA,TRUE,BTBD10,0.413809613378552,8.90807087620283e-06,0.856
Male,yellow,0.556,up in RA,TRUE,C11orf54,0.615110145015402,4.96603446024896e-08,0.908
Male,yellow,0.556,up in RA,TRUE,C16orf72,0.375859039717612,0.000157190757210281,0.783
Male,yellow,0.556,up in RA,TRUE,C1GALT1C1,1.00385518814671,1.71007028393782e-07,0.877
Male,yellow,0.556,up in RA,TRUE,C20orf197,0.76748405355887,5.62717063283011e-05,0.689
Male,yellow,0.556,up in RA,TRUE,C4orf32,0.701734368739199,3.41746266767013e-06,0.791
Male,yellow,0.556,up in RA,TRUE,C4orf33,0.739322513891542,5.91538932588742e-05,0.772
Male,yellow,0.556,up in RA,TRUE,C5orf30,0.722189353309423,9.21464550406777e-08,0.771
Male,yellow,0.556,up in RA,TRUE,C9orf66,0.242262201783977,0.00863506128978868,0.523
Male,yellow,0.556,up in RA,TRUE,C9orf72,0.63509045840395,7.08431245093317e-05,0.861
Male,yellow,0.556,up in RA,TRUE,CA8,0.233338874375911,0.0341548454245719,0.34
Male,yellow,0.556,up in RA,TRUE,CAB39,0.257364411430259,0.000927732634603212,0.8
Male,yellow,0.556,up in RA,TRUE,CALML4,0.30402507974356,0.00521530017506791,0.612
Male,yellow,0.556,up in RA,TRUE,CAPZA1,0.386212013907696,1.28648833005132e-07,0.854
Male,yellow,0.556,up in RA,TRUE,CAPZA2,0.724027337170535,4.96603446024896e-08,0.885
Male,yellow,0.556,up in RA,TRUE,CARD16,0.629157840436278,0.0040134376760679,0.666
Male,yellow,0.556,up in RA,TRUE,CARD8,0.284765778267196,0.00585823124813603,0.806
Male,yellow,0.556,up in RA,TRUE,CASC4,0.628590341096929,9.69272626627326e-07,0.881
Male,yellow,0.556,up in RA,TRUE,CASP1,0.326848507218263,5.96886517706454e-05,0.517
Male,yellow,0.556,up in RA,TRUE,CCDC126,1.1062889254445,1.61618483867465e-07,0.927
Male,yellow,0.556,up in RA,TRUE,CCDC146,0.468854416032001,0.00341992492355166,0.575
Male,yellow,0.556,up in RA,TRUE,CCNDBP1,0.175045072665618,0.00123394980964518,0.644
Male,yellow,0.556,up in RA,TRUE,CCNG2,0.647571277317229,1.51315759981745e-05,0.818
Male,yellow,0.556,up in RA,TRUE,CCNT2,0.584995374706536,0.000776671403556668,0.787
Male,yellow,0.556,up in RA,TRUE,CCPG1,0.755390807674707,1.05958350470608e-05,0.893
Male,yellow,0.556,up in RA,TRUE,CD46,0.521303410462615,2.93434510802894e-06,0.9
Male,yellow,0.556,up in RA,TRUE,CD58,0.444760087758443,5.61533712857565e-05,0.803
