module,size,n_samples,cor_Control,p_Control,cor_RA,p_RA,is_disease_module
yellow,708,138,-0.485,1.69e-09,0.485,1.69e-09,TRUE
red,525,138,-0.306,0.000258,0.306,0.000258,FALSE
turquoise,2584,138,-0.269,0.00141,0.269,0.00141,FALSE
pink,172,138,-0.082,0.338,0.082,0.338,FALSE
grey,6019,138,-0.043,0.619,0.043,0.619,FALSE
tan,34,138,0.066,0.439,-0.066,0.439,FALSE
magenta,127,138,0.12,0.161,-0.12,0.161,FALSE
black,295,138,0.149,0.082,-0.149,0.082,FALSE
blue,2554,138,0.182,0.0325,-0.182,0.0325,FALSE
greenyellow,108,138,0.229,0.00689,-0.229,0.00689,FALSE
purple,120,138,0.316,0.00016,-0.316,0.00016,FALSE
green,639,138,0.354,2.08e-05,-0.354,2.08e-05,FALSE
brown,1878,138,0.515,1e-10,-0.515,1e-10,TRUE
