module,size,n_samples,cor_Control,p_Control,cor_RA,p_RA,is_disease_module
yellow,708,35,-0.772,5.51e-08,0.772,5.51e-08,TRUE
turquoise,2584,35,-0.643,3.15e-05,0.643,3.15e-05,FALSE
grey,6019,35,-0.486,0.00311,0.486,0.00311,FALSE
red,525,35,-0.258,0.135,0.258,0.135,FALSE
pink,172,35,-0.018,0.917,0.018,0.917,FALSE
greenyellow,108,35,0.115,0.51,-0.115,0.51,FALSE
tan,34,35,0.186,0.285,-0.186,0.285,FALSE
magenta,127,35,0.303,0.0767,-0.303,0.0767,FALSE
purple,120,35,0.357,0.0351,-0.357,0.0351,FALSE
black,295,35,0.378,0.0253,-0.378,0.0253,FALSE
green,639,35,0.476,0.00384,-0.476,0.00384,FALSE
blue,2554,35,0.55,0.000624,-0.55,0.000624,FALSE
brown,1878,35,0.813,2.88e-09,-0.813,2.88e-09,TRUE
