gene,module
AAAS,brown
AACS,brown
AAK1,brown
AARS,brown
AARS2,brown
ABCA1,yellow
ABCA3,brown
ABCC10,brown
ABCC2,yellow
ABCF1,brown
ABCF2,brown
ABCF3,brown
ABHD12,brown
ABHD13,yellow
ABHD14B,brown
ABHD15,brown
ABHD3,yellow
ABI1,yellow
ABI3,brown
ABL1,brown
ABL2,brown
ACACA,brown
ACACB,brown
ACAD9,brown
ACADS,brown
ACAP1,brown
ACAP2,yellow
ACBD6,brown
ACLY,brown
ACO2,brown
ACOT13,yellow
ACOT7,brown
ACSF2,brown
ACSF3,brown
ACSL3,yellow
ACSL4,yellow
ACSL5,brown
ACSS1,brown
ACTR10,yellow
ACTR1B,brown
ACTR2,yellow
ACTR3,yellow
ACY1,brown
ADA,brown
ADAM10,yellow
ADAM9,yellow
ADAT3,brown
ADCK1,brown
ADCK2,brown
ADCY3,brown
ADD1,brown
ADI1,brown
ADRM1,brown
AEBP1,brown
AFG3L2,brown
AFTPH,yellow
AGFG1,yellow
AGFG2,brown
AGTPBP1,yellow
AHCTF1,yellow
AHCY,brown
AHCYL2,brown
AHNAK,brown
AHSA1,brown
AIF1,yellow
AIFM1,brown
AIFM2,brown
AIM1,brown
AIMP2,brown
AIP,brown
AK2,brown
AKR1A1,brown
AKR1B1,brown
AKR7A2,brown
ALAD,brown
ALCAM,yellow
ALDH16A1,brown
ALDH18A1,brown
ALDH6A1,brown
ALG3,brown
ALG8,brown
ALK,brown
ALKBH5,brown
ALKBH6,brown
ALMS1,brown
ALOX12B,brown
ALS2,yellow
ALS2CL,brown
ALX4,brown
AMD1,yellow
AMN1,yellow
AMT,brown
AMZ2,brown
ANAPC11,brown
ANAPC13,yellow
ANAPC16,brown
ANAPC2,brown
ANAPC5,brown
ANAPC7,brown
ANGEL1,brown
ANGPT1,yellow
ANGPTL6,brown
ANGPTL7,brown
ANKH,brown
ANKMY1,brown
ANKRD13B,brown
ANKRD17,brown
ANKRD34A,brown
ANKRD40,brown
ANKRD50,yellow
ANKRD54,brown
ANKRD6,yellow
ANKZF1,brown
ANLN,yellow
ANO8,brown
ANO9,brown
ANXA2,brown
ANXA2P2,brown
ANXA3,yellow
ANXA6,brown
ANXA7,brown
AP1G2,brown
AP3D1,brown
AP4B1,brown
APBA2,brown
APBA3,brown
APBB1,brown
APC,yellow
APEH,brown
APH1A,brown
APH1B,yellow
APOBEC3C,brown
APOBEC3D,brown
APOBEC3F,brown
APOL3,brown
APOOL,brown
APP,brown
APRT,brown
AQR,brown
ARFIP1,yellow
ARFIP2,brown
ARG1,yellow
ARHGAP10,brown
ARHGAP17,brown
ARHGAP22,brown
ARHGAP29,yellow
ARHGAP32,brown
ARHGAP4,brown
ARHGEF18,brown
ARHGEF5,brown
ARHGEF6,brown
ARHGEF7,brown
ARHGEF9,brown
ARID1B,brown
ARID4A,yellow
ARID4B,yellow
ARIH2,brown
ARL15,yellow
ARL2,brown
ARL3,yellow
ARL5B,yellow
ARL6IP4,brown
ARMC2,yellow
ARMC5,brown
ARMC6,brown
ARMC8,yellow
ARNTL,yellow
ARPC3,yellow
ARPC5L,brown
ARRDC2,brown
ARRDC3,yellow
ARRDC4,yellow
ASAH1,yellow
ASB1,brown
ASB7,yellow
ASB9,yellow
ASH1L,brown
ASPH,yellow
ASPSCR1,brown
ASS1,brown
ASXL1,brown
ASXL2,brown
ATAD3A,brown
ATG3,yellow
ATG9B,brown
ATIC,brown
ATN1,brown
ATP10A,brown
ATP11A,yellow
ATP11B,yellow
ATP13A1,brown
ATP13A2,brown
ATP1A1,brown
ATP2A2,brown
ATP2B1,yellow
ATP2B4,brown
ATP5B,brown
ATP5D,brown
ATP5G1,brown
ATP5G2,brown
ATP5SL,brown
ATP6AP1L,brown
ATP6V1D,yellow
ATP8B1,brown
ATP8B4,yellow
ATXN2L,brown
ATXN7L1,brown
AUP1,brown
AVP,brown
AZI2,yellow
AZIN1,yellow
B2M,yellow
B3GALT6,brown
B3GAT3,brown
B3GNT2,yellow
