gene,module,GS_RA,kME_own,is_disease_module
A1BG,grey,-0.047,-0.277,FALSE
A1CF,grey,-0.035,0.044,FALSE
A2M,grey,-0.152,-0.098,FALSE
A2ML1,grey,-0.004,0.194,FALSE
A4GALT,grey,-0.099,0.115,FALSE
A4GNT,grey,-0.028,-0.221,FALSE
AAAS,brown,-0.33,0.622,TRUE
AACS,brown,-0.303,0.467,TRUE
AADAC,grey,-0.002,-0.035,FALSE
AADACL2,turquoise,0.055,0.299,FALSE
AADAT,grey,0.025,0.3,FALSE
AAGAB,grey,0.141,-0.435,FALSE
AAK1,brown,-0.456,0.789,TRUE
AAMP,blue,-0.345,0.615,FALSE
AANAT,grey,-0.071,-0.178,FALSE
AARS,brown,-0.502,0.724,TRUE
AARS2,brown,-0.469,0.669,TRUE
AASDH,turquoise,0.207,0.618,FALSE
AASDHPPT,turquoise,0.273,0.882,FALSE
AASS,turquoise,0.068,0.326,FALSE
AATF,blue,-0.353,0.849,FALSE
AATK,blue,0.098,0.625,FALSE
ABAT,blue,-0.124,0.436,FALSE
ABCA1,yellow,0.427,0.55,TRUE
ABCA11P,turquoise,0.059,0.442,FALSE
ABCA12,grey,-0.006,-0.015,FALSE
ABCA13,grey,0.184,0.195,FALSE
ABCA2,grey,-0.105,-0.082,FALSE
ABCA3,brown,-0.243,0.527,TRUE
ABCA4,grey,0.003,-0.043,FALSE
ABCA5,turquoise,0.026,0.344,FALSE
ABCA6,grey,-0.055,-0.056,FALSE
ABCA7,blue,-0.027,0.623,FALSE
ABCA8,grey,0.078,0.253,FALSE
ABCA9,grey,0.037,0.269,FALSE
ABCB1,grey,-0.236,-0.106,FALSE
ABCB10,turquoise,0.421,0.868,FALSE
ABCB11,grey,-0.039,0.232,FALSE
ABCB4,purple,-0.213,0.778,FALSE
ABCB5,blue,-0.005,0.324,FALSE
ABCB7,turquoise,0.103,0.454,FALSE
ABCB8,grey,-0.206,0.009,FALSE
ABCB9,grey,-0.005,-0.045,FALSE
ABCC1,green,-0.173,0.46,FALSE
ABCC10,brown,-0.399,0.604,TRUE
ABCC11,grey,-0.015,0.192,FALSE
