module,gene,kME,GS_RA,connectivity,is_hub
brown,KHSRP,0.911,-0.564,130.11,TRUE
brown,GPI,0.907,-0.51,124.52,TRUE
brown,EXOSC10,0.902,-0.549,117.89,TRUE
brown,PTBP1,0.897,-0.582,116.57,TRUE
brown,CLSTN1,0.896,-0.556,119.11,TRUE
brown,SCAMP3,0.895,-0.473,110.57,TRUE
brown,SF3B3,0.894,-0.567,122.04,TRUE
brown,RNPS1,0.889,-0.527,109.52,TRUE
brown,ANAPC5,0.888,-0.51,108.59,TRUE
brown,SARS,0.886,-0.513,114.75,TRUE
brown,NUMA1,0.886,-0.539,111.63,TRUE
brown,NUDCD3,0.885,-0.491,106.19,TRUE
brown,DDX24,0.882,-0.554,113.65,TRUE
brown,HCFC1,0.88,-0.487,114.64,TRUE
brown,XRCC6,0.879,-0.489,118.4,TRUE
brown,PUF60,0.878,-0.51,109.11,TRUE
brown,SF1,0.877,-0.521,110.58,TRUE
brown,BAZ1B,0.876,-0.53,106.77,TRUE
brown,SRRT,0.875,-0.592,107.67,TRUE
brown,NFATC3,0.874,-0.555,107.37,TRUE
brown,SSRP1,0.874,-0.537,103.21,TRUE
brown,SEC31A,0.873,-0.521,104.56,TRUE
brown,TNRC6A,0.871,-0.499,103.38,TRUE
brown,MAP4K1,0.871,-0.555,101.24,TRUE
brown,TRIM44,0.869,-0.516,99.78,TRUE
brown,MLLT6,0.866,-0.549,102.75,TRUE
brown,FTO,0.865,-0.53,104.59,TRUE
brown,ABCF1,0.865,-0.581,101.65,TRUE
brown,ESYT1,0.864,-0.571,103.48,TRUE
brown,FAM134C,0.864,-0.458,101.14,TRUE
brown,RHOF,0.864,-0.472,95.13,TRUE
brown,CDC25B,0.861,-0.523,102.54,TRUE
brown,GANAB,0.861,-0.496,100.89,TRUE
brown,CYFIP2,0.86,-0.506,101.34,TRUE
brown,DNMT1,0.859,-0.495,99.82,TRUE
brown,MDH2,0.859,-0.452,95.86,TRUE
brown,PSMC5,0.858,-0.471,97.21,TRUE
brown,FXYD5,0.858,-0.425,96.88,TRUE
brown,SMARCD1,0.858,-0.512,96.83,TRUE
brown,PIP4K2B,0.858,-0.525,95.1,TRUE
brown,C6orf106,0.855,-0.488,97.46,TRUE
brown,ANXA6,0.852,-0.457,95.97,TRUE
brown,NISCH,0.852,-0.525,93.39,TRUE
brown,ECHS1,0.852,-0.493,93.37,TRUE
brown,PPP1CA,0.851,-0.438,96.86,TRUE
brown,GOT2,0.849,-0.495,94.15,TRUE
brown,MAZ,0.849,-0.517,89.37,TRUE
brown,SPTAN1,0.848,-0.503,96.33,TRUE
brown,SUN2,0.848,-0.473,95.28,TRUE
brown,PRPF8,0.847,-0.549,100.75,TRUE
brown,NDUFV1,0.847,-0.515,90.44,TRUE
brown,HNRNPUL1,0.846,-0.54,100.36,TRUE
brown,MAP4,0.846,-0.519,98.03,TRUE
brown,PPRC1,0.846,-0.544,90.96,TRUE
brown,USP11,0.844,-0.522,88.54,TRUE
brown,DNAJC11,0.844,-0.497,85.8,TRUE
brown,EIF2B5,0.843,-0.523,86.18,TRUE
brown,KPNA6,0.842,-0.482,92.77,TRUE
brown,USP36,0.842,-0.547,89.82,TRUE
brown,TUBB,0.84,-0.507,92.11,TRUE
brown,NUDC,0.839,-0.511,90.24,TRUE
brown,TATDN2,0.838,-0.516,87.09,TRUE
brown,ITGB7,0.838,-0.512,85.95,TRUE
brown,IDH3B,0.837,-0.47,93.33,TRUE
brown,HDAC1,0.837,-0.537,88.97,TRUE
brown,ITGAL,0.835,-0.541,89.77,TRUE
brown,IRF3,0.835,-0.526,86.47,TRUE
brown,TNFAIP8L1,0.835,-0.491,82.76,TRUE
brown,CSNK2B,0.834,-0.414,95.78,TRUE
brown,DENND1C,0.834,-0.502,93.35,TRUE
brown,PSMD11,0.834,-0.494,90.1,TRUE
brown,NF2,0.834,-0.398,87.96,TRUE
brown,TECR,0.834,-0.452,86.49,TRUE
brown,TRRAP,0.833,-0.513,86.36,TRUE
brown,RBM14,0.833,-0.447,81.7,TRUE
brown,GOLGA3,0.832,-0.518,86.52,TRUE
brown,SRP68,0.831,-0.456,87.2,TRUE
brown,DPAGT1,0.83,-0.571,84.27,TRUE
brown,TJAP1,0.83,-0.529,81.04,TRUE
brown,LARP1,0.829,-0.508,90.51,TRUE
brown,TMC8,0.829,-0.55,85.1,TRUE
brown,SUPT5H,0.828,-0.545,90.17,TRUE
brown,POGK,0.828,-0.471,80.53,TRUE
brown,PPM1G,0.827,-0.474,88.96,TRUE
brown,KDELR1,0.825,-0.437,88.26,TRUE
brown,ALKBH5,0.824,-0.476,83.91,TRUE
brown,STAG3L3,0.824,-0.462,81.63,TRUE
brown,SMARCC2,0.823,-0.55,89.29,TRUE
brown,ATIC,0.823,-0.502,88.35,TRUE
brown,FYN,0.822,-0.491,86.26,TRUE
brown,TCF25,0.822,-0.463,82.96,TRUE
brown,IDH3G,0.821,-0.475,91.49,TRUE
brown,MCCC2,0.821,-0.486,81.65,TRUE
brown,KDM1A,0.821,-0.621,80.05,TRUE
brown,NFATC2IP,0.819,-0.494,82.75,TRUE
brown,NAT10,0.819,-0.597,80.01,TRUE
brown,ATP5D,0.819,-0.435,78.2,TRUE
