ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0006397,mRNA processing,118/2342,392/13904,0.301020408163265,1.78709981003503,7.11449776112758,3.26338853796665e-11,1.52201314126658e-07,1.42624276523845e-07,ALKBH5/AQR/ARL6IP4/CDC5L/CDK13/CDK9/CELF1/CIRBP/CPSF1/CPSF3/CPSF4/CRIPT/CSTF1/CTNNBL1/DCPS/DDX41/DDX42/DDX46/DHX38/DHX9/DNAJC17/DUS3L/EFTUD2/EIF4A3/EXOSC10/FAM50A/FIP1L1/FMR1/GEMIN4/GEMIN5/GPATCH1/GPKOW/HNRNPA0/HNRNPF/HNRNPL/HNRNPM/HNRNPU/HNRNPUL1/HSF1/IK/IVNS1ABP/KHSRP/KIN/LSM2/LSM4/LUC7L/LUC7L2/NCL/NONO/PABPC1/PAN2/PAN3/PAPOLA/PAPOLG/PCBP4/PPIL2/PPP4R2/PQBP1/PRMT7/PRPF18/PRPF19/PRPF3/PRPF31/PRPF4/PRPF40B/PRPF6/PRPF8/PTBP1/PUF60/PUS1/QKI/RBM14/RBM15B/RBM4/RBM4B/RBM6/RBM7/RBMXL1/RNASEL/RNF113A/RNPS1/RPRD2/RPUSD3/SAP18/SART3/SF1/SF3A2/SF3A3/SF3B3/SFPQ/SLBP/SLU7/SNRNP200/SNRNP40/SNRNP70/SNRPA/SNRPB/SRRM1/SRRM2/SRRT/SYF2/SYMPK/TGS1/THOC6/THRAP3/TRMT2A/TRUB2/TSEN54/TUT1/U2AF1L4/U2AF2/USP39/WBP11/WBP4/WDR77/XAB2/ZBTB7A/ZRSR2,118
BP,GO:0022613,ribonucleoprotein complex biogenesis,111/2342,364/13904,0.304945054945055,1.81039967718021,7.0513430415868,5.29580076989067e-11,1.52201314126658e-07,1.42624276523845e-07,BMS1/BYSL/CELF1/CUL4B/DDX27/DDX31/DDX42/DDX46/DDX51/DDX54/DDX56/DHX30/DHX37/DHX9/DICER1/EIF3B/EIF3D/EIF3G/EIF3I/EIF4A3/EIF5B/EIF6/ERAL1/ERCC2/ERI3/EXOSC10/EXOSC5/FTSJ3/GAR1/GEMIN4/GEMIN5/GNL3L/GRWD1/HEATR1/HSP90AB1/IMP4/KRI1/LAS1L/LSG1/LSM2/LSM4/LUC7L/LUC7L2/MPV17L2/MRPS2/MYBBP1A/NAT10/NOB1/NOC2L/NOC4L/NOL10/NOL6/NOL9/NOP14/NOP2/NSUN3/NSUN5P1/PDCD11/PELP1/PES1/PIH1D1/PRMT7/PRPF18/PRPF19/PRPF3/PRPF31/PRPF6/PRPF8/PUF60/PWP1/PWP2/REXO4/RNASEL/RPP30/RPS28/RRP1/RRP7A/RRP8/RRP9/RUVBL1/RUVBL2/SART3/SF1/SF3A2/SF3A3/SF3B3/SLU7/SNRNP200/SNRPB/SUV39H1/TARBP2/TGS1/TRMT2B/TSC1/TSR1/TSR2/U2AF2/URB1/USP36/USP39/UTP20/UTP23/WBP11/WDR18/WDR46/WDR55/WDR77/XAB2/YTHDF2/ZNF658/ZRSR2,111
BP,GO:0000375,"RNA splicing, via transesterification reactions",83/2342,250/13904,0.332,1.9710196413322,6.97267292929255,1.52882910706936e-10,1.81226941628401e-07,1.69823510294203e-07,AQR/CDC5L/CDK13/CELF1/CIRBP/CTNNBL1/DCPS/DDX41/DDX42/DDX46/DHX38/DHX9/DNAJC17/EFTUD2/EIF4A3/EXOSC10/FMR1/GEMIN4/GEMIN5/GPATCH1/GPKOW/HNRNPF/HNRNPL/HNRNPM/HNRNPU/HNRNPUL1/IK/KHSRP/LSM2/LSM4/LUC7L/LUC7L2/NCL/PABPC1/PCBP4/PQBP1/PRMT7/PRPF18/PRPF19/PRPF3/PRPF31/PRPF4/PRPF40B/PRPF6/PRPF8/PTBP1/PUF60/QKI/RBM14/RBM15B/RBM4/RBM4B/RBM6/RBM7/RBMXL1/RNF113A/RNPS1/SAP18/SART3/SF1/SF3A2/SF3A3/SF3B3/SFPQ/SLU7/SNRNP200/SNRNP40/SNRNP70/SNRPA/SNRPB/SRRM1/SRRM2/SYF2/TGS1/THRAP3/U2AF1L4/U2AF2/USP39/WBP4/WDR77/XAB2/ZBTB7A/ZRSR2,83
BP,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",82/2342,246/13904,0.333333333333333,1.97893538286365,6.97203003932217,1.57643477408142e-10,1.81226941628401e-07,1.69823510294203e-07,AQR/CDC5L/CDK13/CELF1/CIRBP/CTNNBL1/DCPS/DDX41/DDX42/DDX46/DHX38/DHX9/DNAJC17/EFTUD2/EIF4A3/EXOSC10/FMR1/GEMIN4/GEMIN5/GPATCH1/GPKOW/HNRNPF/HNRNPL/HNRNPM/HNRNPU/HNRNPUL1/IK/LSM2/LSM4/LUC7L/LUC7L2/NCL/PABPC1/PCBP4/PQBP1/PRMT7/PRPF18/PRPF19/PRPF3/PRPF31/PRPF4/PRPF40B/PRPF6/PRPF8/PTBP1/PUF60/QKI/RBM14/RBM15B/RBM4/RBM4B/RBM6/RBM7/RBMXL1/RNF113A/RNPS1/SAP18/SART3/SF1/SF3A2/SF3A3/SF3B3/SFPQ/SLU7/SNRNP200/SNRNP40/SNRNP70/SNRPA/SNRPB/SRRM1/SRRM2/SYF2/TGS1/THRAP3/U2AF1L4/U2AF2/USP39/WBP4/WDR77/XAB2/ZBTB7A/ZRSR2,82
BP,GO:0000398,"mRNA splicing, via spliceosome",82/2342,246/13904,0.333333333333333,1.97893538286365,6.97203003932217,1.57643477408142e-10,1.81226941628401e-07,1.69823510294203e-07,AQR/CDC5L/CDK13/CELF1/CIRBP/CTNNBL1/DCPS/DDX41/DDX42/DDX46/DHX38/DHX9/DNAJC17/EFTUD2/EIF4A3/EXOSC10/FMR1/GEMIN4/GEMIN5/GPATCH1/GPKOW/HNRNPF/HNRNPL/HNRNPM/HNRNPU/HNRNPUL1/IK/LSM2/LSM4/LUC7L/LUC7L2/NCL/PABPC1/PCBP4/PQBP1/PRMT7/PRPF18/PRPF19/PRPF3/PRPF31/PRPF4/PRPF40B/PRPF6/PRPF8/PTBP1/PUF60/QKI/RBM14/RBM15B/RBM4/RBM4B/RBM6/RBM7/RBMXL1/RNF113A/RNPS1/SAP18/SART3/SF1/SF3A2/SF3A3/SF3B3/SFPQ/SLU7/SNRNP200/SNRNP40/SNRNP70/SNRPA/SNRPB/SRRM1/SRRM2/SYF2/TGS1/THRAP3/U2AF1L4/U2AF2/USP39/WBP4/WDR77/XAB2/ZBTB7A/ZRSR2,82
MF,GO:0140640,"catalytic activity, acting on a nucleic acid",132/2412,482/14323,0.273858921161826,1.62623603971842,6.2935286914757,2.39328024536721e-09,2.56320314278828e-06,2.31014524737024e-06,AARS2/ALKBH5/ANKZF1/AQR/CHD1/CHD3/CHRAC1/CHTF18/CHTF8/CNOT1/CPSF3/DCP2/DCPS/DDX11/DDX19A/DDX24/DDX27/DDX31/DDX41/DDX42/DDX46/DDX51/DDX54/DDX55/DDX56/DHX30/DHX33/DHX37/DHX38/DHX40/DHX57/DHX9/DICER1/DIS3L2/DNASE1/DNMT1/DUS1L/DUS3L/EIF4A3/ELAC2/EME2/ENDOG/EP400/ERCC2/ERCC3/ERI3/ETF1/EXOSC10/EXOSC5/FARS2/FARSA/FARSB/FTO/FTSJ3/HMGA1/INO80/LARS2/LRRC47/MCM3/MCM5/MCM6/MCM7/MCM9/METTL2B/MGMT/MPG/MTFMT/MUS81/MUTYH/NEIL2/NOB1/NOP2/NSUN3/NSUN5P1/NTHL1/OGG1/PAN2/PAN3/PARN/PLD4/POLA1/POLB/POLD1/POLD4/POLE/POLG/POLH/POLR1A/POLR1B/POLR2L/POLR3A/POLR3C/POLRMT/PTRH1/PUS1/QTRT1/RAD50/RAD54L2/RAD9A/RNASE4/RNASEH2A/RNASEL/RPP30/RUVBL1/RUVBL2/SAMHD1/SARS2/SLFN12/SLFN13/SLU7/SMARCA4/SMARCAL1/SMG6/SND1/SNRNP200/SUPV3L1/TDP2/TERF2/TGS1/TOE1/TRMT1/TRMT2A/TRMT2B/TRMU/TRUB2/TSNAX/TUT1/VARS2/VPS72/XRCC3/XRCC6/ZC3H12C,132
CC,GO:0019866,organelle inner membrane,119/2418,429/14434,0.277389277389277,1.65584649703756,6.18608363086184,4.89006495148749e-09,3.24700312778769e-06,2.57886583231077e-06,ACAD9/ADCK1/AFG3L2/AIFM1/ALDH18A1/APOOL/APP/ATAD3A/ATP11B/BCS1L/CHCHD10/CLPX/CNP/COQ10B/COQ2/COQ4/COX10/COX6B1/COX8A/CYC1/DNAJC11/DNAJC30/EMD/ENDOG/ERAL1/FDXR/FLVCR1/FOXRED1/FPGS/GPD2/HADHA/HIGD1A/HIGD2A/IFFO1/IMMT/LBR/LETM1/LRRK2/MPV17/MPV17L2/MRPL10/MRPL12/MRPL16/MRPL2/MRPL37/MRPL38/MRPL4/MRPL41/MRPL49/MRPL55/MRPS11/MRPS12/MRPS18A/MRPS2/MRPS34/MRPS6/MTG1/NDUFA10/NDUFA11/NDUFA3/NDUFA9/NDUFAF3/NDUFB10/NDUFB3/NDUFB9/NDUFS7/NDUFV1/OXA1L/PLA2G4A/PMPCA/PPOX/PSEN2/PTCD3/PTGS2/PTPN1/RDH13/RNF13/SAMM50/SDHA/SDHC/SDHD/SFXN2/SFXN3/SHMT2/SIGMAR1/SLC25A13/SLC25A14/SLC25A19/SLC25A22/SLC25A23/SLC25A28/SLC25A3/SLC25A35/SLC25A38/SLC25A40/SLC25A42/SLC25A45/SLC25A5/SLC25A6/SLC35A4/SPG7/SPHK2/SPNS1/STOML2/SUN2/TIMM22/TIMM44/TIMM50/TM7SF2/TMEM160/TMEM201/TMEM65/TMX4/TOMM40/TOR1AIP1/TRAP1/UCP2/UQCRC1/ZMPSTE24,119
BP,GO:0008380,RNA splicing,104/2342,359/13904,0.289693593314763,1.71985470599849,6.21918952781487,5.01189338588897e-09,4.80139386368164e-06,4.49927341326208e-06,AHNAK/AQR/ARL6IP4/CDC5L/CDK13/CELF1/CIRBP/CLK2/CLK4/CRIPT/CTNNBL1/DCPS/DDX41/DDX42/DDX46/DHX38/DHX9/DNAJC17/EFTUD2/EIF4A3/EXOSC10/FAM50A/FASTK/FMR1/FUS/GEMIN4/GEMIN5/GPATCH1/GPKOW/HNRNPF/HNRNPL/HNRNPM/HNRNPU/HNRNPUL1/IK/IVNS1ABP/KAT2A/KHSRP/LSM2/LSM4/LUC7L/LUC7L2/NCL/NONO/PABPC1/PCBP4/PDCD7/PPIL2/PPP4R2/PQBP1/PRMT1/PRMT7/PRPF18/PRPF19/PRPF3/PRPF31/PRPF4/PRPF40B/PRPF6/PRPF8/PTBP1/PUF60/PUS1/QKI/RBM14/RBM15B/RBM4/RBM4B/RBM6/RBM7/RBMXL1/RNF113A/RNPS1/SAP18/SART3/SF1/SF3A2/SF3A3/SF3B3/SFPQ/SLU7/SNRNP200/SNRNP40/SNRNP70/SNRPA/SNRPB/SRRM1/SRRM2/SYF2/TAF15/TGS1/THOC6/THRAP3/TRRAP/TSEN54/U2AF1L4/U2AF2/USP39/WBP11/WBP4/WDR77/XAB2/ZBTB7A/ZRSR2,104
CC,GO:0005681,spliceosomal complex,57/2418,165/14434,0.345454545454545,2.06215504925182,6.15544727051447,1.92047900154108e-08,6.37599028511638e-06,5.06399989353727e-06,AQR/CCDC12/CDC5L/CIRBP/CRIPT/CTNNBL1/DDX41/DDX42/DDX46/DHX38/DNAJC17/EFTUD2/EIF4A3/GPATCH1/GPKOW/HNRNPF/HNRNPM/HNRNPU/IK/IVNS1ABP/LSM2/LSM4/LUC7L/LUC7L2/NCL/PABPC1/PDCD7/PPIL2/PRPF18/PRPF19/PRPF3/PRPF31/PRPF4/PRPF40B/PRPF6/PRPF8/RBMXL1/RNF113A/SF1/SF3A2/SF3A3/SF3B3/SLU7/SNRNP200/SNRNP40/SNRNP70/SNRPA/SNRPB/SRRM1/SRRM2/SYF2/U2AF1L4/U2AF2/USP39/WBP4/XAB2/ZRSR2,57
BP,GO:0016072,rRNA metabolic process,70/2342,214/13904,0.327102803738318,1.94194593645498,6.24974594961763,8.36622768435788e-09,6.8698681042413e-06,6.43759203922696e-06,BMS1/BYSL/DDX11/DDX27/DDX51/DDX54/DDX56/DHX37/EIF4A3/EIF6/ERCC2/ERI3/EXOSC10/EXOSC5/FTSJ3/GAR1/GEMIN4/GTF3C1/GTF3C2/GTF3C5/HEATR1/IMP4/KRI1/LAS1L/MTOR/NAT10/NCL/NOB1/NOC4L/NOL10/NOL6/NOL9/NOP14/NOP2/NSUN3/NSUN5P1/PDCD11/PELP1/PES1/PIH1D1/POLR1B/PWP1/PWP2/REXO4/RNASEL/RPP30/RPS28/RRP1/RRP7A/RRP8/RRP9/SLFN12/SLFN13/SMARCA4/SMARCB1/SUV39H1/TCOF1/TP53/TRMT2B/TSR1/TSR2/URB1/USP36/UTP20/UTP23/WBP11/WDR18/WDR46/WDR55/YTHDF2,70
