category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Genetic Information Processing,Transcription,hsa03040,Spliceosome,43/1224,114/7134,0.37719298245614,2.1984434124527,5.86995109013969,1.0634034667633e-07,3.72191213367154e-05,3.34692249012869e-05,AQR/CCDC12/CDC5L/CTNNBL1/DDX42/DDX46/DHX38/EFTUD2/EIF4A3/FUS/GPKOW/HNRNPM/HNRNPU/LSM2/LSM4/PQBP1/PRPF18/PRPF19/PRPF3/PRPF31/PRPF4/PRPF40B/PRPF6/PRPF8/PUF60/RBMXL1/SF1/SF3A2/SF3A3/SF3B3/SLU7/SNRNP200/SNRNP40/SNRNP70/SNRPA/SNRPB/SYF2/THOC6/U2AF1L4/U2AF2/USP39/WBP11/XAB2,43
Metabolism,Carbohydrate metabolism,hsa00020,Citrate cycle (TCA cycle),17/1224,30/7134,0.566666666666667,3.30277777777778,5.75167398148822,1.10016362966387e-06,0.000192528635191176,0.000173131013299735,ACLY/ACO2/CS/DLST/FH/IDH1/IDH2/IDH3A/IDH3B/IDH3G/MDH2/PCK2/PDHA1/PDHB/SDHA/SDHC/SDHD,17
Genetic Information Processing,Chromosome,hsa03083,Polycomb repressive complex,28/1224,78/7134,0.358974358974359,2.09225741578683,4.41393667026972,5.06202446240041e-05,0.00590569520613381,0.00531068531318499,ASXL1/ASXL2/BCOR/CBX6/CSNK2B/DCAF7/FBRSL1/FOXK1/HCFC1/HDAC1/L3MBTL2/MAX/MBD5/PCGF2/PCGF3/PHC1/PHF1/PHF19/RING1/RYBP/SCMH1/SFMBT1/TEX10/UBE2D1/UBE2D3/USP7/WDR5/YAF2,28
Genetic Information Processing,Chromosome,hsa03082,ATP-dependent chromatin remodeling,29/1224,84/7134,0.345238095238095,2.01219654528478,4.24661623454649,8.47391647491761e-05,0.00605860026316865,0.00544818489830805,ARID1B/BAZ1A/BAZ1B/BAZ2B/BCL7B/BRD7/BRD9/CDK2AP2/CHD3/CHRAC1/DMAP1/EP400/HDAC1/ING3/INO80/INO80E/MBD3/MTA2/NFRKB/RUVBL1/RUVBL2/SMARCA4/SMARCB1/SMARCC1/SMARCC2/SMARCD1/TFPT/TRRAP/VPS72,29
Metabolism,Global and overview maps,hsa01210,2-Oxocarboxylic acid metabolism,15/1224,32/7134,0.46875,2.73207720588235,4.46873891731064,9.24141606420664e-05,0.00605860026316865,0.00544818489830805,ACO2/ACY1/BCAT1/BCAT2/CS/DLST/GOT1/GOT2/IDH1/IDH2/IDH3A/IDH3B/IDH3G/PDHA1/PDHB,15
Genetic Information Processing,Translation,hsa03013,Nucleocytoplasmic transport,31/1224,93/7134,0.333333333333333,1.94281045751634,4.16468130709767,0.000103861718797177,0.00605860026316865,0.00544818489830805,AAAS/AHCTF1/DDX19A/EIF4A3/IPO13/IPO4/IPO9/KPNA4/KPNA6/NUP188/NUP210/NUP50/NUP62/NUP85/NUP93/NXF1/POM121/POM121C/RANGAP1/RNPS1/SAP18/SEC13/SRRM1/SUMO3/THOC6/TMEM33/TNPO2/TPR/UBE2I/UPF2/XPO5,31
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,34/1224,108/7134,0.314814814814815,1.83487654320988,3.97844304134939,0.000175223516719941,0.00876117583599706,0.00787847090214472,ACADS/ACO2/ACSS1/ALDH6A1/AMT/CS/DLST/ECHS1/ENO1/ENO3/ESD/FH/GLUD2/GOT1/GOT2/GPI/IDH1/IDH2/IDH3A/IDH3B/IDH3G/MDH2/PCCA/PCCB/PDHA1/PDHB/PFKM/PFKP/PHGDH/SDHA/SDHC/SDHD/SHMT2/TPI1,34
Genetic Information Processing,Translation,hsa03015,mRNA surveillance pathway,27/1224,81/7134,0.333333333333333,1.94281045751634,3.88340816145821,0.000285054994268478,0.0124711559992459,0.0112146635902993,CPSF1/CPSF3/CPSF4/CSTF1/DDX19A/EIF4A3/ETF1/FIP1L1/FUS/NXF1/PABPC1/PAPOLA/PAPOLG/PPP1CA/PPP1CB/PPP2CA/PPP2R3A/PPP2R3C/PPP2R5A/PPP2R5D/RNPS1/SAP18/SMG6/SRRM1/SYMPK/UPF2/WDR82,27
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,75/1224,304/7134,0.246710526315789,1.43793537151703,3.55115431144677,0.000433765005864129,0.0168686391169384,0.0151690920179386,ACTR10/ACTR1B/ADRM1/ALS2/ANXA7/ATXN2L/C9orf72/CASP1/CHCHD10/CHMP2B/COX6B1/COX8A/CYC1/DAXX/DCTN4/DCTN5/DNAH1/FUS/HDAC6/KLC2/MTOR/NDUFA10/NDUFA11/NDUFA3/NDUFA9/NDUFB10/NDUFB3/NDUFB9/NDUFS7/NDUFV1/NRG1/NUP188/NUP210/NUP50/NUP62/NUP85/NUP93/NXF1/PFN1/PIK3R4/POM121/POM121C/PSMA5/PSMB2/PSMB5/PSMB6/PSMB7/PSMC3/PSMC4/PSMC5/PSMD1/PSMD11/PSMD2/PSMD3/PSMD7/PSMD8/RAB5A/RAB8A/RB1CC1/SDHA/SDHC/SDHD/SEC13/SIGMAR1/SPG11/TANK/TBK1/TOMM40/TP53/TPR/TRAF2/TUBB/TUBB3/UBQLN4/UQCRC1,75
Metabolism,Lipid metabolism,hsa00100,Steroid biosynthesis,9/1224,17/7134,0.529411764705882,3.0856401384083,3.91785568422519,0.000813424146458745,0.0284698451260561,0.0256014547148595,DHCR24/EBP/FDFT1/HSD17B7/LBR/LIPA/LSS/NSDHL/TM7SF2,9
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,22/1224,66/7134,0.333333333333333,1.94281045751634,3.50171800195049,0.00101527671030735,0.0323042589643247,0.0290495441513777,ACO2/ACY1/ALDH18A1/ARG1/ASS1/BCAT1/BCAT2/CS/ENO1/ENO3/GOT1/GOT2/IDH1/IDH2/IDH3A/IDH3B/IDH3G/PFKM/PFKP/PHGDH/SHMT2/TPI1,22
Genetic Information Processing,"Folding, sorting and degradation",hsa04120,Ubiquitin mediated proteolysis,37/1224,132/7134,0.28030303030303,1.63372697563874,3.34434588011103,0.0011508155745659,0.0335654542581722,0.0301836716487022,ANAPC11/ANAPC13/ANAPC16/ANAPC2/ANAPC5/ANAPC7/BIRC6/BTRC/CBLB/CDC16/CUL1/CUL3/CUL4B/DDB1/DDB2/DET1/FBXW8/HERC1/PIAS3/PPIL2/PRPF19/RHOBTB2/SAE1/SIAH1/STUB1/UBA3/UBE2D1/UBE2D3/UBE2G1/UBE2G2/UBE2I/UBE2K/UBE2L3/UBE2W/UBE2Z/UBE3B/UBE3C,37
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,54/1224,213/7134,0.253521126760563,1.47763048881524,3.22055335934665,0.00138706845835462,0.0373441508018552,0.0335816574127961,ADCY3/ANAPC11/ANAPC13/ANAPC16/ANAPC2/ANAPC5/ANAPC7/B2M/CALR/CD3E/CD4/CDC16/CDK4/CDKN2B/CHUK/CREB1/CREB3/CREB3L2/CRTC3/E2F3/FDPS/HLA-A/HLA-DMA/HLA-DPA1/HLA-DPB1/HLA-DRB1/HRAS/IKBKB/IL2RB/IL2RG/ITGAL/JAK1/KAT2A/KRAS/LTA/MAD1L1/MAPK1/NFATC1/NFATC2/NFATC3/PIK3CA/POLB/PTEN/RANBP3/RB1/SLC25A5/SLC25A6/SMAD2/SMAD4/TGFBR1/TP53/TRRAP/VAC14/VDAC2,54
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,55/1224,219/7134,0.251141552511416,1.4637613036082,3.17214881965066,0.00158644004933245,0.0396610012333113,0.035665080808301,ADRM1/CALM1/CALML4/COX6B1/COX8A/CYC1/DAXX/KLC2/LRRK2/MFN1/NDUFA10/NDUFA11/NDUFA3/NDUFA9/NDUFB10/NDUFB3/NDUFB9/NDUFS7/NDUFV1/NFE2L2/PLCG1/PSMA5/PSMB2/PSMB5/PSMB6/PSMB7/PSMC3/PSMC4/PSMC5/PSMD1/PSMD11/PSMD2/PSMD3/PSMD7/PSMD8/SDHA/SDHC/SDHD/SLC11A2/SLC18A2/SLC25A5/SLC25A6/SLC39A13/SLC39A9/TP53/TRAP1/TUBB/TUBB3/TXN/TXN2/UBE2G1/UBE2G2/UBE2L3/UQCRC1/VDAC2,55
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,30/1224,103/7134,0.29126213592233,1.69760137064535,3.24526726513711,0.00170150129003855,0.0397016967675662,0.0357016761909844,CD247/CD3E/CD4/CHUK/FOXP3/HIF1A/HLA-DMA/HLA-DPA1/HLA-DPB1/HLA-DRB1/HSP90AB1/IFNGR1/IKBKB/IL21R/IL27RA/IL2RB/IL2RG/JAK1/JAK2/MAPK1/MTOR/NFATC1/NFATC2/NFATC3/PLCG1/RORC/SMAD2/SMAD4/TGFBR1/ZAP70,30
Genetic Information Processing,"Folding, sorting and degradation",hsa03050,Proteasome,15/1224,41/7134,0.365853658536585,2.13235294117647,3.30896246941669,0.00223831350962626,0.0489631080230744,0.0440299828538323,ADRM1/PSMA5/PSMB2/PSMB5/PSMB6/PSMB7/PSMC3/PSMC4/PSMC5/PSMD1/PSMD11/PSMD2/PSMD3/PSMD7/PSMD8,15
