module,size,n_samples,cor_Control,p_Control,cor_RA,p_RA,is_disease_module
yellow,708,173,-0.556,1.91e-15,0.556,1.91e-15,TRUE
turquoise,2584,173,-0.369,6.09e-07,0.369,6.09e-07,FALSE
red,525,173,-0.289,0.000118,0.289,0.000118,FALSE
grey,6019,173,-0.161,0.0342,0.161,0.0342,FALSE
pink,172,173,-0.073,0.337,0.073,0.337,FALSE
tan,34,173,0.097,0.204,-0.097,0.204,FALSE
magenta,127,173,0.156,0.0406,-0.156,0.0406,FALSE
black,295,173,0.212,0.00512,-0.212,0.00512,FALSE
greenyellow,108,173,0.216,0.00423,-0.216,0.00423,FALSE
blue,2554,173,0.286,0.000134,-0.286,0.000134,FALSE
purple,120,173,0.317,2.1e-05,-0.317,2.1e-05,FALSE
green,639,173,0.362,9.59e-07,-0.362,9.59e-07,FALSE
brown,1878,173,0.59,1.29e-17,-0.59,1.29e-17,TRUE
