gene,direction,MR_OR,MR_pval,MR_FDR_stratum,nSNP,method
AP4B1,risk (OR>1),1.424,1.3e-12,1.89e-09,1,Wald ratio
PHF19,protective (OR<1),0.791,2.95e-08,2.09e-05,2,Inverse variance weighted
IKZF3,risk (OR>1),1.174,4.32e-08,2.09e-05,2,Inverse variance weighted
NCOA5,protective (OR<1),0.422,1.2e-06,0.000437,1,Wald ratio
PGAP3,protective (OR<1),0.861,3.9e-06,0.00114,1,Wald ratio
TAB1,protective (OR<1),0.428,1.6e-05,0.00388,1,Wald ratio
MED1,protective (OR<1),0.732,4.4e-05,0.00915,1,Wald ratio
INPP5B,risk (OR>1),1.104,6e-05,0.0109,1,Wald ratio
ZNF785,risk (OR>1),1.895,1e-04,0.016,1,Wald ratio
SMARCC2,protective (OR<1),0.76,0.00011,0.016,1,Wald ratio
SH2B1,protective (OR<1),0.494,0.00015,0.0199,1,Wald ratio
LPCAT2,risk (OR>1),1.097,0.000194,0.0235,3,Inverse variance weighted
CDC37,protective (OR<1),0.752,0.00036,0.0403,1,Wald ratio
KLF2,protective (OR<1),0.54,0.00047,0.0489,1,Wald ratio
