gene,MHC_gene,instrument_chr,nSNP_primary,method_primary,OR_primary,OR_lo_primary,OR_hi_primary,p_primary,FDR_primary,nSNP_noMHC,method_noMHC,OR_noMHC,OR_lo_noMHC,OR_hi_noMHC,p_noMHC,FDR_noMHC,estimate_unchanged,verdict,direction_consistent
HLA-DRB1,TRUE,6,1,Wald ratio,0.337,0.316,0.359,1e-250,1.48e-247,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
WDR46,TRUE,6,1,Wald ratio,4.531,3.643,5.635,5.2e-42,3.84e-39,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
AIF1,TRUE,6,2,Inverse variance weighted,0.556,0.497,0.623,2.53e-24,1.25e-21,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
VPS52,TRUE,6,1,Wald ratio,0.414,0.349,0.491,4.2e-24,1.55e-21,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
GNL1,TRUE,6,1,Wald ratio,4.629,3.263,6.567,9e-18,2.66e-15,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
VARS2,TRUE,6,3,Inverse variance weighted,1.203,1.152,1.257,1.08e-16,2.67e-14,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
AP4B1,FALSE,1,1,Wald ratio,1.424,1.291,1.569,1.3e-12,2.74e-10,1,Wald ratio,1.424,1.291,1.569,1.3e-12,1.88e-09,TRUE,ROBUST (significant with and without MHC),TRUE
HLA-DMA,TRUE,6,1,Wald ratio,0.559,0.474,0.658,3.5e-12,6.46e-10,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
CSNK2B,TRUE,6,1,Wald ratio,0.546,0.459,0.651,1.3e-11,2.13e-09,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
LSM2,TRUE,6,1,Wald ratio,1.739,1.476,2.048,3.5e-11,5.17e-09,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
HLA-DPA1,TRUE,6,2,Inverse variance weighted,1.768,1.485,2.105,1.51e-10,2.03e-08,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
BRD2,TRUE,6,1,Wald ratio,1.554,1.336,1.806,9.9e-09,1.22e-06,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
C6orf136,TRUE,6,1,Wald ratio,0.537,0.433,0.665,1.2e-08,1.36e-06,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
PHF19,FALSE,9,2,Inverse variance weighted,0.791,0.728,0.859,2.95e-08,3.12e-06,2,Inverse variance weighted,0.791,0.728,0.859,2.95e-08,2.08e-05,TRUE,ROBUST (significant with and without MHC),TRUE
IKZF3,FALSE,17,2,Inverse variance weighted,1.174,1.109,1.244,4.32e-08,4.25e-06,2,Inverse variance weighted,1.174,1.109,1.244,4.32e-08,2.08e-05,TRUE,ROBUST (significant with and without MHC),TRUE
NCOA5,FALSE,20,1,Wald ratio,0.422,0.298,0.598,1.2e-06,0.000111,1,Wald ratio,0.422,0.298,0.598,1.2e-06,0.000434,TRUE,ROBUST (significant with and without MHC),TRUE
DAXX,TRUE,6,2,Inverse variance weighted,0.484,0.357,0.656,2.98e-06,0.000259,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
PGAP3,FALSE,17,1,Wald ratio,0.861,0.807,0.917,3.9e-06,0.00032,1,Wald ratio,0.861,0.807,0.917,3.9e-06,0.00113,TRUE,ROBUST (significant with and without MHC),TRUE
ZBTB9,TRUE,6,1,Wald ratio,1.589,1.304,1.937,4.6e-06,0.000358,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
MED1,FALSE,17,1,Wald ratio,0.732,0.631,0.85,4.4e-05,0.00325,1,Wald ratio,0.732,0.631,0.85,4.4e-05,0.0106,TRUE,ROBUST (significant with and without MHC),TRUE
INPP5B,FALSE,1,1,Wald ratio,1.104,1.052,1.159,6e-05,0.00422,1,Wald ratio,1.104,1.052,1.159,6e-05,0.0124,TRUE,ROBUST (significant with and without MHC),TRUE
