gene,MHC_gene,instrument_chr,nSNP_primary,method_primary,OR_primary,OR_lo_primary,OR_hi_primary,p_primary,FDR_primary,nSNP_noMHC,method_noMHC,OR_noMHC,OR_lo_noMHC,OR_hi_noMHC,p_noMHC,FDR_noMHC,estimate_unchanged,verdict,direction_consistent
HLA-DRB1,TRUE,6,1,Wald ratio,0.337,0.316,0.359,1e-250,1.48e-247,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
WDR46,TRUE,6,1,Wald ratio,4.531,3.643,5.635,5.2e-42,3.84e-39,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
AIF1,TRUE,6,2,Inverse variance weighted,0.556,0.497,0.623,2.53e-24,1.25e-21,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
VPS52,TRUE,6,1,Wald ratio,0.414,0.349,0.491,4.2e-24,1.55e-21,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
VARS2,TRUE,6,3,Inverse variance weighted,1.203,1.152,1.257,1.08e-16,3.21e-14,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
AP4B1,FALSE,1,1,Wald ratio,1.424,1.291,1.569,1.3e-12,3.2e-10,1,Wald ratio,1.424,1.291,1.569,1.3e-12,1.89e-09,TRUE,ROBUST (significant with and without MHC),TRUE
HLA-DMA,TRUE,6,1,Wald ratio,0.559,0.474,0.658,3.5e-12,7.39e-10,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
CSNK2B,TRUE,6,1,Wald ratio,0.546,0.459,0.651,1.3e-11,2.4e-09,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
BRD2,TRUE,6,1,Wald ratio,1.554,1.336,1.806,9.9e-09,1.63e-06,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
C6orf136,TRUE,6,1,Wald ratio,0.537,0.433,0.665,1.2e-08,1.77e-06,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
PHF19,FALSE,9,2,Inverse variance weighted,0.791,0.728,0.859,2.95e-08,3.97e-06,2,Inverse variance weighted,0.791,0.728,0.859,2.95e-08,2.09e-05,TRUE,ROBUST (significant with and without MHC),TRUE
IKZF3,FALSE,17,2,Inverse variance weighted,1.174,1.109,1.244,4.32e-08,5.32e-06,2,Inverse variance weighted,1.174,1.109,1.244,4.32e-08,2.09e-05,TRUE,ROBUST (significant with and without MHC),TRUE
NCOA5,FALSE,20,1,Wald ratio,0.422,0.298,0.598,1.2e-06,0.000136,1,Wald ratio,0.422,0.298,0.598,1.2e-06,0.000437,TRUE,ROBUST (significant with and without MHC),TRUE
DAXX,TRUE,6,2,Inverse variance weighted,0.484,0.357,0.656,2.98e-06,0.000314,,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument),
PGAP3,FALSE,17,1,Wald ratio,0.861,0.807,0.917,3.9e-06,0.000384,1,Wald ratio,0.861,0.807,0.917,3.9e-06,0.00114,TRUE,ROBUST (significant with and without MHC),TRUE
TAB1,FALSE,22,1,Wald ratio,0.428,0.291,0.629,1.6e-05,0.00148,1,Wald ratio,0.428,0.291,0.629,1.6e-05,0.00388,TRUE,ROBUST (significant with and without MHC),TRUE
MED1,FALSE,17,1,Wald ratio,0.732,0.631,0.85,4.4e-05,0.00383,1,Wald ratio,0.732,0.631,0.85,4.4e-05,0.00915,TRUE,ROBUST (significant with and without MHC),TRUE
INPP5B,FALSE,1,1,Wald ratio,1.104,1.052,1.159,6e-05,0.00493,1,Wald ratio,1.104,1.052,1.159,6e-05,0.0109,TRUE,ROBUST (significant with and without MHC),TRUE
ZNF785,FALSE,16,1,Wald ratio,1.895,1.373,2.616,1e-04,0.00778,1,Wald ratio,1.895,1.373,2.616,1e-04,0.016,TRUE,ROBUST (significant with and without MHC),TRUE
SMARCC2,FALSE,12,1,Wald ratio,0.76,0.661,0.873,0.00011,0.00813,1,Wald ratio,0.76,0.661,0.873,0.00011,0.016,TRUE,ROBUST (significant with and without MHC),TRUE
