sex,gene,in_FS_input_primary,in_final_panel,MHC_gene,instrument_chr,nSNP_primary,method_primary,OR_primary,p_primary,FDR_primary,nSNP_noMHC,method_noMHC,OR_noMHC,p_noMHC,FDR_noMHC,direction_consistent,estimate_unchanged,verdict
female,GNL1,TRUE,TRUE,TRUE,6,1,Wald ratio,4.629,9e-18,2.66e-15,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
female,C6orf136,TRUE,TRUE,TRUE,6,1,Wald ratio,0.537,1.2e-08,1.36e-06,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
female,IKZF3,TRUE,TRUE,FALSE,17,2,Inverse variance weighted,1.174,4.32e-08,4.25e-06,2,Inverse variance weighted,1.174,4.32e-08,2.08e-05,TRUE,TRUE,ROBUST (significant with and without MHC)
female,MED1,TRUE,TRUE,FALSE,17,1,Wald ratio,0.732,4.4e-05,0.00325,1,Wald ratio,0.732,4.4e-05,0.0106,TRUE,TRUE,ROBUST (significant with and without MHC)
female,SMARCC2,TRUE,TRUE,FALSE,12,1,Wald ratio,0.76,0.00011,0.00706,1,Wald ratio,0.76,0.00011,0.0177,TRUE,TRUE,ROBUST (significant with and without MHC)
female,ESYT1,TRUE,TRUE,FALSE,12,1,Wald ratio,0.67,0.00071,0.0362,1,Wald ratio,0.67,0.00071,0.0685,TRUE,TRUE,FDR-RANK ONLY (estimate identical; lost to BH re-ranking)
female,HLA-DRB1,TRUE,FALSE,TRUE,6,1,Wald ratio,0.337,1e-250,1.48e-247,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
female,WDR46,TRUE,FALSE,TRUE,6,1,Wald ratio,4.531,5.2e-42,3.84e-39,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
female,AIF1,TRUE,FALSE,TRUE,6,2,Inverse variance weighted,0.556,2.53e-24,1.25e-21,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
female,VPS52,TRUE,FALSE,TRUE,6,1,Wald ratio,0.414,4.2e-24,1.55e-21,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
female,VARS2,TRUE,FALSE,TRUE,6,3,Inverse variance weighted,1.203,1.08e-16,2.67e-14,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
female,AP4B1,TRUE,FALSE,FALSE,1,1,Wald ratio,1.424,1.3e-12,2.74e-10,1,Wald ratio,1.424,1.3e-12,1.88e-09,TRUE,TRUE,ROBUST (significant with and without MHC)
female,HLA-DMA,TRUE,FALSE,TRUE,6,1,Wald ratio,0.559,3.5e-12,6.46e-10,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
female,CSNK2B,TRUE,FALSE,TRUE,6,1,Wald ratio,0.546,1.3e-11,2.13e-09,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
female,LSM2,TRUE,FALSE,TRUE,6,1,Wald ratio,1.739,3.5e-11,5.17e-09,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
female,HLA-DPA1,TRUE,FALSE,TRUE,6,2,Inverse variance weighted,1.768,1.51e-10,2.03e-08,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
female,BRD2,TRUE,FALSE,TRUE,6,1,Wald ratio,1.554,9.9e-09,1.22e-06,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
female,PHF19,TRUE,FALSE,FALSE,9,2,Inverse variance weighted,0.791,2.95e-08,3.12e-06,2,Inverse variance weighted,0.791,2.95e-08,2.08e-05,TRUE,TRUE,ROBUST (significant with and without MHC)
female,NCOA5,TRUE,FALSE,FALSE,20,1,Wald ratio,0.422,1.2e-06,0.000111,1,Wald ratio,0.422,1.2e-06,0.000434,TRUE,TRUE,ROBUST (significant with and without MHC)
female,DAXX,TRUE,FALSE,TRUE,6,2,Inverse variance weighted,0.484,2.98e-06,0.000259,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
female,PGAP3,TRUE,FALSE,FALSE,17,1,Wald ratio,0.861,3.9e-06,0.00032,1,Wald ratio,0.861,3.9e-06,0.00113,TRUE,TRUE,ROBUST (significant with and without MHC)
female,ZBTB9,TRUE,FALSE,TRUE,6,1,Wald ratio,1.589,4.6e-06,0.000358,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
female,INPP5B,TRUE,FALSE,FALSE,1,1,Wald ratio,1.104,6e-05,0.00422,1,Wald ratio,1.104,6e-05,0.0124,TRUE,TRUE,ROBUST (significant with and without MHC)
female,ZNF785,TRUE,FALSE,FALSE,16,1,Wald ratio,1.895,1e-04,0.00671,1,Wald ratio,1.895,1e-04,0.0177,TRUE,TRUE,ROBUST (significant with and without MHC)
female,SH2B1,TRUE,FALSE,FALSE,16,1,Wald ratio,0.494,0.00015,0.00923,1,Wald ratio,0.494,0.00015,0.0217,TRUE,TRUE,ROBUST (significant with and without MHC)
female,LPCAT2,TRUE,FALSE,FALSE,16,3,Inverse variance weighted,1.097,0.000194,0.0114,3,Inverse variance weighted,1.097,0.000194,0.0255,TRUE,TRUE,ROBUST (significant with and without MHC)
female,IKZF4,TRUE,FALSE,FALSE,12,1,Wald ratio,0.607,0.00032,0.0182,1,Wald ratio,0.607,0.00032,0.0386,TRUE,TRUE,ROBUST (significant with and without MHC)
female,CDC37,TRUE,FALSE,FALSE,19,1,Wald ratio,0.752,0.00036,0.0197,1,Wald ratio,0.752,0.00036,0.0401,TRUE,TRUE,ROBUST (significant with and without MHC)
female,KLF2,TRUE,FALSE,FALSE,19,1,Wald ratio,0.54,0.00047,0.0248,1,Wald ratio,0.54,0.00047,0.0486,TRUE,TRUE,ROBUST (significant with and without MHC)
female,LAX1,TRUE,FALSE,FALSE,1,2,Inverse variance weighted,1.084,0.000914,0.045,2,Inverse variance weighted,1.084,0.000914,0.0827,TRUE,TRUE,FDR-RANK ONLY (estimate identical; lost to BH re-ranking)
female,RETSAT,TRUE,FALSE,FALSE,2,3,Inverse variance weighted,0.921,0.00102,0.0475,3,Inverse variance weighted,0.921,0.00102,0.0828,TRUE,TRUE,FDR-RANK ONLY (estimate identical; lost to BH re-ranking)
female,FCGR2B,TRUE,FALSE,FALSE,1,2,Inverse variance weighted,1.094,0.00103,0.0475,2,Inverse variance weighted,1.094,0.00103,0.0828,TRUE,TRUE,FDR-RANK ONLY (estimate identical; lost to BH re-ranking)
male,VPS52,TRUE,TRUE,TRUE,6,1,Wald ratio,0.414,4.2e-24,1.55e-21,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
male,HLA-DMA,TRUE,TRUE,TRUE,6,1,Wald ratio,0.559,3.5e-12,7.39e-10,,,,,,,FALSE,UNTESTABLE without MHC (no non-MHC instrument)
male,MED1,TRUE,TRUE,FALSE,17,1,Wald ratio,0.732,4.4e-05,0.00383,1,Wald ratio,0.732,4.4e-05,0.00915,TRUE,TRUE,ROBUST (significant with and without MHC)
