gene,id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,nSNP,OR,OR_lo,OR_hi,FDR_pooled,risk,MHC_gene,instrument_chr,sensitivity_testable,FDR_stratum,risk_fdr
HLA-DRB1,eqtl-a-ENSG00000196126,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000196126 || id:eqtl-a-ENSG00000196126,Wald ratio,1,-1.08845950909809,0.0321838301651236,9.9986145281549e-251,1,0.336734831301028,0.316149582130841,0.358660434870998,1.69376530106944e-247,protective (OR<1),TRUE,6,FALSE,1.47679536580848e-247,protective (OR<1)
WDR46,eqtl-a-ENSG00000227057,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000227057 || id:eqtl-a-ENSG00000227057,Wald ratio,1,1.51096661694573,0.111257064224038,5.20120980120305e-42,1,4.53110852446203,3.64334702335267,5.63518773502928,4.40542470161898e-39,risk (OR>1),TRUE,6,FALSE,3.84109343818845e-39,risk (OR>1)
AIF1,eqtl-a-ENSG00000204472,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000204472 || id:eqtl-a-ENSG00000204472,Inverse variance weighted,2,-0.586790862969021,0.0576627549543427,2.53117430053952e-24,2,0.556109054393589,0.49667973216735,0.622649285544696,1.42926975503798e-21,protective (OR<1),TRUE,6,FALSE,1.24618148063229e-21,protective (OR<1)
VPS52,eqtl-a-ENSG00000223501,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000223501 || id:eqtl-a-ENSG00000223501,Wald ratio,1,-0.882789574389686,0.0871730898145641,4.19922834391828e-24,1,0.413627456257591,0.348663212303348,0.490696083019145,1.77837320364939e-21,protective (OR<1),TRUE,6,FALSE,1.55056506599182e-21,protective (OR<1)
GNL1,eqtl-a-ENSG00000204590,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000204590 || id:eqtl-a-ENSG00000204590,Wald ratio,1,1.53230186117554,0.178463540193472,8.99886508919862e-18,1,4.6288194684766,3.26256378167475,6.56721863710187,3.04881549222049e-15,risk (OR>1),TRUE,6,FALSE,2.65826474734927e-15,risk (OR>1)
VARS2,eqtl-a-ENSG00000137411,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000137411 || id:eqtl-a-ENSG00000137411,Inverse variance weighted,3,0.184941918994034,0.0222953133651749,1.08491233463013e-16,3,1.20314855801973,1.15170459886886,1.25689039888064,3.06306915810575e-14,risk (OR>1),TRUE,6,TRUE,2.67069253041451e-14,risk (OR>1)
AP4B1,eqtl-a-ENSG00000134262,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000134262 || id:eqtl-a-ENSG00000134262,Wald ratio,1,0.353138683919453,0.0497777239049077,1.29996937712876e-12,1,1.42352855026351,1.29120300402198,1.5694151323248,3.1459258926516e-10,risk (OR>1),FALSE,1,FALSE,2.74293538574168e-10,risk (OR>1)
HLA-DMA,eqtl-a-ENSG00000204257,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000204257 || id:eqtl-a-ENSG00000204257,Wald ratio,1,-0.582203355023441,0.0836975080824498,3.49966353476916e-12,1,0.558666069779015,0.474141029540183,0.658259374484021,7.41053753487371e-10,protective (OR<1),TRUE,6,FALSE,6.46125380106757e-10,protective (OR<1)
CSNK2B,eqtl-a-ENSG00000204435,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000204435 || id:eqtl-a-ENSG00000204435,Wald ratio,1,-0.604432231490299,0.089298622026917,1.29978374911488e-11,1,0.54638455853634,0.458654749970677,0.650895005068708,2.44648185666735e-09,protective (OR<1),TRUE,6,FALSE,2.13308955271409e-09,protective (OR<1)
LSM2,eqtl-a-ENSG00000204392,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000204392 || id:eqtl-a-ENSG00000204392,Wald ratio,1,0.553069791661075,0.0834968837736133,3.49991459573457e-11,1,1.73858191865098,1.4761183405147,2.04771325231699,5.92885532517437e-09,risk (OR>1),TRUE,6,FALSE,5.16937385789997e-09,risk (OR>1)
