gene,id.exposure,id.outcome,outcome,exposure,method,Q,Q_df,Q_pval
MGMT,eqtl-a-ENSG00000170430,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000170430 || id:eqtl-a-ENSG00000170430,MR Egger,10.0838448277987,3,0.0178667055844632
MGMT,eqtl-a-ENSG00000170430,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000170430 || id:eqtl-a-ENSG00000170430,Inverse variance weighted,10.7823596638533,4,0.0291220126199365
CDC25B,eqtl-a-ENSG00000101224,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000101224 || id:eqtl-a-ENSG00000101224,MR Egger,0.0172860686248917,1,0.895398379765744
CDC25B,eqtl-a-ENSG00000101224,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000101224 || id:eqtl-a-ENSG00000101224,Inverse variance weighted,1.57262105818489,2,0.455522335165476
BTBD7,eqtl-a-ENSG00000011114,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000011114 || id:eqtl-a-ENSG00000011114,MR Egger,2.08338474008118e-05,1,0.996358139612479
BTBD7,eqtl-a-ENSG00000011114,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000011114 || id:eqtl-a-ENSG00000011114,Inverse variance weighted,0.162812190892601,2,0.921819268816713
ACTR10,eqtl-a-ENSG00000131966,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000131966 || id:eqtl-a-ENSG00000131966,MR Egger,0.559310903288151,1,0.45453802339431
ACTR10,eqtl-a-ENSG00000131966,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000131966 || id:eqtl-a-ENSG00000131966,Inverse variance weighted,0.713800134403138,2,0.699842431452853
TMEM167B,eqtl-a-ENSG00000215717,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000215717 || id:eqtl-a-ENSG00000215717,MR Egger,3.91432495688401,1,0.0478762390399135
TMEM167B,eqtl-a-ENSG00000215717,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000215717 || id:eqtl-a-ENSG00000215717,Inverse variance weighted,4.36935832896985,2,0.112513826295492
GPD2,eqtl-a-ENSG00000115159,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000115159 || id:eqtl-a-ENSG00000115159,MR Egger,0.276668443082901,1,0.598893198040168
GPD2,eqtl-a-ENSG00000115159,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000115159 || id:eqtl-a-ENSG00000115159,Inverse variance weighted,0.6254121320139,2,0.731464883367666
INTS1,eqtl-a-ENSG00000164880,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000164880 || id:eqtl-a-ENSG00000164880,MR Egger,0.0577125530787595,1,0.81014856941726
INTS1,eqtl-a-ENSG00000164880,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000164880 || id:eqtl-a-ENSG00000164880,Inverse variance weighted,0.115452379580342,2,0.943908363803816
RETSAT,eqtl-a-ENSG00000042445,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000042445 || id:eqtl-a-ENSG00000042445,MR Egger,0.297609425881181,1,0.585384991782857
RETSAT,eqtl-a-ENSG00000042445,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000042445 || id:eqtl-a-ENSG00000042445,Inverse variance weighted,0.481293914796932,2,0.786119110939571
GCDH,eqtl-a-ENSG00000105607,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000105607 || id:eqtl-a-ENSG00000105607,MR Egger,0.602731054445231,1,0.437537898242157
GCDH,eqtl-a-ENSG00000105607,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000105607 || id:eqtl-a-ENSG00000105607,Inverse variance weighted,2.68029413505382,2,0.261807162416988
FXYD5,eqtl-a-ENSG00000089327,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000089327 || id:eqtl-a-ENSG00000089327,MR Egger,1.51057026022883,1,0.219052090342827
FXYD5,eqtl-a-ENSG00000089327,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000089327 || id:eqtl-a-ENSG00000089327,Inverse variance weighted,1.85528112179451,2,0.395485734919188
DNAH1,eqtl-a-ENSG00000114841,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000114841 || id:eqtl-a-ENSG00000114841,MR Egger,0.518146287535535,1,0.471633495858436
DNAH1,eqtl-a-ENSG00000114841,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000114841 || id:eqtl-a-ENSG00000114841,Inverse variance weighted,1.89871915527169,2,0.386988780381128
CDK5R1,eqtl-a-ENSG00000176749,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000176749 || id:eqtl-a-ENSG00000176749,MR Egger,0.909316981543268,1,0.340295708572101
CDK5R1,eqtl-a-ENSG00000176749,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000176749 || id:eqtl-a-ENSG00000176749,Inverse variance weighted,0.958041915376822,2,0.619389503584552
TMX4,eqtl-a-ENSG00000125827,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000125827 || id:eqtl-a-ENSG00000125827,MR Egger,4.85861463276832,2,0.0880978353792728
TMX4,eqtl-a-ENSG00000125827,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000125827 || id:eqtl-a-ENSG00000125827,Inverse variance weighted,6.01510133964655,3,0.110877819135418
HIVEP1,eqtl-a-ENSG00000095951,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000095951 || id:eqtl-a-ENSG00000095951,MR Egger,3.51381794848608,1,0.0608590555313621
HIVEP1,eqtl-a-ENSG00000095951,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000095951 || id:eqtl-a-ENSG00000095951,Inverse variance weighted,3.67071703884271,2,0.159556287484653
DCBLD2,eqtl-a-ENSG00000057019,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000057019 || id:eqtl-a-ENSG00000057019,MR Egger,2.14024944365679,2,0.342965739436988
DCBLD2,eqtl-a-ENSG00000057019,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000057019 || id:eqtl-a-ENSG00000057019,Inverse variance weighted,3.31235117265258,3,0.345927287734459
ZMIZ2,eqtl-a-ENSG00000122515,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000122515 || id:eqtl-a-ENSG00000122515,MR Egger,0.000163237579516656,1,0.989806148109541
ZMIZ2,eqtl-a-ENSG00000122515,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000122515 || id:eqtl-a-ENSG00000122515,Inverse variance weighted,1.83207924679745,2,0.40010045600232
HSDL2,eqtl-a-ENSG00000119471,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000119471 || id:eqtl-a-ENSG00000119471,MR Egger,0.0826921345417029,1,0.773681729211904
HSDL2,eqtl-a-ENSG00000119471,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000119471 || id:eqtl-a-ENSG00000119471,Inverse variance weighted,1.65412781916612,2,0.437331447802349
ZDHHC17,eqtl-a-ENSG00000186908,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000186908 || id:eqtl-a-ENSG00000186908,MR Egger,0.223250331365476,1,0.636574411183683
ZDHHC17,eqtl-a-ENSG00000186908,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000186908 || id:eqtl-a-ENSG00000186908,Inverse variance weighted,1.46286786979125,2,0.481218459179303
PNPLA7,eqtl-a-ENSG00000130653,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000130653 || id:eqtl-a-ENSG00000130653,MR Egger,0.899591237190025,1,0.342891339118342
PNPLA7,eqtl-a-ENSG00000130653,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000130653 || id:eqtl-a-ENSG00000130653,Inverse variance weighted,0.899793546203869,2,0.637693975395318
