id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,gene,nSNP,lo_ci,up_ci,or,or_lci95,or_uci95
eqtl-a-ENSG00000118564,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000118564 || id:eqtl-a-ENSG00000118564,Inverse variance weighted,2,0.099900058827844,0.07799336609206,0.200236196760273,FBXL5,2,-0.0529669387125936,0.252767056368282,1.10506047151783,0.94841136766478,1.28758330756622
eqtl-a-ENSG00000109501,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000109501 || id:eqtl-a-ENSG00000109501,Inverse variance weighted,2,0.100887395413594,0.0549399339146443,0.0663100853310259,WFS1,2,-0.00679487505910875,0.208569665886297,1.10615207695314,0.993228157906192,1.23191474950443
eqtl-a-ENSG00000109466,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000109466 || id:eqtl-a-ENSG00000109466,Wald ratio,1,0.0497914831865493,0.231910028022418,0.829999877166291,KLHL2,1,-0.40475217173739,0.504335138110488,1.05105191152959,0.667142127046876,1.65588422008372
eqtl-a-ENSG00000149547,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000149547 || id:eqtl-a-ENSG00000149547,Inverse variance weighted,2,-0.00864304998617355,0.112772824045275,0.938908944200349,EI24,2,-0.229677785114912,0.212391685142565,0.991394193793171,0.794789654306399,1.23663216067469
eqtl-a-ENSG00000145780,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000145780 || id:eqtl-a-ENSG00000145780,Inverse variance weighted,2,-0.0322384649718018,0.0722818119516247,0.655589482592091,FEM1C,2,-0.173910816396986,0.109433886453383,0.96827565471955,0.840371841705206,1.11564630916258
eqtl-a-ENSG00000164219,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000164219 || id:eqtl-a-ENSG00000164219,Inverse variance weighted,2,-0.112016165696644,0.0492610445705505,0.0229701972986872,PGGT1B,2,-0.208567813054923,-0.0154645183383653,0.894029804768923,0.811745985860927,0.98465444330771
eqtl-a-ENSG00000116679,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000116679 || id:eqtl-a-ENSG00000116679,Inverse variance weighted,2,0.0240896920971273,0.0672484284609978,0.720179125695021,IVNS1ABP,2,-0.107717227686428,0.155896611880683,1.02438219275746,0.897881456553219,1.16870536659356
eqtl-a-ENSG00000122203,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000122203 || id:eqtl-a-ENSG00000122203,Inverse variance weighted,2,-0.0802827231964886,0.0662700044741908,0.225723412576755,KIAA1191,2,-0.210171931965903,0.0496064855729253,0.922855396872433,0.81044489260724,1.05085748741872
eqtl-a-ENSG00000153395,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000153395 || id:eqtl-a-ENSG00000153395,Wald ratio,1,-0.073056218383125,0.239151694921476,0.760000095070532,LPCAT1,1,-0.541793540429219,0.395681103662969,0.929548570839154,0.581704006551777,1.48539555481333
eqtl-a-ENSG00000109586,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000109586 || id:eqtl-a-ENSG00000109586,Wald ratio,1,-0.0822635301050977,0.165904626264611,0.620001430931997,GALNT7,1,-0.407436597583734,0.242909537373539,0.921029207787741,0.665353635088876,1.2749532832789
