candidate_set,sex,gene,LASSO,RandomForest,SVM_RFE,n_methods,in_consensus
noMHC,female,CDC37,TRUE,TRUE,TRUE,3,TRUE
noMHC,female,IKZF3,TRUE,TRUE,TRUE,3,TRUE
noMHC,female,MED1,TRUE,TRUE,TRUE,3,TRUE
noMHC,female,SMARCC2,TRUE,TRUE,TRUE,3,TRUE
noMHC,female,SH2B1,TRUE,FALSE,TRUE,2,FALSE
noMHC,female,LPCAT2,FALSE,FALSE,TRUE,1,FALSE
noMHC,female,PGAP3,TRUE,FALSE,FALSE,1,FALSE
noMHC,female,ZNF785,FALSE,FALSE,TRUE,1,FALSE
noMHC,male,MED1,TRUE,TRUE,TRUE,3,TRUE
noMHC,male,NCOA5,TRUE,TRUE,TRUE,3,TRUE
noMHC,male,PHF19,TRUE,TRUE,TRUE,3,TRUE
noMHC,male,SMARCC2,TRUE,TRUE,TRUE,3,TRUE
noMHC,male,TAB1,TRUE,TRUE,TRUE,3,TRUE
noMHC,male,AP4B1,TRUE,FALSE,TRUE,2,FALSE
noMHC,male,INPP5B,TRUE,FALSE,TRUE,2,FALSE
noMHC,male,CDC37,FALSE,TRUE,FALSE,1,FALSE
noMHC,male,IKZF3,TRUE,FALSE,FALSE,1,FALSE
noMHC,male,KLF2,TRUE,FALSE,FALSE,1,FALSE
noMHC,male,LPCAT2,FALSE,FALSE,TRUE,1,FALSE
noMHC,male,PGAP3,FALSE,FALSE,TRUE,1,FALSE
noMHC,male,ZNF785,TRUE,FALSE,FALSE,1,FALSE
primary,female,C6orf136,TRUE,TRUE,TRUE,3,TRUE
primary,female,ESYT1,TRUE,TRUE,TRUE,3,TRUE
primary,female,GNL1,TRUE,TRUE,TRUE,3,TRUE
primary,female,IKZF3,TRUE,TRUE,TRUE,3,TRUE
primary,female,MED1,TRUE,TRUE,TRUE,3,TRUE
primary,female,SMARCC2,TRUE,TRUE,TRUE,3,TRUE
primary,female,BRD2,FALSE,TRUE,TRUE,2,FALSE
primary,female,WDR46,FALSE,TRUE,TRUE,2,FALSE
primary,female,CDC37,FALSE,TRUE,FALSE,1,FALSE
primary,female,DAXX,FALSE,TRUE,FALSE,1,FALSE
primary,female,FCGR2B,TRUE,FALSE,FALSE,1,FALSE
primary,male,ESYT1,TRUE,TRUE,TRUE,3,TRUE
primary,male,HLA-DMA,TRUE,TRUE,TRUE,3,TRUE
primary,male,INPP5B,TRUE,TRUE,TRUE,3,TRUE
primary,male,MED1,TRUE,TRUE,TRUE,3,TRUE
primary,male,SMARCC2,TRUE,TRUE,TRUE,3,TRUE
primary,male,VPS52,TRUE,TRUE,TRUE,3,TRUE
primary,male,C6orf136,TRUE,TRUE,FALSE,2,FALSE
primary,male,HLA-DRB1,TRUE,FALSE,TRUE,2,FALSE
primary,male,AIF1,TRUE,FALSE,FALSE,1,FALSE
primary,male,AP4B1,FALSE,FALSE,TRUE,1,FALSE
primary,male,CSNK2B,FALSE,TRUE,FALSE,1,FALSE
primary,male,KLF2,TRUE,FALSE,FALSE,1,FALSE
primary,male,LPCAT2,FALSE,FALSE,TRUE,1,FALSE
primary,male,NCOA5,FALSE,TRUE,FALSE,1,FALSE
primary,male,PGAP3,FALSE,FALSE,TRUE,1,FALSE
primary,male,PHF19,FALSE,TRUE,FALSE,1,FALSE
primary,male,TAB1,FALSE,FALSE,TRUE,1,FALSE
