sex,algorithm,n_train,tuning_grid_size,best_hyperparameters,cv_ROC_mean,cv_ROC_sd
Female,Logistic regression,145,0,(none),0.837,0.064
Female,SVM (RBF),145,40,"sigma=0.01, C=0.1",0.86,0.068
Female,k-NN,145,7,k=15,0.873,0.06
Female,Random forest,145,6,mtry=1,0.838,0.075
Female,ANN (nnet),145,25,"size=3, decay=0.1",0.854,0.072
Male,Logistic regression,38,0,(none),0.942,0.078
Male,SVM (RBF),38,40,"sigma=0.1, C=0.1",1,0
Male,k-NN,38,7,k=15,1,0
Male,Random forest,38,6,mtry=1,0.998,0.013
Male,ANN (nnet),38,25,"size=1, decay=1",1,0
