sex,panel,n_panel_genes,dataset,n,AUC,AUC_lo,AUC_hi,reported,genes_missing_in_dataset,evidence_tier,note
Female,primary,6,Train (apparent),145,0.869,0.813,0.925,0.869 (0.813-0.925) [n=145],"",primary,APPARENT - panel was selected using these samples; not a validation estimate
Female,primary,6,Internal test,61,0.823,0.719,0.928,0.823 (0.719-0.928) [n=61],"",primary,""
Female,primary,6,External blood,24,0.957,0.886,1,0.957 (0.886-1.000) [n=24],"",primary,""
Male,primary,6,Train (apparent),38,1,1,1,1.000 (1.000-1.000) [n=38] SEPARATION,"",EXPLORATORY (underpowered),APPARENT - panel was selected using these samples; not a validation estimate
Male,primary,6,Internal test,13,1,1,1,1.000 (1.000-1.000) [n=13] SEPARATION,"",EXPLORATORY (underpowered),""
Male,primary,6,External blood,9,0.75,0.399,1,0.750 (0.399-1.000) [n=9],"",EXPLORATORY (underpowered),""
Female,noMHC,4,Train (apparent),145,0.845,0.782,0.908,0.845 (0.782-0.908) [n=145],"",primary,APPARENT - panel was selected using these samples; not a validation estimate
Female,noMHC,4,Internal test,61,0.806,0.692,0.919,0.806 (0.692-0.919) [n=61],"",primary,""
Female,noMHC,4,External blood,24,0.743,0.535,0.951,0.743 (0.535-0.951) [n=24],"",primary,""
Male,noMHC,5,Train (apparent),38,1,1,1,1.000 (1.000-1.000) [n=38] SEPARATION,"",EXPLORATORY (underpowered),APPARENT - panel was selected using these samples; not a validation estimate
Male,noMHC,5,Internal test,13,0.917,0.75,1,0.917 (0.750-1.000) [n=13],"",EXPLORATORY (underpowered),""
Male,noMHC,5,External blood,9,0.7,0.4,1,0.700 (0.400-1.000) [n=9],"",EXPLORATORY (underpowered),""
