gene,nSNP_instrument,nSNP_okada,nSNP_stahl,nSNP_bbj,eafgap_bbj,testable_EAS
HLA-DRB1,4,1,1,1,0.141,TRUE
WDR46,1,1,1,1,0.068,TRUE
AIF1,3,2,1,3,0.103,TRUE
VPS52,1,1,1,1,0.08,TRUE
VARS2,4,3,3,3,0.167,TRUE
AP4B1,1,1,1,1,0.142,TRUE
HLA-DMA,1,1,1,1,0.088,TRUE
CSNK2B,1,1,1,1,0.037,TRUE
BRD2,3,1,1,2,0.079,TRUE
C6orf136,2,1,1,0,0,FALSE
PHF19,2,2,2,2,0.073,TRUE
IKZF3,4,2,2,2,0.138,TRUE
NCOA5,1,1,0,1,0.079,TRUE
DAXX,2,2,2,2,0.177,TRUE
PGAP3,4,1,1,1,0.146,TRUE
TAB1,1,1,1,1,0.361,TRUE
MED1,1,1,1,1,0.05,TRUE
INPP5B,4,1,0,2,0.07,TRUE
ZNF785,1,1,0,1,0.106,TRUE
SMARCC2,2,1,1,1,0.077,TRUE
SH2B1,1,1,1,1,0.243,TRUE
LPCAT2,4,3,2,3,0.106,TRUE
CDC37,1,1,1,1,0.106,TRUE
KLF2,1,1,1,0,0,FALSE
ESYT1,1,1,1,1,0.085,TRUE
