category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,4/19,74/7134,0.0540540540540541,20.2958748221906,8.62190915715635,3.67513317418478e-05,0.00141755627611708,0.000852665429243355,HLA-DRB1/HLA-DMA/HLA-DPA1/FCGR2B,4
Human Diseases,Immune disease,hsa05310,Asthma,3/19,27/7134,0.111111111111111,41.719298245614,10.9537914830355,4.50017865433993e-05,0.00141755627611708,0.000852665429243355,HLA-DRB1/HLA-DMA/HLA-DPA1,3
Human Diseases,Immune disease,hsa05330,Allograft rejection,3/19,34/7134,0.0882352941176471,33.1300309597523,9.70391287125054,9.0986203032624e-05,0.00156474205418052,0.000941198228078508,HLA-DRB1/HLA-DMA/HLA-DPA1,3
Human Diseases,Immune disease,hsa05332,Graft-versus-host disease,3/19,35/7134,0.0857142857142857,32.1834586466165,9.55619881812375,9.93487018527314e-05,0.00156474205418052,0.000941198228078508,HLA-DRB1/HLA-DMA/HLA-DPA1,3
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,3/19,39/7134,0.0769230769230769,28.8825910931174,9.0222466076376,0.000137792506264786,0.0017361855789363,0.00104432215274364,HLA-DRB1/HLA-DMA/HLA-DPA1,3
Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,3/19,43/7134,0.0697674418604651,26.1958384332925,8.56317383027897,0.000184821157712543,0.00189951750772225,0.0011425669219382,HLA-DRB1/HLA-DMA/HLA-DPA1,3
Human Diseases,Immune disease,hsa05320,Autoimmune thyroid disease,3/19,46/7134,0.0652173913043478,24.487414187643,8.25805418337941,0.000226192885134693,0.00189951750772225,0.0011425669219382,HLA-DRB1/HLA-DMA/HLA-DPA1,3
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,3/19,47/7134,0.0638297872340426,23.96640537514,8.16274442649669,0.000241208572409175,0.00189951750772225,0.0011425669219382,HLA-DRB1/HLA-DMA/HLA-DPA1,3
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,3/19,60/7134,0.05,18.7736842105263,7.14407520056507,0.000498021481351457,0.00321972635071983,0.00193667750419238,HLA-DRB1/HLA-DMA/HLA-DPA1,3
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,3/19,62/7134,0.0483870967741936,18.1680814940577,7.01571511050473,0.000548563514239358,0.00321972635071983,0.00193667750419238,HLA-DRB1/HLA-DMA/HLA-DPA1,3
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,3/19,64/7134,0.046875,17.6003289473684,6.89322468143766,0.000602287284933892,0.00321972635071983,0.00193667750419238,HLA-DRB1/HLA-DMA/HLA-DPA1,3
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,4/19,153/7134,0.0261437908496732,9.81630546955624,5.69638043329264,0.000613281209660921,0.00321972635071983,0.00193667750419238,HLA-DRB1/HLA-DMA/HLA-DPA1/DAXX,4
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,3/19,70/7134,0.0428571428571429,16.0917293233083,6.55674271421685,0.000783356823576701,0.00379626768348709,0.00228346928330051,HLA-DRB1/HLA-DMA/HLA-DPA1,3
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,4/19,167/7134,0.0239520958083832,8.99338165773716,5.40121344657573,0.000852899854876335,0.00383804934694351,0.00230860111094346,HLA-DRB1/HLA-DMA/HLA-DPA1/FCGR2B,4
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,3/19,82/7134,0.0365853658536585,13.7368421052632,5.99429344602596,0.00124198717665941,0.00521634614196954,0.00313765181471852,HLA-DRB1/HLA-DMA/HLA-DPA1,3
Organismal Systems,Immune system,hsa04658,Th1 and Th2 cell differentiation,3/19,88/7134,0.0340909090909091,12.8002392344498,5.75554281675003,0.00152349564399189,0.00599876409821806,0.0036082791568229,HLA-DRB1/HLA-DMA/HLA-DPA1,3
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,3/19,93/7134,0.032258064516129,12.1120543293718,5.57370678972741,0.0017864751277836,0.00662046665002156,0.00398223557896034,HLA-DRB1/HLA-DMA/HLA-DPA1,3
