group,source,ID,Description,GeneRatio,Count,p.adjust,geneID
Male,BP,GO:0016236,macroautophagy,193/5241,193,9.8829363443016e-20,RB1CC1/PEX2/RAB33B/CHMP5/CASP3/EXOC8/SNX14/SNX4/USP36/SCOC/SUPT5H/VPS28/WDR81/PIP4K2B/RAB2A/CDK5RAP3/GSK3A/HDAC6/CHMP2B/TBK1/VPS4A/NIPSNAP3A/LARP1/ATG5/MAP3K7/ATG3/LRRK2/LRBA/TP53/VPS36/EXOC7/CAPNS1/HTT/ATG4B/TSC2/UBQLN4/ATP2A2/VTA1/EHMT2/CAPN1/CSNK2A2/VTI1A/SREBF2/TBC1D5/PIKFYVE/ZNRF2/EXOC1/RNF5/ATP6V1G1/RAB1B/CLEC16A/C9orf72/SIRT1/ZFYVE1/RHEB/NIPSNAP3B/MAPK8/CLN3/AUP1/TECPR1/PIP4K2C/VPS13D/PACS2/CSNK2A1/VPS4B/MUL1/EXOC4/SQSTM1/SPTLC1/GNAI3/VPS39/PRKACA/TP53INP1/ACBD5/HIF1A/UFM1/MTM1/PIK3CA/FBXW7/ATP6V0D1/PIK3C2B/VPS26B/STUB1/LAMP2/CHMP4B/MFSD8/NEDD4/TBC1D12/CHMP7/NOD1/CHMP1B/ATP6V0C/CDC37/PLEKHM1/POLDIP2/TMEM39A/VPS35/CHMP6/SNX18/SPTLC2/MCOLN1/CTTN/TSC1/TBC1D25/ATG9A/MTMR14/ATG4C/CHMP1A/YOD1/PEX5/PIP4K2A/ARFIP2/TCIRG1/STAM2/ATP6V1H/VPS13C/RNF213/CDK5R1/ATP13A2/WIPI2/DDRGK1/FKBP8/LRSAM1/GAPDH/ATG9B/CHMP2A/VCP/HGS/VPS16/EI24/SLC25A5/LZTS1/GABARAP/ATG4A/BAG3/PAFAH1B2/VPS26A/PHF23/MTMR3/TEX264/CALCOCO2/ATP6V0E2/SNF8/ARL8B/VPS37C/MFN2/EFNB1/UBE2A/GPSM1/PINK1/EIF2AK1/RNF41/QSOX1/AMBRA1/HDAC10/MAPK3/AKT1/RNF31/STAM/TSG101/VPS37A/RAB5A/ULK3/EIF2S1/ATP6V0A1/ZFYVE26/OGT/MTOR/SEC22B/KAT5/RAB7A/VPS37B/ERN1/WDR45/NSFL1C/TMEM41B/RAB33A/CALM1/ATG7/RAB3GAP1/WDFY3/ATP6V0A2/ATP6V1C2/UBA5/ATG4D/SH3GLB1/SREBF1/ATP6V1B1/LACRT/ATP6V1B2/FBXO7/NIPSNAP1/SNX7
Male,BP,GO:0048193,Golgi vesicle transport,159/5241,159,7.7306173483524e-16,RAB33B/SEC24A/CNIH4/EXOC8/ARFGAP2/AP3D1/BLZF1/ERGIC2/COG6/GOLT1B/AP1AR/GGA2/TEX261/RNF139/KDELR1/GGA3/TRAPPC6B/TMED5/MYO5A/AP3S1/COPA/VAMP7/LAMP1/RUFY1/SPAST/SCAMP3/GBF1/GAK/BCAP31/LRRK2/RP2/NBAS/SEC16A/AP1G2/EXOC5/VPS54/EXOC6/GOPC/MON2/HTT/SEC31A/SURF4/NAPG/SCAMP1/ARF3/IER3IP1/SCYL1/TMEM115/SAR1B/VTI1A/RABGGTB/YIF1A/SEC23A/EXOC1/COG2/GOLGA7/ACSL3/RAB1B/TRAPPC9/USO1/PGAP1/COG4/SEC31B/ARCN1/VPS13A/CLN3/SGSM2/SEC24C/BET1L/SEC13/BET1/COG1/RAB11FIP3/VPS52/EXOC4/TAPBP/COG3/AP2A1/CORO7/CCDC22/CREB3L2/GCC2/HYOU1/CSNK1D/RAB10/SCAMP2/BBS1/COPZ1/RAB8A/RABGGTA/P4HB/SCAP/PITPNB/SNX2/YIPF5/PREPL/YIF1B/PRKCI/TRAPPC1/SEC23B/TMED2/NAPA/PEF1/ARFGEF2/STX5/RINT1/SORT1/ERGIC3/STXBP5/PRKD1/COPZ2/USE1/VPS13C/YIPF6/CSK/AP1G1/ATP2C1/SEC24B/VCP/ARL3/TRAPPC5/ANKFY1/COPB1/RANGRF/ARFRP1/YIPF4/ARL8B/PREB/YKT6/LMAN2L/TBC1D20/KIF1C/MYO1B/NSF/GOLGA2/SEC23IP/EPS15/LAPTM5/CUX1/INSIG1/VAPB/LLGL1/EXOC2/SPTBN1/SEC22B/OSBPL5/EXOC6B/COPE/CNST/SNX8/SEC22A/DNM2/ANK1/SYS1/CUL3/NRBP1/TRAPPC6A/ZW10/SNX12
Male,BP,GO:0010506,regulation of autophagy,183/5241,183,1.2063958114411e-15,TRIM23/RB1CC1/CASP3/PTPN22/EXOC8/ROCK1/SNX4/USP36/SCOC/SUPT5H/PIP4K2B/EIF4G1/CDK5RAP3/GSK3A/HDAC6/RAB39B/TBK1/STK38L/LARP1/ATG5/MAP3K7/TAB3/PIK3C2A/LRRK2/ABL1/TP53/EXOC7/CAPNS1/RPTOR/HTT/TSC2/WDR6/UBQLN4/ZMPSTE24/IFNG/EHMT2/CAPN1/PRKAA1/TPCN1/CSNK2A2/SREBF2/SNRNP70/TAB2/EXOC1/UBR4/RNF5/ATP6V1G1/CLEC16A/C9orf72/SIRT1/SVIP/RHEB/MAPK8/CLN3/USP20/IL10RA/WNK1/TECPR1/DEPDC5/PIP4K2C/VPS13D/CSNK2A1/MUL1/EXOC4/TMEM59/FOXK1/OSBPL7/SQSTM1/SPTLC1/GNAI3/RRAGB/PRKACA/TP53INP1/TRIM8/HSPB1/HIF1A/CTSA/MTM1/PIK3CA/KLHL22/FBXW7/ATP6V0D1/DAP/VPS26B/STUB1/CHMP4B/MFSD8/RRAGC/NEDD4/ABL2/RAB8A/NOD1/ATP6V0C/CDC37/POLDIP2/TMEM39A/VPS35/SNX18/SPTLC2/CTTN/TSC1/LEPR/TBC1D25/STAT3/NPRL2/USP33/PRKD1/SIRT2/PIP4K2A/ATP6V1H/VPS13C/CDK5R1/VHL/ATP13A2/DDRGK1/FKBP8/LRSAM1/GAPDH/TRIM58/HERC1/TRIM68/SLC25A5/LZTS1/MTDH/ENDOG/PSAP/BAG3/PAFAH1B2/VPS26A/PIK3R2/GPR137/FOXK2/PHF23/MTMR3/NPRL3/CALCOCO2/ATP6V0E2/MTMR9/PYCARD/DRAM2/TRIM22/UBE2A/GPSM1/PINK1/FOXO3/EIF2AK1/RNF41/TFEB/QSOX1/AMBRA1/TPCN2/KEAP1/MAPK3/GOLGA2/AKT1/RNF31/HMGB1/ULK3/ATP6V0A1/MTOR/MLST8/KIF25/SEC22B/TRIM6/KAT5/ERCC4/KDM4A/CAMKK2/ERN1/DRAM1/WDR45/BMF/RAB3GAP1/ATP6V0A2/ATP6V1C2/SH3GLB1/STK11/SREBF1/ATP6V1B1/LACRT/ATP6V1B2/FBXO7/SNX7
Male,BP,GO:0031329,regulation of cellular catabolic process,216/5241,216,1.89353500903066e-14,TRIM23/RB1CC1/CASP3/PTPN22/EXOC8/ROCK1/SNX4/USP36/ZBTB20/SCOC/SUPT5H/INSR/PIP4K2B/EIF4G1/CDK5RAP3/GSK3A/AKT2/HDAC6/RAB39B/TBK1/STK38L/APP/LARP1/ATG5/MAP3K7/TAB3/PIK3C2A/ABCD2/LRRK2/ABL1/TP53/EXOC7/CAPNS1/RPTOR/HTT/TSC2/WDR6/UBQLN4/ZMPSTE24/IFNG/EHMT2/CAPN1/PRKAA1/TPCN1/CSNK2A2/SREBF2/SNRNP70/TAB2/EXOC1/UBR4/RNF5/ATP6V1G1/CLEC16A/C9orf72/SIRT1/SVIP/RHEB/MAPK8/CLN3/USP20/IL10RA/ANXA2/WNK1/TECPR1/DEPDC5/PIP4K2C/VPS13D/CSNK2A1/TNFRSF1B/MUL1/EXOC4/TMEM59/FOXK1/OSBPL7/SQSTM1/SPTLC1/GNAI3/RRAGB/PRKACA/TP53INP1/TRIM8/HSPB1/HIF1A/CTSA/MTM1/PIK3CA/KLHL22/FBXW7/ATP6V0D1/DAP/KAT2B/VPS26B/STUB1/CHMP4B/ADAM9/MFSD8/RRAGC/NEDD4/ABL2/RAB8A/NOD1/ATP6V0C/CDC37/TYSND1/POLDIP2/TMEM39A/VPS35/SNX18/SPTLC2/CTTN/TSC1/LEPR/PHKG2/TBC1D25/STAT3/NPRL2/PTPN1/SCARB1/USP33/ARNT/ACACB/PRKD1/ATP2B4/SIRT2/PIP4K2A/ABCD1/ATP6V1H/VPS13C/CDK5R1/CPT1A/VHL/ATP13A2/DDRGK1/FKBP8/LRSAM1/GAPDH/TRIM58/HERC1/DAGLB/TRIM68/SLC25A5/LZTS1/MTDH/ENDOG/PNPLA2/PSAP/BAG3/PAFAH1B2/VPS26A/PIK3R2/GPR137/FOXK2/PHF23/MTMR3/CNR1/NPRL3/CALCOCO2/ATP6V0E2/MTMR9/PYCARD/DRAM2/TRIM22/UBE2A/GPSM1/PINK1/FOXO3/EIF2AK1/RNF41/TFEB/QSOX1/AMBRA1/TPCN2/KEAP1/PPARA/MAPK3/GOLGA2/SNX9/AKT1/RNF31/TIMP1/LAPTM5/HMGB1/ULK3/TIMP4/ATP6V0A1/MTOR/MLST8/KIF25/SEC22B/TRIM6/APOC2/KAT5/ERCC4/MLYCD/KDM4A/CAMKK2/ERN1/DRAM1/WDR45/SH3D19/BMF/TWIST1/RAB3GAP1/ATP6V0A2/TIMP2/ATP6V1C2/PRKCD/SH3GLB1/STK11/FURIN/SREBF1/ATP6V1B1/LACRT/ATP6V1B2/FBXO7/SNX7
Male,BP,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,211/5241,211,2.04649104416417e-13,PJA2/UBE2W/PSMD2/PSMC6/BIRC2/PSMD10/SOCS5/AMN1/ANAPC7/UBR3/SPOPL/TRIM28/RNF139/PSMD11/SIAH1/SMARCC1/GSK3A/HECTD3/UBR1/FBXL3/KLHL28/ERCC8/ANAPC5/KLHL2/ARAF/KLHL15/PSMA4/TRIM26/LRRK2/CSNK2B/PSMA2/UBXN1/SUMO1/KBTBD8/HSP90AB1/ANAPC10/HSPBP1/SOCS4/PSMD1/RCHY1/FAF1/PSMC5/UBE4B/KLHL7/UBQLN4/PSMC4/FBXO3/CUL5/DDB1/PCNP/CSNK2A2/PSMD3/UBE2D1/ZNRF2/TOPORS/UBR4/SMURF2/TBL1XR1/ADRM1/RBX1/UCHL5/PSMD8/CBFA2T3/SIRT1/FBXL5/KBTBD7/ASB1/KBTBD3/APPBP2/CSNK2A1/PSMC3/FEM1C/AGAP3/KLHDC3/NUB1/KBTBD6/PSMB2/PELI1/TBL1X/DCAF13/PSMA8/MTM1/UBE2B/FBXL18/BBS7/FBXO11/KLHL22/FBXW7/SOCS2/PSMD4/STUB1/USP38/CSNK1D/KLHDC2/NPLOC4/CDC16/FBXO22/IVNS1ABP/ZFAND2A/WDR26/ZYG11B/PSMA3/CLU/USP5/FBXO31/KLHDC1/NHLRC3/SIRT6/FEM1A/FBXW4/RNF126/STYX/RNF170/PSMC1/FBXL4/FBXL20/PSMD12/UBE3A/KLHL18/PSMD14/KLHL5/RNF7/PSMD7/FBXL17/FBXO4/PSMB6/RMND5B/RHOBTB3/ARMC8/TRIP4/SIRT2/KLHL23/ARRB1/ZER1/CUL2/VHL/ANAPC13/ANAPC2/FAF2/DDRGK1/KLHL17/PCBP2/PSMB5/VCP/RYBP/PSMD13/HECTD1/PEX10/CSNK1A1/PPP2CB/RAD23A/GABARAP/PSMB1/KCTD17/GCLC/USP7/TRIM3/GLMN/ANKRD9/RBCK1/SH3BGRL/BTRC/RNF187/UBE2N/UBE2A/RPL11/FBXW5/FBXO38/AMBRA1/KEAP1/PIAS1/RNF10/DVL1/CLOCK/AKT1/DNAJB2/PSMB3/FBXL15/MAP1A/MTA1/FZR1/OGT/APC/FBXW11/NFE2L2/KAT5/PSMF1/CCNF/SHARPIN/TRIM2/TBX21/NSFL1C/PEX12/FBXW8/KCTD10/PSMB7/AXIN1/USP25/ASCC2/XPO1/USP44/GIPC1/CHFR/USP14/CUL3/ASCC3/CUL1/DET1/ARRB2/HERC2/FBXO7
Male,BP,GO:0008380,RNA splicing,214/5241,214,1.83932321834466e-12,PRPF8/FMR1/PUF60/EFTUD2/PPP4R2/PTBP1/RBM7/KHSRP/TAF15/EXOSC10/PRPF6/LSM1/HNRNPUL2/SF3B2/RBM14/CTNNBL1/SF3A1/SF3B3/PHF5A/CLK2/DDX41/CLK4/SNRPA/RNPS1/SF1/RBM10/SLC38A2/TRRAP/HNRNPUL1/SRRM2/EIF4A3/PQBP1/MBNL1/PTBP2/SNRPG/POLR2A/SUPT6H/WBP11/PRPF31/SF3B4/MBNL2/GEMIN4/CELF1/RBM39/SLU7/PRPF19/PRMT7/SART1/LSM3/RBM6/DHX16/CLK1/SNRNP70/SF3A3/WTAP/ARGLU1/GEMIN5/ZRANB2/SF3A2/DAZAP1/RBM12B/PPP1R9B/RBM42/RBM12/RBM15/WBP4/SNRPB/C2orf49/CWC22/TMBIM6/HNRNPM/TFIP11/SNRNP200/THOC6/TIA1/PNN/SMNDC1/SFPQ/PRPF4/U2AF2/SF3B1/PRPF39/ARMC7/PSIP1/LSM6/PPIG/TADA1/THOC7/AKAP8L/BCAS2/RBM4B/PRPF40A/ENY2/METTL4/PRPF18/SNRPE/DCPS/DDX42/DDX23/PUS1/PPIL3/PLRG1/USP22/QKI/KAT2B/ZRSR2/TRPT1/DYRK1A/PRPF3/HNRNPH3/IVNS1ABP/RRAGC/CDK12/SYF2/SRRM1/NCL/FUS/RRP1B/WDR77/IK/RBM3/CIRBP/TSEN15/DDX46/SNRPD1/DBR1/RBM4/RALY/DHX8/LSM5/GEMIN7/GPKOW/RSRC1/PRMT1/SNRPN/RBMXL1/THRAP3/CRIPT/LUC7L/PRPF38B/TARDBP/UPF1/FASTK/UBL5/CDC40/FAM50A/CDC5L/NONO/HNRNPU/COIL/RBM20/RBM47/U2AF1L4/ECD/GEMIN6/PPWD1/CCNL1/UPF3B/PDCD7/SUPT3H/RBM17/MAGOHB/DHX9/RBM11/ZCRB1/LUC7L3/ZBTB7A/CLNS1A/TADA3/USP4/CDK13/RNF113A/TSSC4/ZNF638/METTL14/WDR83/TSEN54/TTF2/THOC1/DHX38/ACIN1/SART3/ZMAT5/SRPK1/PRDX6/MFAP1/RBM25/PABPC1/SNRNP27/RBM23/PPIL2/RBM15B/LARP7/CWC15/BUD13/ERN1/ZCCHC8/KAT2A/GPATCH1/EIF1/TAF5L/THOC2/ATXN7L3/UPF3A/RBM41/ISY1/YBX1/PPIL1/MBNL3/SCAF1/LUC7L2/SRPK2/STH/SNRNP40
Male,BP,GO:0042176,regulation of protein catabolic process,174/5241,174,2.45967123943978e-12,PSMD2/FMR1/PSMC6/PSMD10/RNF19A/ROCK1/SOCS5/MAD2L1/VPS11/FLNA/UBR3/VPS28/SMARCC1/CDK5RAP3/GSK3A/GGA3/SF3B3/APP/TMX1/RELA/ARAF/BCAP31/LRRK2/CSNK2B/UBXN1/SUMO1/HSP90AB1/MSN/SMAD4/HSPBP1/EZR/AZIN1/SOCS4/PSMD1/RCHY1/FAF1/PSMC5/RNFT1/UBQLN4/PSMC4/IFNG/DDB1/CSNK2A2/SNRNP70/PSMD3/PSME3/FYN/MYCBP2/RBX1/UCHL5/CUL4B/TMTC3/MDM4/CBFA2T3/SIRT1/ZNF268/SVIP/ZDHHC2/VGLL4/FBXL5/RHBDD1/ANXA2/CSNK2A1/PSMC3/SGSM3/TNFRSF1B/NUB1/OSBPL7/CDKN1B/PRKACA/CTSA/MTM1/IRAK3/CD81/BBS7/RDX/FBXW7/STUB1/NUDT15/USP38/CSNK1D/FBXO22/ADAM9/MFSD8/NEDD4/ZFAND2A/ZYG11B/CLU/USP5/SIRT6/VPS35/CHMP6/BANP/STYX/PSMC1/CST3/FBXL20/LRP1/PSMD14/STX5/DEDD/CBLB/USP19/SIRT2/ZER1/SGTA/ATP13A2/DDRGK1/HSP90AA1/VCP/HGS/RYBP/RGP1/HECTD1/CSNK1A1/RAD23A/LPCAT1/GABARAP/TMF1/GCLC/USP7/GRIN2A/WDR91/GLMN/SNF8/ALAD/BTRC/SMAD3/CAV1/RNFT2/PINK1/RPL11/RNF41/KEAP1/PIAS1/DVL1/NSF/SNX9/AKT1/AGAP2/TIMP1/DNAJB2/MAP1A/FZR1/TIMP4/SOX17/OGT/PSME1/APC/SEC22B/NFE2L2/PSMF1/PPP2R3A/RAB7A/RHBDD3/RNF185/FBXW8/EGLN2/SH3D19/AXIN1/USP25/ATG7/XPO1/GIPC1/USP8/CHFR/TIMP2/USP14/VIP/FURIN/GPX1/DET1/SNX12/WFS1
Male,BP,GO:0016241,regulation of macroautophagy,104/5241,104,3.10720659746799e-12,CASP3/EXOC8/SNX4/USP36/SCOC/SUPT5H/PIP4K2B/CDK5RAP3/GSK3A/HDAC6/TBK1/LARP1/ATG5/MAP3K7/LRRK2/TP53/EXOC7/CAPNS1/HTT/TSC2/UBQLN4/EHMT2/CAPN1/CSNK2A2/SREBF2/EXOC1/ATP6V1G1/CLEC16A/C9orf72/SIRT1/RHEB/MAPK8/CLN3/TECPR1/PIP4K2C/VPS13D/CSNK2A1/MUL1/EXOC4/SPTLC1/GNAI3/PRKACA/HIF1A/MTM1/PIK3CA/FBXW7/ATP6V0D1/VPS26B/STUB1/NEDD4/NOD1/ATP6V0C/CDC37/POLDIP2/TMEM39A/VPS35/SNX18/SPTLC2/CTTN/TSC1/TBC1D25/PIP4K2A/ATP6V1H/VPS13C/CDK5R1/ATP13A2/DDRGK1/FKBP8/LRSAM1/GAPDH/SLC25A5/LZTS1/BAG3/PAFAH1B2/VPS26A/PHF23/CALCOCO2/ATP6V0E2/UBE2A/GPSM1/PINK1/EIF2AK1/RNF41/QSOX1/AMBRA1/MAPK3/AKT1/RNF31/ATP6V0A1/MTOR/SEC22B/KAT5/ERN1/WDR45/RAB3GAP1/ATP6V0A2/ATP6V1C2/SH3GLB1/SREBF1/ATP6V1B1/LACRT/ATP6V1B2/FBXO7/SNX7
Male,BP,GO:0072594,establishment of protein localization to organelle,205/5241,205,3.10720659746799e-12,PEX2/SNX16/RAB8B/POM121/AP3D1/ATF2/VPS11/FLNA/NUP62/KPNA6/USP36/BAG4/RANBP6/TRIM28/VPS28/NFATC3/ECT2/HK1/GSK3A/GGA3/ZFAND6/EFCAB7/ELAVL1/OXA1L/SRP9/DMAP1/SRP19/VPS4A/LAMP1/RUVBL2/ZFYVE16/SAE1/FAM53B/ACD/PTGS2/BCAP31/LRRK2/PEX13/MON1A/MTX2/SUMO1/TIMM8B/SAMM50/SGTB/TP53/VPS54/VPS36/DNAJA1/PITRM1/TMEM126A/PTPN23/SRP68/TSC2/TNPO2/JAK2/NUP188/IFT122/IPO9/IFNG/PRKAA1/BAP1/NUP93/CSNK2A2/SREBF2/POT1/MAVS/IPO13/MDFIC/CBL/VPS13A/SRP14/TRAF3IP2/MAPK8/NUP54/TRIM37/IL10RA/MAN1A1/TOMM34/SYK/TOMM5/VPS13D/SCRIB/SEC13/SQSTM1/NAGPA/ING1/MED1/TNPO3/PEX1/GRPEL2/LMNA/UFM1/CDK1/MKLN1/AIP/FBXW7/KPNA5/TRAM2/GCC2/LAMP2/RAB10/CHMP4B/IMMP1L/NEDD4/ZFAND2A/HCLS1/CRY2/EIF4ENIF1/KPNA3/CLU/DNAJC19/SIRT6/PMPCA/TNPO1/SUFU/AIFM1/PEX3/CDKN1A/ANGPT1/MFF/PPP1R10/GDAP1/TARDBP/SPDYA/VPS53/TIMM50/STAT3/RHOU/UBL5/SORT1/MTCH2/RAC2/NMT1/WBP2/DNAJC15/TRAM1/CBLB/PRKD1/PEX5/KPNB1/STAM2/SEC61A1/VPS13C/SGTA/WRAP53/STK3/PEX16/LRSAM1/HSP90AA1/HGS/IPO11/TGFB1/HDAC3/PKIA/PEX10/SSR3/USP7/KPNA4/BAG3/PIK3R2/MIPEP/NUP50/POLA2/E2F3/MTCH1/IPO7/SNUPN/SNF8/VPS37C/SMAD3/JUP/M6PR/MFN2/PINK1/BCS1L/AKT1/RNF31/LAPTM5/STAM/TSG101/VPS37A/PPP3CA/VPS8/SEC63/RAB7A/TIMM44/VPS37B/IPO8/PEX12/RAB3GAP1/LEPROT/HSPA5/MBTPS1/NUP155/HPS4/UBE2J2/NUP85/TERF1/PRKCD/SIRT4/SH3GLB1/SREBF1/TIMM8A/FBXO7/ABLIM3
Male,BP,GO:0016197,endosomal transport,140/5241,140,9.76994435039891e-11,CHMP5/PLEKHA3/SNX16/RAB8B/TBC1D23/AP3D1/EEA1/SNX4/VPS11/FLNA/GOLT1B/BLOC1S2/VPS28/ITSN2/WDR81/CHMP2B/VPS4A/RUFY1/NF2/ZFYVE16/ARFIP1/GBF1/LRRK2/VPS54/MSN/VPS36/EZR/SNX17/SPAG9/CLN5/PTPN23/DENND1A/DENND1C/ACAP2/VTA1/ARHGAP1/TMEM50B/VTI1A/HEATR5A/TBC1D5/PIKFYVE/CLEC16A/DCTN1/DPY30/REPS1/ZDHHC2/HOOK1/SGSM2/ABCA1/BET1L/VAMP4/SCRIB/VPS4B/VPS29/ALMS1/RAB11FIP3/VPS52/EHD1/SQSTM1/ATP6AP1/EHD4/VPS39/RDX/CCDC22/VPS26B/MICALL1/RAB21/GCC2/RAB10/CHMP4B/CHMP7/RAB8A/CHMP1B/WAS/VPS35/CHMP6/SNX2/RNF126/PREPL/SNX18/CORO1A/MAP2K2/VPS53/STX5/SORT1/TBC1D10B/CHMP1A/RHOBTB3/LYST/RCSD1/STAM2/AP1G1/CHMP2A/VCP/HGS/ANKRD50/VPS16/RGP1/ANKFY1/MAPK1/LEPROTL1/ARL1/RAB11B/RAB12/TBC1D10C/USP7/TBC1D17/VPS26A/ARFRP1/WDR91/SNF8/ARL8B/VPS37C/YKT6/ALS2CL/MAPK3/SNX9/AGAP2/EPS15/STAM/TSG101/VPS37A/RAB5A/DENND1B/TMEM50A/BAIAP3/RAB7A/VPS37B/SNX8/RAB9B/GRIPAP1/UBE2O/LEPROT/TMEM87B/ARF6/TBC1D10A/AKAP5/SNX12/ITSN1/SNX7
