category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,4/16,153/7134,0.0261437908496732,11.656862745098,6.31732732923785,0.000302787159080209,0.0157205862780613,0.0109508727943152,HLA-DRB1/HLA-DMA/DAXX/TAB1,4
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,3/16,70/7134,0.0428571428571429,19.1089285714286,7.21827696552305,0.000462370184648863,0.0157205862780613,0.0109508727943152,HLA-DRB1/HLA-DMA/TAB1,3
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,3/16,104/7134,0.0288461538461538,12.8617788461538,5.77704753880417,0.00146814908527897,0.027236685066017,0.0189729230336032,HLA-DRB1/HLA-DMA/TAB1,3
Human Diseases,Immune disease,hsa05310,Asthma,2/16,27/7134,0.0740740740740741,33.0277777777778,7.90464995035167,0.00160215794505983,0.027236685066017,0.0189729230336032,HLA-DRB1/HLA-DMA,2
Human Diseases,Immune disease,hsa05330,Allograft rejection,2/16,34/7134,0.0588235294117647,26.2279411764706,6.99051553775879,0.00253738737419785,0.0304600719486925,0.0212183163729282,HLA-DRB1/HLA-DMA,2
Human Diseases,Immune disease,hsa05332,Graft-versus-host disease,2/16,35/7134,0.0571428571428571,25.4785714285714,6.88237946906856,0.00268765340723757,0.0304600719486925,0.0212183163729282,HLA-DRB1/HLA-DMA,2
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,2/16,39/7134,0.0512820512820513,22.8653846153846,6.49127990191014,0.00332969452567097,0.0323456039636608,0.0225317674669464,HLA-DRB1/HLA-DMA,2
Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,2/16,43/7134,0.0465116279069768,20.7383720930233,6.15472890260377,0.00403649473037002,0.0326875426957825,0.0227699600822014,HLA-DRB1/HLA-DMA,2
Human Diseases,Immune disease,hsa05320,Autoimmune thyroid disease,2/16,46/7134,0.0434782608695652,19.3858695652174,5.93086922076302,0.00460845345991036,0.0326875426957825,0.0227699600822014,HLA-DRB1/HLA-DMA,2
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,2/16,47/7134,0.0425531914893617,18.9734042553192,5.86091154096843,0.00480699157290919,0.0326875426957825,0.0227699600822014,HLA-DRB1/HLA-DMA,2
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,2/16,60/7134,0.0333333333333333,14.8625,5.11212857380201,0.0077383927339316,0.042587525375106,0.0296662328464361,HLA-DRB1/HLA-DMA,2
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,2/16,62/7134,0.032258064516129,14.383064516129,5.0176157723925,0.00824585522880063,0.042587525375106,0.0296662328464361,HLA-DRB1/HLA-DMA,2
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,3/16,192/7134,0.015625,6.966796875,3.97344014044805,0.00829794750483181,0.042587525375106,0.0296662328464361,HLA-DRB1/HLA-DMA/TAB1,3
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,2/16,64/7134,0.03125,13.93359375,4.92738624741969,0.00876801993016888,0.042587525375106,0.0296662328464361,HLA-DRB1/HLA-DMA,2
