database,status,ID,Description,padj_female,count_female,padj_male,count_male
GO_BP,common,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,0.0001217167521696,4.0,0.030034427535969,2.0
GO_BP,common,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,0.0001217167521696,4.0,0.0302109798971972,2.0
GO_BP,common,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,0.0001217167521696,4.0,0.0288938767595745,2.0
GO_BP,common,GO:0051249,regulation of lymphocyte activation,0.0001217167521696,9.0,0.0178094432550054,6.0
GO_BP,common,GO:0002478,antigen processing and presentation of exogenous peptide antigen,0.0001750124934823,4.0,0.0371287447379463,2.0
GO_BP,common,GO:0002399,MHC class II protein complex assembly,0.0002870309125626,3.0,0.0178094432550054,2.0
GO_BP,common,GO:0002503,peptide antigen assembly with MHC class II protein complex,0.0002870309125626,3.0,0.0178094432550054,2.0
GO_BP,common,GO:0019884,antigen processing and presentation of exogenous antigen,0.0002870309125626,4.0,0.0484362946269824,2.0
GO_BP,common,GO:0002396,MHC protein complex assembly,0.0006534519701561,3.0,0.0182624086070212,2.0
GO_BP,common,GO:0002501,peptide antigen assembly with MHC protein complex,0.0006534519701561,3.0,0.0182624086070212,2.0
GO_BP,common,GO:1903037,regulation of leukocyte cell-cell adhesion,0.0007967788685257,7.0,0.0178094432550054,5.0
GO_BP,common,GO:0050863,regulation of T cell activation,0.0008211154451267,7.0,0.0179721151982807,5.0
GO_BP,common,GO:0050870,positive regulation of T cell activation,0.0009331384491357,6.0,0.0178094432550054,5.0
GO_BP,common,GO:0007159,leukocyte cell-cell adhesion,0.0012193506127807,7.0,0.0182624086070212,5.0
GO_BP,common,GO:1903039,positive regulation of leukocyte cell-cell adhesion,0.0013657893006145,6.0,0.0178094432550054,5.0
GO_BP,common,GO:0071346,cellular response to type II interferon,0.0023497304988964,4.0,0.0182624086070212,3.0
GO_BP,common,GO:0022407,regulation of cell-cell adhesion,0.0025072215708079,7.0,0.0301702392738878,5.0
GO_BP,common,GO:0022409,positive regulation of cell-cell adhesion,0.0025072215708079,6.0,0.0178094432550054,5.0
GO_BP,common,GO:0051251,positive regulation of lymphocyte activation,0.0025072215708079,6.0,0.0178094432550054,5.0
GO_BP,common,GO:0002696,positive regulation of leukocyte activation,0.0033486901058479,6.0,0.0178094432550054,5.0
GO_BP,common,GO:0034341,response to type II interferon,0.0040331196342696,4.0,0.030034427535969,3.0
GO_BP,common,GO:0050867,positive regulation of cell activation,0.0041217805581504,6.0,0.0178094432550054,5.0
GO_BP,common,GO:1903706,regulation of hemopoiesis,0.0056898508938117,6.0,0.0182624086070212,5.0
GO_BP,common,GO:0034728,nucleosome organization,0.012030925018283,3.0,0.0178094432550054,3.0
GO_BP,common,GO:0060330,regulation of response to type II interferon,0.012030925018283,2.0,0.0178094432550054,2.0
GO_BP,common,GO:0060334,regulation of type II interferon-mediated signaling pathway,0.012030925018283,2.0,0.0178094432550054,2.0
GO_BP,common,GO:0071824,protein-DNA complex organization,0.0121565321656591,4.0,0.0178094432550054,4.0
GO_BP,common,GO:0045785,positive regulation of cell adhesion,0.0122155710771378,6.0,0.0301702392738878,5.0
GO_BP,common,GO:1902105,regulation of leukocyte differentiation,0.0149176582794212,5.0,0.0397124882201722,4.0
GO_BP,common,GO:1903131,mononuclear cell differentiation,0.0152808202048587,6.0,0.0351744123127566,5.0
GO_BP,common,GO:0009755,hormone-mediated signaling pathway,0.0230006543807649,4.0,0.0182624086070212,4.0
GO_BP,common,GO:0045619,regulation of lymphocyte differentiation,0.0278710443885767,4.0,0.0182624086070212,4.0
GO_BP,common,GO:0060333,type II interferon-mediated signaling pathway,0.0343956306772302,2.0,0.030034427535969,2.0
