ID,Description,DEG_ORA_n_Female,DEG_ORA_n_Male,DEG_ORA_fdr_Female,DEG_ORA_fdr_Male,GSEA_NES_Female,GSEA_NES_Male,GSEA_fdr_Female,GSEA_fdr_Male,MRgenes_n_Female,MRgenes_n_Male,MRgenes_fdr_Female,MRgenes_fdr_Male,MRgenes_genes_Female,MRgenes_genes_Male,sex_pattern
hsa00010,Glycolysis / Gluconeogenesis,,,,,,-1.77569558360043,,0.0201626976134191,,,,,,,GSEA:male_only
hsa00020,Citrate cycle (TCA cycle),18,19,0.000577726513574667,0.000664127975771127,,-1.98857585099068,,0.0172034464599972,,,,,,,DEG_ORA:both; GSEA:male_only
hsa00061,Fatty acid biosynthesis,12,,0.00188008895180045,,,,,,,,,,,,DEG_ORA:female_only
hsa00190,Oxidative phosphorylation,,55,,0.011945698932875,,,,,,,,,,,DEG_ORA:male_only
hsa00280,"Valine, leucine and isoleucine degradation",22,22,0.00760012201964797,0.0270796675209491,,,,,,,,,,,DEG_ORA:both
hsa00510,N-Glycan biosynthesis,27,30,0.00187034944634507,0.000862359582007284,,,,,,,,,,,DEG_ORA:both
hsa00511,Other glycan degradation,,,,,,-1.88614028063837,,0.0331532830876053,,,,,,,GSEA:male_only
hsa00513,Various types of N-glycan biosynthesis,19,23,0.032135756514854,0.00594759116551393,,,,,,,,,,,DEG_ORA:both
hsa00514,Other types of O-glycan biosynthesis,20,22,0.0389179945783988,0.0340538961408101,,,,,,,,,,,DEG_ORA:both
hsa00562,Inositol phosphate metabolism,37,39,0.000239983212318117,0.000458383971530758,,,,,,,,,,,DEG_ORA:both
hsa00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,,16,,0.0152583703771862,,,,,,,,,,,DEG_ORA:male_only
hsa00630,Glyoxylate and dicarboxylate metabolism,,15,,0.0449172933038059,,,,,,,,,,,DEG_ORA:male_only
hsa00900,Terpenoid backbone biosynthesis,12,16,0.0279593725563278,0.000906918095180246,,,,,,,,,,,DEG_ORA:both
hsa01200,Carbon metabolism,41,47,0.0324685586685675,0.0151449447315242,-1.68780728556849,-2.14690094357466,0.0201376644699283,4.96606507482041e-05,,,,,,,DEG_ORA:both; GSEA:both
hsa01210,2-Oxocarboxylic acid metabolism,15,17,0.0318453302310341,0.0176643052516721,,,,,,,,,,,DEG_ORA:both
hsa01212,Fatty acid metabolism,23,,0.0302728569604555,,,,,,,,,,,,DEG_ORA:female_only
hsa01230,Biosynthesis of amino acids,28,,0.0428863098174317,,-1.80399128100986,-1.84404970734217,0.0216947763442401,0.0139935847076317,,,,,,,DEG_ORA:female_only; GSEA:both
hsa01521,EGFR tyrosine kinase inhibitor resistance,35,33,0.00180102654626938,0.0324252199873794,,,,,,,,,,,DEG_ORA:both
hsa01522,Endocrine resistance,37,,0.0194927681700524,,,,,,,,,,,,DEG_ORA:female_only
hsa03008,Ribosome biogenesis in eukaryotes,,,,,-1.74218061119183,,0.0304366779125247,,,,,,,,GSEA:female_only
hsa03010,Ribosome,,,,,1.88816619755029,1.82118005025272,0.000367092876628124,0.00173142733849249,,,,,,,GSEA:both
hsa03013,Nucleocytoplasmic transport,49,59,9.30871106395467e-05,5.31962790634557e-07,,,,,,,,,,,DEG_ORA:both
hsa03015,mRNA surveillance pathway,40,48,0.00766281950242669,0.000641400454065789,,,,,,,,,,,DEG_ORA:both
hsa03018,RNA degradation,36,36,0.000514612580255271,0.0039194638648462,,,,,,,,,,,DEG_ORA:both
hsa03020,RNA polymerase,15,17,0.0403760977872385,0.0234597784662784,,,,,,,,,,,DEG_ORA:both
hsa03030,DNA replication,18,19,0.00644503310992483,0.0089077786027941,,,,,,,,,,,DEG_ORA:both
hsa03040,Spliceosome,,,,,-1.90371966260027,-1.83436244653211,0.000863526057599297,0.00271757289397208,,,,,,,GSEA:both
hsa03050,Proteasome,23,30,0.00188792556960593,6.44559017012774e-06,,,,,,,,,,,DEG_ORA:both
hsa03082,ATP-dependent chromatin remodeling,47,50,0.00189640505063867,0.0039194638648462,-2.0156259198527,-1.7685472410504,0.000355138946772108,0.0139935847076317,,,,,,,DEG_ORA:both; GSEA:both
hsa03083,Polycomb repressive complex,48,51,4.74600384082804e-08,4.76280989475256e-08,-1.69635082997737,,0.0371156059463958,,2,,0.0450896475999321,,CSNK2B/PHF19,,DEG_ORA:both; GSEA:female_only; MR_genes:female_only
hsa03250,Viral life cycle - HIV-1,30,35,0.00986561187872412,0.00222269256204092,,,,,,,,,,,DEG_ORA:both
hsa03410,Base excision repair,22,20,0.00236423397763507,0.0385318799568782,,,,,,,,,,,DEG_ORA:both
hsa03420,Nucleotide excision repair,,31,,0.00259077306955666,,,,,,,,,,,DEG_ORA:male_only
hsa04010,MAPK signaling pathway,95,106,0.0272752790834137,0.0232830075230314,,,,,,,,,,,DEG_ORA:both
hsa04012,ErbB signaling pathway,34,41,0.011002210360335,0.000961340185721066,,,,,,,,,,,DEG_ORA:both
hsa04062,Chemokine signaling pathway,63,71,0.0396715509248685,0.0265793733457967,,,,,,,,,,,DEG_ORA:both
hsa04064,NF-kappa B signaling pathway,47,,0.000152578724894549,,,,,,,,,,,,DEG_ORA:female_only
hsa04066,HIF-1 signaling pathway,46,52,0.000913735676875272,0.00022890647365326,,,,,,,,,,,DEG_ORA:both
hsa04068,FoxO signaling pathway,51,,0.00337699878462883,,,,,,,,,,,,DEG_ORA:female_only
hsa04070,Phosphatidylinositol signaling system,46,45,6.23016387308272e-05,0.00136082797533381,,,,,,,,,,,DEG_ORA:both
hsa04071,Sphingolipid signaling pathway,46,54,0.0118565743308052,0.00208730757096137,,,,,,,,,,,DEG_ORA:both
hsa04072,Phospholipase D signaling pathway,53,56,0.0133474211918876,0.0334135990115342,,,,,,,,,,,DEG_ORA:both
hsa04110,Cell cycle,59,63,0.00302751733218887,0.00684233749955183,,,,,,,,,,,DEG_ORA:both
hsa04115,p53 signaling pathway,33,,0.00209134973873237,,,,,,,,,,,,DEG_ORA:female_only
hsa04120,Ubiquitin mediated proteolysis,64,73,9.03993529186644e-06,4.0362424568483e-07,,,,,,,,,,,DEG_ORA:both
hsa04136,Autophagy - other,,16,,0.0278752182174323,,,,,,,,,,,DEG_ORA:male_only
hsa04137,Mitophagy - animal,39,51,0.0181453926722501,0.000133169619573019,,,,,,,,,,,DEG_ORA:both
hsa04140,Autophagy - animal,71,78,4.22221278508495e-05,1.48662230330063e-05,,,,,,,,,,,DEG_ORA:both
hsa04141,Protein processing in endoplasmic reticulum,78,89,1.20735189368265e-06,4.76280989475256e-08,-1.66772549574752,,0.00982095570390467,,,,,,,,DEG_ORA:both; GSEA:female_only
hsa04142,Lysosome biogenesis,94,112,0.000143515968972618,9.40389923054171e-07,,-1.73714347946222,,0.00165926703489539,,,,,,,DEG_ORA:both; GSEA:male_only
hsa04144,Endocytosis,86,116,0.00405460364286416,9.49256512766963e-08,,-1.4913935768572,,0.0475086751213795,,,,,,,DEG_ORA:both; GSEA:male_only
hsa04145,Phagocytosis,,95,,0.0126975410267609,,,,,4,,0.00809784187374245,,HLA-DRB1/HLA-DMA/HLA-DPA1/FCGR2B,,DEG_ORA:male_only; MR_genes:female_only
hsa04148,Efferocytosis,59,65,0.00254860632969483,0.00226728683717955,,,,,,,,,,,DEG_ORA:both
hsa04150,mTOR signaling pathway,62,64,0.000668069781179286,0.00425105038667209,,,,,,,,,,,DEG_ORA:both
hsa04152,AMPK signaling pathway,55,59,4.22221278508495e-05,3.87073705937158e-05,,,,,,,,,,,DEG_ORA:both
hsa04210,Apoptosis,51,54,0.00728591601111161,0.0177904256848929,,,,,,,,,,,DEG_ORA:both
hsa04211,Longevity regulating pathway,42,39,0.000143515968972618,0.0089077786027941,,,,,,,,,,,DEG_ORA:both
hsa04213,Longevity regulating pathway - multiple species,25,,0.0238829645826544,,,,,,,,,,,,DEG_ORA:female_only
hsa04216,Ferroptosis,18,24,0.032135756514854,0.000801789933973222,,,,,,,,,,,DEG_ORA:both
hsa04218,Cellular senescence,57,68,0.00667646399815216,0.000458383971530758,,,,,,,,,,,DEG_ORA:both
hsa04310,Wnt signaling pathway,66,65,0.00204110434859129,0.0385318799568782,,,,,,,,,,,DEG_ORA:both
hsa04330,Notch signaling pathway,25,,0.02877067163852,,,,,,,,,,,,DEG_ORA:female_only
hsa04370,VEGF signaling pathway,,28,,0.00976824532736177,,,,,,,,,,,DEG_ORA:male_only
hsa04380,Osteoclast differentiation,,55,,0.0204876598187604,,,,,,,,,,,DEG_ORA:male_only
hsa04514,Cell adhesion molecule (CAM) interaction,,,,,,,,,3,,0.0188303958937846,,HLA-DRB1/HLA-DMA/HLA-DPA1,,MR_genes:female_only
hsa04520,Adherens junction,35,37,0.0211310640015059,0.0389188765082236,,,,,,,,,,,DEG_ORA:both
hsa04611,Platelet activation,,50,,0.0176643052516721,,,,,,,,,,,DEG_ORA:male_only
hsa04612,Antigen processing and presentation,,,,,,,,,3,2,0.00321972635071983,0.042587525375106,HLA-DRB1/HLA-DMA/HLA-DPA1,HLA-DRB1/HLA-DMA,MR_genes:both
hsa04620,Toll-like receptor signaling pathway,,43,,0.0301092292681656,,,,,,,,,,,DEG_ORA:male_only
hsa04621,NOD-like receptor signaling pathway,64,72,0.0147855633821341,0.00926748963485235,,,,,,,,,,,DEG_ORA:both
hsa04623,Cytosolic DNA-sensing pathway,31,34,0.0324685586685675,0.0327397205225871,,,,,,,,,,,DEG_ORA:both
hsa04625,C-type lectin receptor signaling pathway,,46,,0.00338375855651231,,,,,,,,,,,DEG_ORA:male_only
hsa04640,Hematopoietic cell lineage,,,,,,,,,3,,0.00662046665002156,,HLA-DRB1/HLA-DMA/HLA-DPA1,,MR_genes:female_only
hsa04658,Th1 and Th2 cell differentiation,37,43,0.00707290095705652,0.00151967145416036,-1.75898429374771,,0.0181327588787529,,3,,0.00599876409821806,,HLA-DRB1/HLA-DMA/HLA-DPA1,,DEG_ORA:both; GSEA:female_only; MR_genes:female_only
hsa04659,Th17 cell differentiation,52,55,1.24471094302342e-05,1.796933106124e-05,-1.76178665798717,,0.00982095570390467,,3,,0.00809784187374245,,HLA-DRB1/HLA-DMA/HLA-DPA1,,DEG_ORA:both; GSEA:female_only; MR_genes:female_only
hsa04660,T cell receptor signaling pathway,51,58,0.000487601082930885,8.51944011192432e-05,-1.61726427266071,,0.0441214900391655,,,,,,,,DEG_ORA:both; GSEA:female_only
hsa04662,B cell receptor signaling pathway,43,44,9.30871106395467e-05,0.000458383971530758,-1.68679843892321,-1.8385672492932,0.0364681600419096,0.0117232773302882,,,,,,,DEG_ORA:both; GSEA:both
hsa04664,Fc epsilon RI signaling pathway,,29,,0.0351387354424322,,,,,,,,,,,DEG_ORA:male_only
hsa04666,Fc gamma R-mediated phagosome formation,,41,,0.0136095242136136,,-1.95218139547962,,0.00165926703489539,,,,,,,DEG_ORA:male_only; GSEA:male_only
hsa04668,TNF signaling pathway,46,52,0.00471536859106071,0.00194307858666299,,,,,,,,,,,DEG_ORA:both
hsa04672,Intestinal immune network for IgA production,,,,,,,,,3,2,0.00189951750772225,0.0326875426957825,HLA-DRB1/HLA-DMA/HLA-DPA1,HLA-DRB1/HLA-DMA,MR_genes:both
hsa04714,Thermogenesis,77,85,0.0194927681700524,0.0208509520296635,,,,,,,,,,,DEG_ORA:both
hsa04720,Long-term potentiation,,31,,0.00746894738503955,,,,,,,,,,,DEG_ORA:male_only
hsa04722,Neurotrophin signaling pathway,43,54,0.0238829645826544,0.000726882757535175,,-1.60405314491247,,0.0331532830876053,,,,,,,DEG_ORA:both; GSEA:male_only
hsa04810,Regulation of actin cytoskeleton,,86,,0.0124658395765429,,,,,,,,,,,DEG_ORA:male_only
hsa04910,Insulin signaling pathway,65,72,1.20735189368265e-06,2.68725930157535e-07,,,,,,,,,,,DEG_ORA:both
hsa04914,Progesterone-mediated oocyte maturation,41,,0.0141540433382183,,,,,,,,,,,,DEG_ORA:female_only
hsa04919,Thyroid hormone signaling pathway,55,60,4.22221278508495e-05,1.796933106124e-05,-1.57563188601256,,0.0441214900391655,,,,,,,,DEG_ORA:both; GSEA:female_only
hsa04920,Adipocytokine signaling pathway,30,33,0.00524776116159895,0.00400246379146844,,,,,,,,,,,DEG_ORA:both
hsa04922,Glucagon signaling pathway,41,45,0.00885541133064467,0.0089077786027941,,,,,,,,,,,DEG_ORA:both
hsa04926,Relaxin signaling pathway,47,49,0.0147855633821341,0.0445986796769115,,,,,,,,,,,DEG_ORA:both
hsa04928,"Parathyroid hormone synthesis, secretion and action",,46,,0.0199842749690429,,,,,,,,,,,DEG_ORA:male_only
hsa04931,Insulin resistance,44,52,0.00239518804950418,0.000179681723668826,,,,,,,,,,,DEG_ORA:both
hsa04932,Non-alcoholic fatty liver disease,54,70,0.0238829645826544,0.000148965018713699,,,,,,,,,,,DEG_ORA:both
hsa04933,AGE-RAGE signaling pathway in diabetic complications,,40,,0.0340538961408101,,,,,,,,,,,DEG_ORA:male_only
hsa04935,"Growth hormone synthesis, secretion and action",45,,0.0122828115442098,,,,,,,,,,,,DEG_ORA:female_only
hsa04940,Type I diabetes mellitus,,,,,,,,,3,2,0.0017361855789363,0.0323456039636608,HLA-DRB1/HLA-DMA/HLA-DPA1,HLA-DRB1/HLA-DMA,MR_genes:both
hsa04961,Endocrine and other factor-regulated calcium reabsorption,,23,,0.0445860018871976,,,,,,,,,,,DEG_ORA:male_only
hsa04962,Vasopressin-regulated water reabsorption,23,24,0.000948602072704599,0.00179714693971906,,,,,,,,,,,DEG_ORA:both
hsa05010,Alzheimer disease,133,155,0.0004533181197088,1.48662230330063e-05,,-1.44667033020065,,0.0312969205375189,,,,,,,DEG_ORA:both; GSEA:male_only
hsa05012,Parkinson disease,97,116,0.000489858678260007,4.69369255522901e-06,,,,,,,,,,,DEG_ORA:both
hsa05014,Amyotrophic lateral sclerosis,139,149,2.88779905554744e-06,1.03294728374092e-05,,-1.44870776983392,,0.0312969205375189,,,,,,,DEG_ORA:both; GSEA:male_only
hsa05016,Huntington disease,112,132,0.000143515968972618,1.54567906682797e-06,,-1.54147258330738,,0.0139935847076317,,,,,,,DEG_ORA:both; GSEA:male_only
hsa05017,Spinocerebellar ataxia,61,68,9.70570138110974e-05,2.1869981570594e-05,,,,,,,,,,,DEG_ORA:both
hsa05020,Prion disease,90,111,0.0141540433382183,0.000179681723668826,,,,,,,,,,,DEG_ORA:both
hsa05022,Pathways of neurodegeneration - multiple diseases,162,187,0.000205295497385813,9.14121013960605e-06,,-1.39713794149684,,0.0332829930745345,,,,,,,DEG_ORA:both; GSEA:male_only
hsa05100,Bacterial invasion of epithelial cells,,33,,0.0228815493363673,,-1.7074420720662,,0.0332829930745345,,,,,,,DEG_ORA:male_only; GSEA:male_only
hsa05110,Vibrio cholerae infection,,24,,0.0154553012409168,,,,,,,,,,,DEG_ORA:male_only
hsa05120,Epithelial cell signaling in Helicobacter pylori infection,,34,,0.00259077306955666,,,,,,,,,,,DEG_ORA:male_only
hsa05130,Pathogenic Escherichia coli infection,69,86,0.0109600085996135,0.000126666476859235,,,,,,,,,,,DEG_ORA:both
hsa05131,Shigellosis,93,103,0.000330256632886968,0.000190649176451108,,-1.53332214566572,,0.0201626976134191,,,,,,,DEG_ORA:both; GSEA:male_only
