ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,4/31,24/13904,0.166666666666667,74.752688172043,17.0938015318258,2.08223547882922e-07,0.000121716752169658,9.52406402188584e-05,HLA-DRB1/HLA-DMA/HLA-DPA1/FCGR2B,4
GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,4/31,26/13904,0.153846153846154,69.0024813895782,16.4058186986395,2.92045533849064e-07,0.000121716752169658,9.52406402188584e-05,HLA-DRB1/HLA-DMA/HLA-DPA1/FCGR2B,4
GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,4/31,28/13904,0.142857142857143,64.073732718894,15.7922975684503,3.98733429488726e-07,0.000121716752169658,9.52406402188584e-05,HLA-DRB1/HLA-DMA/HLA-DPA1/FCGR2B,4
GO:0051249,regulation of lymphocyte activation,9/31,464/13904,0.0193965517241379,8.69966629588432,7.97409075760257,4.97819027278765e-07,0.000121716752169658,9.52406402188584e-05,HLA-DRB1/AIF1/HLA-DMA/HLA-DPA1/BRD2/IKZF3/SMARCC2/LAX1/FCGR2B,9
GO:0002478,antigen processing and presentation of exogenous peptide antigen,4/31,34/13904,0.117647058823529,52.7666034155598,14.2856765735288,8.94746899194123e-07,0.00017501249348237,0.000136943367518764,HLA-DRB1/HLA-DMA/HLA-DPA1/FCGR2B,4
GO:0002399,MHC class II protein complex assembly,3/31,12/13904,0.25,112.129032258065,18.2047904085747,2.17806027710769e-06,0.000287030912562657,0.000224595278692338,HLA-DRB1/HLA-DMA/HLA-DPA1,3
GO:0002503,peptide antigen assembly with MHC class II protein complex,3/31,12/13904,0.25,112.129032258065,18.2047904085747,2.17806027710769e-06,0.000287030912562657,0.000224595278692338,HLA-DRB1/HLA-DMA/HLA-DPA1,3
GO:0019884,antigen processing and presentation of exogenous antigen,4/31,43/13904,0.0930232558139535,41.7224306076519,12.6421387681459,2.3479011252569e-06,0.000287030912562657,0.000224595278692338,HLA-DRB1/HLA-DMA/HLA-DPA1/FCGR2B,4
GO:0002396,MHC protein complex assembly,3/31,17/13904,0.176470588235294,79.1499051233397,15.2404788718065,6.68151298728134e-06,0.000653451970156115,0.000511311572816162,HLA-DRB1/HLA-DMA/HLA-DPA1,3
GO:0002501,peptide antigen assembly with MHC protein complex,3/31,17/13904,0.176470588235294,79.1499051233397,15.2404788718065,6.68151298728134e-06,0.000653451970156115,0.000511311572816162,HLA-DRB1/HLA-DMA/HLA-DPA1,3
