group,source,ID,Description,GeneRatio,Count,p.adjust,geneID
All,BP,GO:0016236,macroautophagy,195/5792,195,3.50285415818372e-15,CHMP5/PEX2/RB1CC1/SUPT5H/USP36/SCOC/PIP4K2B/EXOC8/SNX14/TBK1/SREBF2/UBQLN4/RAB33B/LRRK2/CASP3/CDK5RAP3/LRBA/CSNK2A2/LARP1/ATG3/C9orf72/ZNRF2/VPS4A/TP53/VTA1/SPTLC1/EXOC1/TP53INP1/HDAC6/SNX4/VTI1A/EXOC7/WDR81/ATG5/CSNK2A1/RHEB/MTM1/CHMP2B/ATP6V1G1/NIPSNAP3A/CDC37/CDK5R1/ATG4B/CHMP1B/VPS13D/TECPR1/SQSTM1/AUP1/STUB1/TSC2/HIF1A/VPS16/ATG4C/VPS36/TBC1D12/CAPNS1/ACBD5/EHMT2/PIKFYVE/VPS28/VCP/HTT/PIK3C2B/CAPN1/PIK3CA/VPS26A/RAB1B/CLN3/VPS26B/TBC1D25/CHMP7/PRKACA/GNAI3/YOD1/POLDIP2/NIPSNAP1/RAB5A/GSK3A/ATP2A2/NOD1/VPS39/AMBRA1/MFSD8/VPS4B/TBC1D5/WDFY3/CHMP1A/EIF2S1/MAP3K7/EI24/WIPI2/SIRT1/CALM1/TEX264/MAPK8/ARL8B/PIP4K2C/STAM2/LRSAM1/MTMR14/SLC25A5/RAB2A/UFM1/TSC1/TMEM39A/UBE2A/ULK3/HGS/LAMP2/GAPDH/ATP6V0E2/RNF213/KAT5/ATP6V0C/ARFIP2/FKBP8/ATP6V1D/PLEKHM1/CTTN/PIK3C3/NIPSNAP3B/STAM/ULK2/MUL1/SH3GLB1/EXOC4/VPS35/MFN2/MTOR/ERN1/ATG4D/RNF31/IFT88/SNX18/ZFYVE1/VPS25/PHF23/CLEC16A/RNF5/FYCO1/HDAC10/FBXO7/ATP13A2/ATP6V0D1/SMCR8/WDR45/BNIP3/NEDD4/CHMP4B/ATP6V1H/TRIM13/PEX5/OPTN/KLHL3/ZFYVE26/PIP4K2A/TMEM41B/ABI2/EIF2AK1/FUNDC1/SLC25A4/VPS37A/ATG9A/GABARAPL1/MAPK3/RIPK2/LZTS1/AKT1/VPS33A/RAB23/CHMP6/UBXN2B/HK2/VPS37B/CHMP2A/IFT20/SESN2/STX17/TRIM32/ATG9B/LIX1/ATG10/VPS37D/SREBF1/MCOLN1/NPC1/WIPI1/NSFL1C/CTSD/VPS37C/MTMR3/SESN1/CTSK/GAA/BNIP3L
All,BP,GO:0010506,regulation of autophagy,191/5792,191,1.02143192590561e-13,RB1CC1/SUPT5H/WDR6/USP36/SCOC/PIP4K2B/EXOC8/TBK1/TRIM23/ROCK1/SREBF2/UBQLN4/EIF4G1/LRRK2/CASP3/CDK5RAP3/CSNK2A2/LARP1/C9orf72/ZMPSTE24/STK38L/TP53/SPTLC1/EXOC1/TP53INP1/TMEM59/HDAC6/SNX4/EXOC7/TAB3/SNRNP70/ATG5/CSNK2A1/OSBPL7/FOXK1/RHEB/USP20/MTM1/ATP6V1G1/NPRL2/PIK3C2A/CDC37/CDK5R1/TAB2/VPS13D/TECPR1/DEPDC5/RRAGB/RPTOR/SQSTM1/STUB1/TSC2/HIF1A/UBR4/PRKAA1/CAPNS1/EHMT2/HTT/ABL1/HERC1/USP33/CAPN1/PIK3CA/VPS26A/DRAM1/CLN3/KEAP1/VPS26B/TBC1D25/PRKACA/GNAI3/KLHL22/POLDIP2/HSPB1/VHL/MTDH/DRAM2/GSK3A/PTPN22/TRIM8/NOD1/AMBRA1/MFSD8/IL10RA/MAP3K7/FOXK2/SIRT1/MAPK8/GOLGA2/CTSA/PIP4K2C/LRSAM1/RAB8A/STAT3/SLC25A5/WNK1/TSC1/CCNY/TMEM39A/UBE2A/ULK3/PSAP/GAPDH/ATP6V0E2/KAT5/TRIM22/ATP6V0C/NPRL3/TPCN1/PLEKHF1/FKBP8/EP300/ATP6V1D/CTTN/PIK3C3/IFNG/ULK2/MUL1/USP13/SH3GLB1/EXOC4/VPS35/MTOR/SIRT2/ORMDL3/ERN1/PIK3R2/ABL2/RNF31/HMGB1/SNX18/TRIM6/PHF23/CLEC16A/KDM4A/SVIP/RRAGC/RNF5/FYCO1/FBXO7/RAB39B/ATP13A2/TRIM58/ATP6V0D1/SMCR8/WDR45/CISD2/BNIP3/NEDD4/CHMP4B/DDIT3/ATP6V1H/TRIM68/TRIM13/OPTN/PIP4K2A/EIF2AK1/ENDOG/SLC25A4/MTMR9/ERCC4/BMF/WDR41/MAPK3/RIPK2/CISD1/LZTS1/DAP/AKT1/LEPR/HK2/TRIM65/SESN2/TRIM32/GATA4/HGF/USP10/SREBF1/NPC1/PLK2/SLC7A5/WIPI1/GPR137/TFEB/RRAGD/MTMR3/SESN1/BNIP3L/BCL2L1/RFPL2/DHRSX
All,BP,GO:0048193,Golgi vesicle transport,162/5792,162,7.50392714538082e-13,AP3D1/CNIH4/EXOC6/EXOC8/TRAPPC6B/SPAST/NBAS/RAB33B/LRRK2/GAK/GGA2/SEC31A/VPS54/VAMP7/RP2/RNF139/ACSL3/SURF4/ARFGAP2/BLZF1/SCAMP3/EXOC1/TEX261/COPA/COG1/CREB3L2/AP3S1/VTI1A/GGA3/TMED5/SEC24C/SEC16A/GOLT1B/ERGIC2/ARF3/KDELR1/MON2/SEC24A/NAPG/AP1AR/SCAMP1/EXOC5/GOPC/LAMP1/IER3IP1/RAB11FIP3/SNX2/SEC31B/HYOU1/MYO5A/COG6/SEC23A/SEC13/PDCD6/AP1G2/SGSM2/COG2/COG3/USO1/PITPNB/VPS52/BBS1/STXBP5/VCP/HTT/P4HB/ARCN1/PGAP1/GBF1/ATP2C1/COPZ1/CORO7/SPTBN1/BCAP31/TAPBP/RAB1B/SEC23B/CLN3/BET1/TRAPPC9/YIF1A/AP2A1/CSK/AP1G1/RUFY1/RAB14/YIPF4/SCAMP2/RABGGTB/COG4/ARL3/SCYL1/TMEM115/TMED2/CCDC22/RAB10/GOLGA2/ARL8B/EXOC2/GOSR2/GGA1/ARFRP1/RANGRF/BET1L/LAPTM5/RAB8A/TBC1D20/ERGIC3/SAR1B/USE1/ARFGEF2/OSBPL5/ANKFY1/RABGGTA/SCAP/PREB/COG7/NAPA/EXOC4/VAMP2/TRAPPC6A/GCC2/SEC22A/PEF1/NRBP1/KLHL12/TRAPPC1/MYO1B/VPS13A/SEC24B/CYTH3/YKT6/LLGL2/CNST/OPTN/PREPL/SEC23IP/STX5/EHD3/CUX1/MACF1/YIPF6/CSNK1D/SNX8/ANK1/ATP9B/SPIRE1/COPE/INSIG1/STX17/NSF/KIF1C/WIPI1/KDELR2/YIPF5/LLGL1/DNM2/PRKCI/SORT1/GAS1/RABEP1/RINT1
All,BP,GO:0016072,rRNA metabolic process,144/5792,144,2.42016346431082e-12,NAT10/EXOSC10/USP36/SMARCA4/GEMIN4/DDX27/NOP2/NSUN5P1/PELP1/NOC4L/GTF3C2/ERI2/FTSJ3/TP53/C1D/PIH1D1/WBP11/TCOF1/WDR46/KRI1/BMS1/HEATR1/NOL6/DDX56/NOB1/EIF6/EIF4A3/RPS7/TSR1/ZNHIT3/KAT2B/NSUN5/SART1/NOLC1/NOP14/RRP8/SLFN12/XRN1/POLR2E/DCAF13/GTF2H5/RIOK2/TBL3/RPL7/RPS24/RPS17/IMP4/NCL/YTHDF2/PWP1/TFB2M/PES1/LSM6/RPS27/NOL9/RRP1B/MPHOSPH6/DDX51/RPL27/RNASEL/NSUN3/LAS1L/NHP2/TRMT2B/PWP2/PDCD11/IMP3/ERCC2/DHX37/DDX49/RPF1/PA2G4/RRS1/WDR12/WDR18/WDR43/WDR74/DDX54/REXO4/ZNHIT6/TSR2/TRMT61B/SMARCB1/GTF3C3/BRF1/GAR1/ERI3/MTOR/BYSL/RPUSD1/DDX11/EMG1/KRR1/SRFBP1/GTF3C5/POLR1B/ESF1/EXOSC2/DDX18/PIN4/NOL10/RIOK3/DEDD2/WDR36/RPL11/UTP20/TFB1M/WDR55/URB1/DEDD/BRIX1/UTP14A/RRP9/WDR75/GTF3C1/PAK1IP1/RPUSD2/METTL5/EXOSC5/UTP18/TAF1B/NOL8/SUV39H1/UTP15/EXOSC8/RPL35/RPF2/DIS3/RRP15/EXOSC9/RRP7A/FCF1/EXOSC7/ERI1/UTP23/POLR1D/EXOSC6/FBL/ANG/RRP1/NSA2/NGDN/RPL35A/MYC
All,BP,GO:0031329,regulation of cellular catabolic process,225/5792,225,2.48921253210532e-12,RB1CC1/SUPT5H/WDR6/USP36/SCOC/PIP4K2B/EXOC8/AKT2/TBK1/TRIM23/ROCK1/SREBF2/UBQLN4/EIF4G1/LRRK2/CASP3/CDK5RAP3/CSNK2A2/LARP1/C9orf72/ZBTB20/ZMPSTE24/STK38L/TP53/SPTLC1/EXOC1/TP53INP1/TMEM59/HDAC6/SNX4/EXOC7/TAB3/SNRNP70/ATG5/CSNK2A1/ADAM9/OSBPL7/FOXK1/RHEB/USP20/MTM1/ATP6V1G1/NPRL2/PIK3C2A/KAT2B/CDC37/CDK5R1/TAB2/VPS13D/SCARB1/TECPR1/DEPDC5/RRAGB/RPTOR/SQSTM1/STUB1/TSC2/HIF1A/UBR4/ATP2B4/PRKAA1/CAPNS1/EHMT2/HTT/ABL1/HERC1/USP33/CAPN1/PIK3CA/APP/VPS26A/DRAM1/PTPN1/CLN3/KEAP1/VPS26B/TBC1D25/PRKACA/GNAI3/KLHL22/POLDIP2/HSPB1/VHL/MTDH/DRAM2/GSK3A/PTPN22/TRIM8/NOD1/AMBRA1/MFSD8/IL10RA/MAP3K7/FOXK2/SIRT1/MAPK8/GOLGA2/PPARA/CTSA/PIP4K2C/LRSAM1/PHKG2/LAPTM5/RAB8A/STAT3/SLC25A5/WNK1/TSC1/CCNY/TMEM39A/UBE2A/ULK3/PSAP/GAPDH/ACACB/ATP6V0E2/KAT5/TRIM22/ATP6V0C/TSPAN17/NPRL3/TPCN1/PLEKHF1/FKBP8/EP300/ATP6V1D/CTTN/PIK3C3/IFNG/ULK2/MUL1/USP13/SH3GLB1/EXOC4/VPS35/MTOR/SIRT2/ORMDL3/ERN1/PIK3R2/TYSND1/INSR/PNPLA2/ABL2/RNF31/HMGB1/SNX18/TRIM6/PHF23/ARNT/CLEC16A/ANXA2/KDM4A/SVIP/RRAGC/RNF5/FYCO1/FBXO7/RAB39B/ATP13A2/TRIM58/ATP6V0D1/SMCR8/TNFRSF1B/WDR45/ABHD5/CISD2/IRS2/BNIP3/NEDD4/CHMP4B/DDIT3/ATP6V1H/TRIM68/CPT1A/TRIM13/OPTN/PIP4K2A/ABCD2/EIF2AK1/SNX9/ENDOG/SLC25A4/PPP1R3B/MTMR9/ERCC4/BMF/WDR41/MAPK3/RIPK2/CISD1/LZTS1/TSPAN5/DAP/AKT1/LEPR/HK2/TRIM65/SESN2/TRIM32/GATA4/HGF/USP10/SREBF1/APOE/NPC1/PLK2/SLC7A5/WIPI1/GPR137/TFEB/RRAGD/ITCH/MTMR3/MFSD2A/SESN1/FURIN/HP/BNIP3L/BCL2L1/TIMP2/LDLR/RFPL2/DHRSX/ABCD1
All,BP,GO:0033044,regulation of chromosome organization,138/5792,138,1.01147212847129e-11,NAT10/SMARCC2/NUMA1/LIG4/EXOSC10/SMARCA4/YLPM1/SMARCD1/DCP2/BAZ1B/NEK7/TERF2/ANAPC5/SUB1/GNL3L/SENP6/TP53/ANAPC7/SMARCD2/PARP1/SMARCC1/POT1/CTCF/TRIM28/ARID1A/MAD2L1/USP7/RUVBL2/NSMCE2/HNRNPU/RUVBL1/RB1/UCHL5/HECW2/MAP2K7/NCAPD2/KAT2B/XRCC1/SMG6/CDC27/XRN1/PARN/LCMT1/ATRX/RIOK2/SMARCA5/ACD/CCT7/SETDB1/WRAP53/ARID1B/ATF7IP/IK/KLHL22/SMC6/ZNF207/BCL7A/NCAPH2/NDC80/INO80/DPF2/FBXO5/FBXO4/LMNA/ATF7IP2/EID3/MAD1L1/SIRT1/NFRKB/MORC2/MAPKAPK5/NAA10/SMC2/MCRS1/RAD50/SIRT6/NBN/HSP90AA1/HNRNPD/SMG5/TNKS2/ZWILCH/INO80E/RAD21/SETDB2/MAP3K4/KAT5/ANAPC2/SMARCB1/CDC16/ERCC1/MAPK1/NSMCE1/DDX11/PRKCQ/PPP1R10/MPHOSPH8/TPR/GNL3/CCT8/TINF2/ACTR5/TNKS/UPF1/SETMAR/CHFR/TACC3/NUF2/CDK5RAP2/CCT2/MAD2L1BP/KNTC1/CDK1/ERCC4/BUB3/GCH1/DPF1/MAPK3/INO80B/MCM2/PPHLN1/APC/CENPE/SMC4/ZWINT/PNKP/DYNC1LI1/NSMCE4A/PKIB/TRIP13/NCAPG/GEN1/NEK2/TTK/PHF10/USP44/MYC/TAL1
All,BP,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,220/5792,220,1.77166127023324e-11,UBE2W/BIRC2/PSMC6/SPOPL/PSMD10/PSMD2/UBQLN4/LRRK2/SOCS5/PSMD11/PJA2/ANAPC5/CSNK2A2/AMN1/FEM1C/KLHL2/ZNRF2/FBXL3/RNF139/ADRM1/ANAPC7/RCHY1/SIAH1/HSP90AB1/SMARCC1/ASB1/UBR3/PSMC5/TRIM28/DDB1/TRIP4/USP7/CSNK2A1/PSMA2/HECTD3/UCHL5/IVNS1ABP/MTM1/KLHL7/CSNK2B/SOCS4/ERCC8/TRIM26/PCNP/FBXW4/FBXL4/CUL5/PSMD3/PSMA4/KBTBD7/KBTBD8/PSMD8/FBXO31/PCBP2/HSPBP1/CDC27/SUMO1/STUB1/ANAPC10/PSMC3/KBTBD3/FBXL5/UBR4/RBX1/SOCS2/PELI1/FBXO3/DCAF13/VCP/TBL1XR1/DVL1/KLHDC1/PSMD1/KLHL15/RNF126/BBS7/ARAF/TOPORS/PEX10/UBR1/USP5/RNF7/APPBP2/CSNK1A1/KEAP1/PSMC4/USP25/RNF170/KLHL22/USP38/VHL/FAF1/UBXN1/FEM1A/GSK3A/KLHL28/STYX/UBE4B/WDR26/PSMD7/KLHDC2/AMBRA1/FBXO4/PSMB2/PSMD14/RAD23A/SIRT1/BTRC/KLHDC3/PSMD12/MTA1/DNAJB2/FBXO11/PPP2CB/FZR1/ARRB1/SIRT6/FAF2/UBE2B/PSMD13/AGAP3/NFE2L2/SOCS7/UBE2A/NHLRC3/ASB9/RNF145/FBXO38/UBE2D1/ANAPC13/TBL1X/ZYG11B/CBFA2T3/PEX12/KAT5/ANAPC2/NPLOC4/FBXO22/CDC16/ASCC2/CUL1/WNT10B/SHARPIN/KLHL5/PSMC1/SIRT2/FBXL18/CAMLG/RYBP/CUL2/ANAPC16/KBTBD6/KLHL12/PSMA3/ZFAND2A/GLMN/AXIN1/IPP/FBXW8/FBXO7/RPL11/GCLC/KBTBD2/CHFR/PIAS1/NUB1/CLU/ZER1/ARIH2/PSMC2/MAP1A/TBX21/DDIT3/KLHL17/PSMA5/PRICKLE1/UBXN7/UBE2N/TRIM13/KLHL3/CRBN/PSMA8/FBXL20/FBXL19/FBXL15/RNF187/FBXW5/RNF216/FBXO45/HERC2/CSNK1D/RBCK1/RNF10/UBE2H/PSMF1/KLHL8/AKT1/GNA12/APC/UBXN2B/SPSB2/KCTD17/TRIM2/DTX4/CCNF/FEM1B/KLHL18/PSMB3/TRAF4/FBXL17/PSMD4/ASCC3/SKP2/NSFL1C/PSMB9/ITCH/SPSB1/USP44/GAN/CLOCK
All,BP,GO:0072594,establishment of protein localization to organelle,217/5792,217,3.43464514062853e-11,PEX2/AP3D1/NFATC3/ZFAND6/SNX16/USP36/JAK2/VPS11/RAB8B/BAG4/SREBF2/NUP62/TNPO2/ZFYVE16/LRRK2/CSNK2A2/SAMM50/VPS54/KPNA6/VPS4A/TP53/IPO13/NUP93/SCRIB/TMEM126A/PITRM1/POT1/OXA1L/NUP188/ECT2/GGA3/MED1/TRIM28/PTGS2/MTX2/POM121/USP7/RANBP6/FLNA/RUVBL2/SRP9/SRP68/ATF2/TIMM8B/ELAVL1/EFCAB7/IPO9/MAVS/LAMP1/DMAP1/SRP19/SAE1/FAM53B/CRY2/SEC13/UBL5/SRP14/VPS13D/PTPN23/CBLB/MON1A/SUMO1/SQSTM1/MAN1A1/TSC2/SGTB/PRKAA1/VPS36/TRAF3IP2/VPS28/DNAJC19/ACD/HSPA5/IMMP1L/NUP50/HK1/PEX10/TOMM34/BCAP31/WRAP53/TOMM5/TNPO3/RAC2/PMPCA/AIP/M6PR/BAP1/EIF4ENIF1/DNAJA1/TRAM2/HDAC3/SEC61A1/GSK3A/MDFIC/SYK/NUP54/GRPEL2/TARDBP/IL10RA/LMNA/RAB10/NAGPA/BCS1L/MAPK8/STAM2/SMAD3/MKLN1/PEX16/LRSAM1/STK3/SIRT6/HSP90AA1/PEX3/LAPTM5/CBL/STAT3/UFM1/VPS53/TRIM37/TIMM44/HGS/LAMP2/ING1/IPO4/MTCH2/NUP214/DNAJC15/MFF/PEX12/PEX13/KPNA4/TSPAN17/IFT122/KPNA5/ROMO1/EP300/TGFB1/PIK3C3/STAM/IFNG/SH3GLB1/TOMM40/HCLS1/MFN2/UBL4A/TIMM50/PIK3R2/GCC2/AIFM1/TIMM22/PPP1R10/RNF31/TPR/MIPEP/NMT1/TSPAN10/PEX1/JUP/SGTA/VPS25/POM121C/ZFAND2A/ANGPT1/PEX14/VPS13A/FBXO7/KPNA3/CLU/NEDD4/ARIH2/CHMP4B/SNUPN/DDIT3/BAX/PRICKLE1/PEX5/UBE2J2/KPNB1/HPS4/WBP2/PKIA/EDEM1/TRAM1/RHOU/ABLIM3/RALA/NUP85/CDK1/VPS37A/SRP72/E2F3/HSPA1L/TIMM17A/PPP3CA/AKT1/SPDYA/RAB23/HK2/VPS37B/SUFU/CD36/VPS37D/SREBF1/NUP35/TIMM8A/VPS8/CDKN1A/TOMM20/IPO11/PKIG/CDH1/VPS37C/GDAP1/ZNF827/PEX7/BNIP3L/SORT1
All,BP,GO:0008380,RNA splicing,225/5792,225,4.03978735664676e-11,KHSRP/PTBP1/PPP4R2/SF3B3/RBM7/PRPF8/EXOSC10/CLK2/U2AF2/HNRNPUL1/GEMIN4/HNRNPUL2/FMR1/SNRNP200/SRRM2/PUF60/TRRAP/SF1/RNPS1/SF3B2/PRPF6/WTAP/PHF5A/PRPF31/CLK4/PTBP2/TAF15/EFTUD2/LSM1/SNRPB/WBP11/SF3A1/CTNNBL1/CLK1/CELF1/PRPF19/SLC38A2/SF3B4/DDX41/SF3A3/SNRNP70/RBM10/DHX16/POLR2A/PPP1R9B/ENY2/SNRPG/SRRM1/FASTK/ARGLU1/EIF4A3/HNRNPU/WBP4/FUS/METTL4/IVNS1ABP/CIRBP/RBM6/SNRPA/RBM14/ZBTB7A/LUC7L/SYF2/NONO/DDX23/PLRG1/SLU7/LSM3/PRMT1/KAT2B/UBL5/RBM39/DAZAP1/CWC22/SART1/HNRNPH3/TMBIM6/PRPF4/WDR77/PRPF39/ZRANB2/PRPF3/SUPT6H/PRMT7/DDX46/PPIL3/PQBP1/SMNDC1/GEMIN5/HNRNPM/C2orf49/DDX42/PRPF40A/SF3A2/SRPK1/PRPF18/SFPQ/NCL/TSEN54/THOC7/PDCD7/RNF113A/LSM6/PUS1/THOC6/AKAP8L/RRP1B/PPIG/DYRK1A/KAT2A/MBNL1/RBM4/TIA1/PSIP1/IK/RBM42/USP22/DHX8/TFIP11/CDK13/ILF3/RALY/SNRPE/HNRNPL/LARP7/GPKOW/TARDBP/MBNL2/THRAP3/CDC40/LUC7L2/CDC5L/ARMC7/SF3B1/SART3/RBM25/PRDX6/DBR1/RBM15/YBX1/GPATCH1/PPWD1/SNRPD1/TGS1/RBM47/CCNL2/BCAS2/MAGOHB/UPF3B/RBM12B/FAM50A/QKI/RBM4B/THOC1/DCPS/CLNS1A/ZNF638/SUPT3H/WDR83/LSM5/ZRSR2/TADA1/CDK12/PNN/XAB2/DHX9/HNRNPA3/ERN1/PPIL2/TRPT1/BUD13/DDX1/RBM17/CCNL1/SNRNP40/LSM2/RRAGC/CWC15/AHNAK/TSSC4/UPF1/SCAF1/DHX38/CRNKL1/CRIPT/LSM4/ZCRB1/ATXN7L3/ZBTB8OS/COIL/RBM12/FAM98B/SNRNP35/TSEN15/RBM11/SNRPA1/LSM7/ZNF830/TTF2/U2AF1L4/CWF19L2/PRPF38B/TAF12/NCBP1/SNRNP27/SYNCRIP/ECD/RBM23/SNRPD2/CELF6/AQR/TADA3/PPIH/RBM41/RBM3/PCBP4/GEMIN6/ARVCF/RBM38/SNRPN/HABP4/UPF3A/AHNAK2/PPARGC1A/RBPMS2
All,BP,GO:0006364,rRNA processing,122/5792,122,5.87507969881131e-11,NAT10/EXOSC10/USP36/GEMIN4/DDX27/NOP2/NSUN5P1/PELP1/NOC4L/ERI2/FTSJ3/C1D/PIH1D1/WBP11/WDR46/KRI1/BMS1/HEATR1/NOL6/DDX56/NOB1/EIF6/EIF4A3/RPS7/TSR1/ZNHIT3/KAT2B/NSUN5/SART1/NOLC1/NOP14/RRP8/DCAF13/GTF2H5/RIOK2/TBL3/RPL7/RPS24/RPS17/IMP4/YTHDF2/PWP1/TFB2M/PES1/LSM6/RPS27/NOL9/RRP1B/MPHOSPH6/DDX51/RPL27/RNASEL/NSUN3/LAS1L/NHP2/TRMT2B/PWP2/PDCD11/IMP3/ERCC2/DHX37/DDX49/RPF1/PA2G4/RRS1/WDR12/WDR18/WDR43/WDR74/DDX54/REXO4/ZNHIT6/TSR2/TRMT61B/GAR1/ERI3/BYSL/RPUSD1/EMG1/KRR1/SRFBP1/ESF1/EXOSC2/DDX18/PIN4/NOL10/RIOK3/WDR36/RPL11/UTP20/TFB1M/WDR55/URB1/BRIX1/UTP14A/RRP9/WDR75/PAK1IP1/RPUSD2/METTL5/EXOSC5/UTP18/NOL8/SUV39H1/UTP15/EXOSC8/RPL35/RPF2/DIS3/RRP15/EXOSC9/RRP7A/FCF1/EXOSC7/ERI1/UTP23/EXOSC6/FBL/RRP1/NSA2/NGDN/RPL35A
