sex,gene,logFC_unadj,FDR_unadj,logFC_adj,FDR_adj,pct_logFC_retained,status
Female,ESYT1,-0.381,2.07e-10,-0.28,2.15e-06,73.5,retained
Female,SMARCC2,-0.336,5.16e-10,-0.208,1.1e-05,61.8,retained
Female,MED1,-0.188,9.48e-08,-0.141,0.00011,75.2,retained
Female,IKZF3,-0.428,3.16e-07,-0.34,0.000266,79.5,retained
Female,GNL1,-0.216,1.19e-07,-0.159,0.000289,73.4,retained
Female,C6orf136,-0.19,7.35e-08,-0.125,0.00053,65.6,retained
Male,ESYT1,-0.484,3.68e-06,-0.401,0.00748,82.8,retained
Male,MED1,-0.237,0.000344,-0.292,0.00936,123,retained
Male,SMARCC2,-0.532,1.13e-06,-0.386,0.0148,72.7,retained
Male,HLA-DMA,-0.394,3.79e-05,-0.314,0.0323,79.7,retained
Male,VPS52,-0.286,0.000229,-0.199,0.11,69.6,lost to composition
Male,INPP5B,-0.387,0.00111,-0.219,0.267,56.7,lost to composition
