gene,nsnp_coloc,PP0,PP1,PP2,PP3,PP4,PP4_cons,coloc_status,PP4_conditional,coloc_verdict,MHC_gene,instrument_chr,nSNP,method,OR,MR_pval,mhc_verdict,in_panel_female,in_panel_male,in_FS_female,in_FS_male
PHF19,743,1.5298083210339e-198,3.64496383950965e-05,1.6493859929886e-195,0.0383371028061486,0.961626447555461,0.714771539235121,,0.961661499769382,COLOCALISED at default prior only (not robust to p12),FALSE,9,2,Inverse variance weighted,0.791,2.95e-08,ROBUST (significant with and without MHC),FALSE,FALSE,TRUE,TRUE
LPCAT2,1116,0,0.0448686209717091,0,0.0283617532343093,0.926769625794342,0.558606776379241,,0.97030591407943,COLOCALISED at default prior only (not robust to p12),FALSE,16,3,Inverse variance weighted,1.097,0.000194,ROBUST (significant with and without MHC),FALSE,FALSE,TRUE,TRUE
IKZF3,811,0,3.08847293222905e-05,0,0.226309903654509,0.773659211616272,0.25473892650387,,0.773683106609521,SUGGESTIVE colocalisation,FALSE,17,2,Inverse variance weighted,1.174,4.32e-08,ROBUST (significant with and without MHC),TRUE,FALSE,TRUE,TRUE
SH2B1,296,6.42676922893592e-09,0.116680367823619,6.97548857620365e-09,0.125885135652487,0.757434483121636,0.237955749272807,,0.857486313020884,SUGGESTIVE colocalisation,FALSE,16,1,Wald ratio,0.494,0.00015,ROBUST (significant with and without MHC),FALSE,FALSE,TRUE,TRUE
RETSAT,959,0,0.322543829139504,0,0.0630910117389105,0.61436515912168,0.137419933035338,,0.906870710678206,SUGGESTIVE colocalisation,FALSE,2,3,Inverse variance weighted,0.921,0.00102,FDR-RANK ONLY (estimate identical; lost to BH re-ranking),FALSE,FALSE,TRUE,FALSE
ZNF785,314,5.12404777440088e-14,0.0320879961161521,5.74767957477695e-13,0.359324668544372,0.608587335338849,0.134562419327788,,0.628763082694732,SUGGESTIVE colocalisation,FALSE,16,1,Wald ratio,1.895,1e-04,ROBUST (significant with and without MHC),FALSE,FALSE,TRUE,TRUE
KLF2,785,5.45520453677665e-23,0.0873806551902607,2.88871204045063e-22,0.462259239597013,0.450360105212727,0.0757320249891511,,0.493480779006078,INCONCLUSIVE (no strong evidence either way),FALSE,19,1,Wald ratio,0.54,0.00047,ROBUST (significant with and without MHC),FALSE,FALSE,TRUE,TRUE
MED1,722,4.23032431974031e-69,0.0169363423652549,1.38012833211367e-67,0.552111221022559,0.4309524366122,0.070400637179697,,0.438376938528139,INCONCLUSIVE (no strong evidence either way),FALSE,17,1,Wald ratio,0.732,4.4e-05,ROBUST (significant with and without MHC),TRUE,TRUE,TRUE,TRUE
LAX1,809,0,0.360625943903211,0,0.23359750230433,0.405776553792273,0.063921841467792,,0.634646573352617,INCONCLUSIVE (no strong evidence either way),FALSE,1,2,Inverse variance weighted,1.084,0.000914,FDR-RANK ONLY (estimate identical; lost to BH re-ranking),FALSE,FALSE,TRUE,FALSE
SMARCC2,365,1.75446052791556e-68,0.0156195621600384,7.96841086688819e-67,0.709134209679971,0.275246228159984,0.0365883468294807,,0.27961367127933,INCONCLUSIVE (no strong evidence either way),FALSE,12,1,Wald ratio,0.76,0.00011,ROBUST (significant with and without MHC),TRUE,TRUE,TRUE,TRUE
HLA-DRB1,5193,0,1.11693270792637e-244,0,0.743544911070186,0.256455088929902,0.0333409104265839,,0.25645508892988,INCONCLUSIVE (no strong evidence either way),TRUE,6,1,Wald ratio,0.337,1e-250,UNTESTABLE without MHC (no non-MHC instrument),FALSE,FALSE,TRUE,TRUE
TAB1,1002,8.01951692588813e-10,0.000119085416799154,5.65509120862167e-06,0.839589664233553,0.160285594456488,0.0187305769388964,,0.160305591185926,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),FALSE,22,1,Wald ratio,0.428,1.6e-05,ROBUST (significant with and without MHC),FALSE,FALSE,FALSE,TRUE
IKZF4,320,3.1043376762625e-19,0.0186723448405629,1.40755709741885e-17,0.846499599208727,0.134828055950709,0.0153448275338273,,0.137393515042439,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),FALSE,12,1,Wald ratio,0.607,0.00032,ROBUST (significant with and without MHC),FALSE,FALSE,TRUE,FALSE
PGAP3,648,0,0.000125556198115985,0,0.923355527154735,0.076518916647206,0.00821782910714255,,0.076528525277883,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),FALSE,17,1,Wald ratio,0.861,3.9e-06,ROBUST (significant with and without MHC),FALSE,FALSE,TRUE,TRUE
INPP5B,888,0,0.00224466014156967,0,0.929146477720573,0.0686088621376818,0.00731241291008492,,0.0687632121792791,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),FALSE,1,1,Wald ratio,1.104,6e-05,ROBUST (significant with and without MHC),FALSE,TRUE,TRUE,TRUE
ESYT1,317,1.40199369238593e-24,0.0200793529326499,6.36603009794327e-23,0.911674551398236,0.0682460956691159,0.00727121862034735,,0.0696445124136927,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),FALSE,12,1,Wald ratio,0.67,0.00071,FDR-RANK ONLY (estimate identical; lost to BH re-ranking),TRUE,TRUE,TRUE,TRUE
FCGR2B,1030,0,0.00808151083033571,0,0.989436667268593,0.0024818219009438,0.000248737780678875,,0.00250204218193539,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),FALSE,1,2,Inverse variance weighted,1.094,0.00103,FDR-RANK ONLY (estimate identical; lost to BH re-ranking),FALSE,FALSE,TRUE,FALSE
CDC37,839,1.26499889803605e-57,2.26690278265789e-05,5.57958132475744e-53,0.999871787688848,0.000105543283318758,1.05553309717342e-05,,0.000105545675936623,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),FALSE,19,1,Wald ratio,0.752,0.00036,ROBUST (significant with and without MHC),FALSE,FALSE,TRUE,TRUE
NCOA5,826,1.90845983969646e-15,1.91933165984097e-08,9.94321640560586e-08,0.999985925017601,1.39563569182345e-05,1.3956532222345e-06,,1.39563585738143e-05,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),FALSE,20,1,Wald ratio,0.422,1.2e-06,ROBUST (significant with and without MHC),FALSE,FALSE,TRUE,TRUE
GNL1,1885,3.70831391946174e-60,1.11817750142532e-52,3.31638713527977e-08,0.999998801855561,1.16498058043427e-06,1.1649818018973e-07,,1.16498061906952e-06,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,1,Wald ratio,4.629,9e-18,UNTESTABLE without MHC (no non-MHC instrument),TRUE,FALSE,TRUE,FALSE
WDR46,2020,8.19948156230284e-126,4.17760749691523e-106,1.96272186134232e-20,1,7.18757246334632e-18,7.18757246334638e-19,,7.18757246334632e-18,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,1,Wald ratio,4.531,5.2e-42,UNTESTABLE without MHC (no non-MHC instrument),FALSE,FALSE,TRUE,TRUE
C6orf136,1911,3.01022680742344e-106,5.86582601369728e-83,5.13180377391752e-24,1,1.9701173230056e-24,1.97011732300562e-25,,1.9701173230056e-24,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,1,Wald ratio,0.537,1.2e-08,UNTESTABLE without MHC (no non-MHC instrument),TRUE,FALSE,TRUE,TRUE
ZBTB9,1119,2.87537863368789e-118,9.53938666841615e-87,3.01421751065806e-32,1,1.36682274909614e-33,1.36682274909615e-34,,1.36682274909614e-33,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,1,Wald ratio,1.589,4.6e-06,UNTESTABLE without MHC (no non-MHC instrument),FALSE,FALSE,TRUE,FALSE
VPS52,2182,2.46668809939258e-142,4.17760749691499e-106,5.90454728265897e-37,1,1.35939874423906e-33,1.35939874423907e-34,,1.35939874423906e-33,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,1,Wald ratio,0.414,4.2e-24,UNTESTABLE without MHC (no non-MHC instrument),FALSE,TRUE,TRUE,TRUE
CSNK2B,1897,1.43173388138422e-233,1.1404138107836e-194,1.25545119486104e-39,1,1.2787237358679e-34,1.27872373586792e-35,,1.2787237358679e-34,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),TRUE,6,1,Wald ratio,0.546,1.3e-11,UNTESTABLE without MHC (no non-MHC instrument),FALSE,FALSE,TRUE,TRUE
