sex,gene,panel,selectors_LASSO_RF_SVM,nestedCV_reselect_pct,blood_logFC,blood_FDR,comp_adj_logFC,comp_adj_FDR,pct_retained,comp_status,wgcna_module,AUC_train,AUC_holdout,AUC_external,AUC_synovium,syn_log2FC,syn_FDR,syn_concordant,MR_OR,MR_FDR,MR_nSNP,MR_method,MHC_verdict,coloc_verdict,coloc_PP4,ancestry_class,OR_stahl,p_stahl,OR_bbj,p_bbj,KEGG_maps,GSEA_leading_edge,literature
Female,C6orf136,primary only,L/R/S,88,-0.19,7.4e-08,-0.125,0.00053,66,retained,brown,0.784,0.804,0.964,0.906,-1.121,2.1e-21,TRUE,0.537,1.4e-06,1,Wald ratio,UNTESTABLE without MHC,MHC - UNRELIABLE BOTH WAYS,0,untestable in EAS (no instruments),0.537,1.6e-05,,,none,none,uncharacterised; no literature
Female,ESYT1,primary only,L/R/S,100,-0.381,2.1e-10,-0.28,2.1e-06,74,retained,brown,0.81,0.8,0.836,0.511,-0.215,0.037,TRUE,0.67,0.036,1,Wald ratio,FDR-RANK ONLY,DISTINCT VARIANTS,0.07,"EUR-replicated, not EAS",0.603,0.0041,0.76,0.39,none,none,no RA or immune literature
Female,GNL1,primary only,L/R/S,70,-0.216,1.2e-07,-0.159,0.00029,73,retained,brown,0.765,0.593,0.7,0.927,-1.235,5e-28,TRUE,4.629,2.7e-15,1,Wald ratio,UNTESTABLE without MHC,MHC - UNRELIABLE BOTH WAYS,0,shared EUR+EAS,10.252,1.2e-16,3.828,8.2e-07,none,none,no RA literature; MHC class I region GTPase next to HLA-E
Female,IKZF3,primary + MHC-free,L/R/S,50,-0.428,3.2e-07,-0.34,0.00027,80,retained,brown,0.738,0.66,0.521,0.099,2.532,5e-04,FALSE,1.174,4.2e-06,2,Inverse variance weighted,ROBUST,SUGGESTIVE colocalisation,0.77,"EUR-replicated, not EAS",1.199,2.8e-05,1.051,0.28,none,none,"known RA/SLE GWAS locus; Aiolos, IL-10 T cells"
Female,MED1,primary + MHC-free,L/R/S,94,-0.188,9.5e-08,-0.141,0.00011,75,retained,brown,0.793,0.713,0.586,0.232,0.493,3.3e-10,FALSE,0.732,0.0032,1,Wald ratio,ROBUST,INCONCLUSIVE,0.43,EUR-discovery only,0.813,0.056,0.91,0.41,hsa04919 thyroid hormone signalling; hsa01522 endocrine resistance,thyroid hormone signalling (leading edge),"no RA paper; GR coactivator, CD8 maintenance via IL-7R, Treg/iNKT"
Female,SMARCC2,primary + MHC-free,L/R/S,16,-0.336,5.2e-10,-0.208,1.1e-05,62,retained,brown,0.795,0.837,0.657,0.996,-1.105,1.1e-32,TRUE,0.76,0.0071,1,Wald ratio,ROBUST,INCONCLUSIVE,0.28,"EUR-replicated, not EAS",0.762,0.016,0.858,0.42,hsa03082 ATP-dependent chromatin remodelling; hsa04714; hsa05225,chromatin remodelling (leading edge),"hardly studied: one 2026 hub-gene paper (RA+atherosclerosis); SWI/SNF scaffold, T-cell activation"
Female,CDC37,MHC-free only,L/R/S,,-0.174,1e-06,-0.1,0.0041,58,retained,brown,0.736,0.69,,0.875,-1.166,3e-20,TRUE,0.752,0.02,1,Wald ratio,ROBUST,DISTINCT VARIANTS,0,EUR-discovery only,0.819,0.12,0.899,0.34,hsa04151 PI3K-Akt signalling,none,CDC37 inhibition ameliorates CIA in rats (2023); HSP90 co-chaperone
Male,ESYT1,primary only,L/R/S,52,-0.484,3.7e-06,-0.401,0.0075,83,retained,brown,0.938,1,0.7,0.696,-0.215,0.037,TRUE,0.67,0.042,1,Wald ratio,FDR-RANK ONLY,DISTINCT VARIANTS,0.07,"EUR-replicated, not EAS",0.603,0.0041,0.76,0.39,none,none,no RA or immune literature
Male,HLA-DMA,primary only,L/R/S,76,-0.394,3.8e-05,-0.314,0.032,80,retained,brown,0.927,0.952,0.975,0.241,1.24,7.2e-09,FALSE,0.559,7.4e-10,1,Wald ratio,UNTESTABLE without MHC,MHC - UNRELIABLE BOTH WAYS,0,"EUR-replicated, not EAS",0.579,2.8e-06,0.953,0.59,hsa04612 antigen processing; hsa04659 Th17; hsa05323 rheumatoid arthritis; hsa04940 T1D,"EBV, HTLV-1 (leading edge)",HLA class II peptide loading; little expression-biomarker work
Male,INPP5B,primary only,L/R/S,0,-0.387,0.0011,-0.219,0.27,57,lost to composition,brown,0.812,0.952,0.55,0.575,-0.197,0.0044,TRUE,1.104,0.0049,1,Wald ratio,ROBUST,DISTINCT VARIANTS,0.07,shared EUR+EAS,,,1.105,0.0029,hsa00562 inositol phosphate metabolism; hsa04070 phosphatidylinositol signalling,none,one paper: RA-SLE pleiotropic gene
Male,MED1,primary + MHC-free,L/R/S,52,-0.237,0.00034,-0.292,0.0094,123,retained,brown,0.863,0.976,0.35,0.328,0.493,3.3e-10,FALSE,0.732,0.0038,1,Wald ratio,ROBUST,INCONCLUSIVE,0.43,EUR-discovery only,0.813,0.056,0.91,0.41,hsa04919 thyroid hormone signalling; hsa01522 endocrine resistance,"thyroid hormone signalling (leading edge, p 0.008)","no RA paper; GR coactivator, CD8 maintenance via IL-7R, Treg/iNKT"
