sex,algorithm,dataset,setting,evidence_tier,n,n_RA,n_ctrl,AUC_CI,missing_genes
Female,Logistic regression,Train (resampled CV),Blood test (internal holdout),primary,145,86,59,0.836 (0.772-0.901) [n=145],""
Female,Logistic regression,Blood test (internal holdout),Blood test (internal holdout),primary,61,36,25,0.823 (0.719-0.928) [n=61],""
Female,SVM (RBF),Train (resampled CV),Blood test (internal holdout),primary,145,86,59,0.856 (0.796-0.915) [n=145],""
Female,SVM (RBF),Blood test (internal holdout),Blood test (internal holdout),primary,61,36,25,0.851 (0.756-0.946) [n=61],""
Female,k-NN,Train (resampled CV),Blood test (internal holdout),primary,145,86,59,0.865 (0.809-0.921) [n=145],""
Female,k-NN,Blood test (internal holdout),Blood test (internal holdout),primary,61,36,25,0.827 (0.726-0.928) [n=61],""
Female,Random forest,Train (resampled CV),Blood test (internal holdout),primary,145,86,59,0.836 (0.773-0.899) [n=145],""
Female,Random forest,Blood test (internal holdout),Blood test (internal holdout),primary,61,36,25,0.836 (0.738-0.933) [n=61],""
Female,ANN (nnet),Train (resampled CV),Blood test (internal holdout),primary,145,86,59,0.861 (0.805-0.918) [n=145],""
Female,ANN (nnet),Blood test (internal holdout),Blood test (internal holdout),primary,61,36,25,0.868 (0.781-0.955) [n=61],""
Male,Logistic regression,Train (resampled CV),Blood test (internal holdout),EXPLORATORY (underpowered),38,17,21,0.955 (0.877-1.000) [n=38],""
Male,Logistic regression,Blood test (internal holdout),Blood test (internal holdout),EXPLORATORY (underpowered),13,6,7,1.000 (1.000-1.000) [n=13] SEPARATION,""
Male,SVM (RBF),Train (resampled CV),Blood test (internal holdout),EXPLORATORY (underpowered),38,17,21,1.000 (1.000-1.000) [n=38] SEPARATION,""
Male,SVM (RBF),Blood test (internal holdout),Blood test (internal holdout),EXPLORATORY (underpowered),13,6,7,1.000 (1.000-1.000) [n=13] SEPARATION,""
Male,k-NN,Train (resampled CV),Blood test (internal holdout),EXPLORATORY (underpowered),38,17,21,1.000 (1.000-1.000) [n=38] SEPARATION,""
Male,k-NN,Blood test (internal holdout),Blood test (internal holdout),EXPLORATORY (underpowered),13,6,7,1.000 (1.000-1.000) [n=13] SEPARATION,""
Male,Random forest,Train (resampled CV),Blood test (internal holdout),EXPLORATORY (underpowered),38,17,21,1.000 (1.000-1.000) [n=38] SEPARATION,""
Male,Random forest,Blood test (internal holdout),Blood test (internal holdout),EXPLORATORY (underpowered),13,6,7,1.000 (1.000-1.000) [n=13] SEPARATION,""
Male,ANN (nnet),Train (resampled CV),Blood test (internal holdout),EXPLORATORY (underpowered),38,17,21,1.000 (1.000-1.000) [n=38] SEPARATION,""
Male,ANN (nnet),Blood test (internal holdout),Blood test (internal holdout),EXPLORATORY (underpowered),13,6,7,1.000 (1.000-1.000) [n=13] SEPARATION,""
