gene,OR_okada,p_okada,risk_okada,OR_stahl,p_stahl,OR_bbj,p_bbj,dir_okada_eq_stahl,dir_okada_eq_bbj,replicated_EUR,transferable_EAS,testable_EAS,ancestry_class,nSNP_okada,nSNP_stahl,nSNP_bbj,eafgap_bbj
HLA-DRB1,0.337,1e-250,protective (OR<1),0.19,0,0.512,2.02e-88,TRUE,TRUE,TRUE,TRUE,TRUE,shared EUR+EAS,1,1,1,0.141
WDR46,4.531,5.2e-42,risk (OR>1),3.809,0.0205,0.978,0.928,TRUE,FALSE,TRUE,FALSE,TRUE,"EUR-replicated, not EAS",1,1,1,0.068
AIF1,0.556,2.53e-24,protective (OR<1),0.488,0.000177,1.911,0.00057,TRUE,FALSE,TRUE,FALSE,TRUE,"EUR-replicated, not EAS",2,1,3,0.103
VPS52,0.414,4.2e-24,protective (OR<1),0.312,7.08e-17,1.253,0.222,TRUE,FALSE,TRUE,FALSE,TRUE,"EUR-replicated, not EAS",1,1,1,0.08
VARS2,1.203,1.08e-16,risk (OR>1),1.248,1.71e-06,1.221,0.293,TRUE,TRUE,TRUE,FALSE,TRUE,"EUR-replicated, not EAS",3,3,3,0.167
AP4B1,1.424,1.3e-12,risk (OR>1),1.525,1.14e-07,1.114,0.293,TRUE,TRUE,TRUE,FALSE,TRUE,"EUR-replicated, not EAS",1,1,1,0.142
HLA-DMA,0.559,3.5e-12,protective (OR<1),0.579,2.84e-06,0.953,0.587,TRUE,TRUE,TRUE,FALSE,TRUE,"EUR-replicated, not EAS",1,1,1,0.088
CSNK2B,0.546,1.3e-11,protective (OR<1),0.421,1.37e-08,0.541,1.93e-06,TRUE,TRUE,TRUE,TRUE,TRUE,shared EUR+EAS,1,1,1,0.037
BRD2,1.554,9.9e-09,risk (OR>1),1.471,0.00071,1.247,0.904,TRUE,TRUE,TRUE,FALSE,TRUE,"EUR-replicated, not EAS",1,1,2,0.079
C6orf136,0.537,1.2e-08,protective (OR<1),0.537,1.64e-05,,,TRUE,FALSE,TRUE,FALSE,FALSE,untestable in EAS (no instruments),1,1,0,0
PHF19,0.791,2.95e-08,protective (OR<1),1.385,0.00538,0.953,0.567,FALSE,TRUE,FALSE,FALSE,TRUE,EUR-discovery only,2,2,2,0.073
IKZF3,1.174,4.32e-08,risk (OR>1),1.199,2.81e-05,1.051,0.279,TRUE,TRUE,TRUE,FALSE,TRUE,"EUR-replicated, not EAS",2,2,2,0.138
NCOA5,0.422,1.2e-06,protective (OR<1),,,0.507,0.00914,FALSE,TRUE,FALSE,TRUE,TRUE,shared EUR+EAS,1,0,1,0.079
DAXX,0.484,2.98e-06,protective (OR<1),0.434,1.08e-06,0.968,0.939,TRUE,TRUE,TRUE,FALSE,TRUE,"EUR-replicated, not EAS",2,2,2,0.177
PGAP3,0.861,3.9e-06,protective (OR<1),0.797,0.000206,0.984,0.708,TRUE,TRUE,TRUE,FALSE,TRUE,"EUR-replicated, not EAS",1,1,1,0.146
TAB1,0.428,1.6e-05,protective (OR<1),0.428,0.0044,0.191,0.000144,TRUE,TRUE,TRUE,TRUE,TRUE,shared EUR+EAS,1,1,1,0.361
MED1,0.732,4.4e-05,protective (OR<1),0.813,0.0563,0.91,0.414,TRUE,TRUE,FALSE,FALSE,TRUE,EUR-discovery only,1,1,1,0.05
INPP5B,1.104,6e-05,risk (OR>1),,,1.105,0.00288,FALSE,TRUE,FALSE,TRUE,TRUE,shared EUR+EAS,1,0,2,0.07
ZNF785,1.895,1e-04,risk (OR>1),,,2.486,0.00316,FALSE,TRUE,FALSE,TRUE,TRUE,shared EUR+EAS,1,0,1,0.106
SMARCC2,0.76,0.00011,protective (OR<1),0.762,0.0165,0.858,0.423,TRUE,TRUE,TRUE,FALSE,TRUE,"EUR-replicated, not EAS",1,1,1,0.077
SH2B1,0.494,0.00015,protective (OR<1),0.463,0.00457,0.909,0.79,TRUE,TRUE,TRUE,FALSE,TRUE,"EUR-replicated, not EAS",1,1,1,0.243
LPCAT2,1.097,0.000194,risk (OR>1),1.118,0.00268,0.992,0.763,TRUE,FALSE,TRUE,FALSE,TRUE,"EUR-replicated, not EAS",3,2,3,0.106
CDC37,0.752,0.00036,protective (OR<1),0.819,0.125,0.899,0.335,TRUE,TRUE,FALSE,FALSE,TRUE,EUR-discovery only,1,1,1,0.106
KLF2,0.54,0.00047,protective (OR<1),0.633,0.0578,,,TRUE,FALSE,FALSE,FALSE,FALSE,untestable in EAS (no instruments),1,1,0,0
ESYT1,0.67,0.00071,protective (OR<1),0.603,0.0041,0.76,0.389,TRUE,TRUE,TRUE,FALSE,TRUE,"EUR-replicated, not EAS",1,1,1,0.085
