gene,id.exposure,id.outcome,outcome,exposure,egger_intercept,se,pval
MGMT,eqtl-a-ENSG00000170430,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000170430 || id:eqtl-a-ENSG00000170430,-0.0106492561528179,0.0233605953034468,0.679462234729383
CDC25B,eqtl-a-ENSG00000101224,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000101224 || id:eqtl-a-ENSG00000101224,-0.02499463689294,0.0200417140234662,0.430267263449838
INVS,eqtl-a-ENSG00000119509,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000119509 || id:eqtl-a-ENSG00000119509,0.0950947773492032,0.331721006974382,0.822266008037826
BTBD7,eqtl-a-ENSG00000011114,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000011114 || id:eqtl-a-ENSG00000011114,0.00998814059134539,0.0247553445336702,0.755857777287894
ACTR10,eqtl-a-ENSG00000131966,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000131966 || id:eqtl-a-ENSG00000131966,-0.00911195405685964,0.0231826146073627,0.761584812943404
TMEM167B,eqtl-a-ENSG00000215717,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000215717 || id:eqtl-a-ENSG00000215717,-0.0304294690590386,0.0892485540524326,0.790812108270598
GPD2,eqtl-a-ENSG00000115159,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000115159 || id:eqtl-a-ENSG00000115159,-0.0147919618424977,0.0250479737393435,0.660402522863134
INTS1,eqtl-a-ENSG00000164880,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000164880 || id:eqtl-a-ENSG00000164880,0.00764756399073586,0.0318262435826034,0.849872175390741
U2AF1L4,eqtl-a-ENSG00000161265,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000161265 || id:eqtl-a-ENSG00000161265,-0.0228467370600314,0.0339623805398386,0.570445317303149
GCDH,eqtl-a-ENSG00000105607,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000105607 || id:eqtl-a-ENSG00000105607,0.0553311941826376,0.0383877744073364,0.38613564944943
FXYD5,eqtl-a-ENSG00000089327,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000089327 || id:eqtl-a-ENSG00000089327,-0.0277123799678391,0.0580118621307956,0.716290029373174
DNAH1,eqtl-a-ENSG00000114841,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000114841 || id:eqtl-a-ENSG00000114841,-0.0270682514835223,0.0230372447193608,0.448893758416248
CDK5R1,eqtl-a-ENSG00000176749,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000176749 || id:eqtl-a-ENSG00000176749,0.0187209409880278,0.0848109729153806,0.861692182850137
TMX4,eqtl-a-ENSG00000125827,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000125827 || id:eqtl-a-ENSG00000125827,-0.0219000856416955,0.031740716030237,0.561520949804338
ZMIZ2,eqtl-a-ENSG00000122515,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000122515 || id:eqtl-a-ENSG00000122515,-0.0327582328848012,0.0242029156408563,0.405091899451744
HSDL2,eqtl-a-ENSG00000119471,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000119471 || id:eqtl-a-ENSG00000119471,-0.034599586748614,0.0276008594892939,0.428668250882829
ZDHHC17,eqtl-a-ENSG00000186908,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000186908 || id:eqtl-a-ENSG00000186908,0.0303480874753924,0.0272575910303937,0.465878593323702
SNX29,eqtl-a-ENSG00000048471,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000048471 || id:eqtl-a-ENSG00000048471,0.0373889872434084,0.0228054779847157,0.348679732916169
FNBP1,eqtl-a-ENSG00000187239,ieu-a-832,Rheumatoid arthritis || id:ieu-a-832,ENSG00000187239 || id:eqtl-a-ENSG00000187239,0.0159907688345218,0.0328050331656778,0.711257156292266
