gene,sex,in_primary_panel,in_noMHC_panel,status,MHC_gene,PP3,PP4,coloc_verdict,mhc_verdict
C6orf136,Female,TRUE,FALSE,DROPPED (was MHC-dependent),TRUE,1,0,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),UNTESTABLE without MHC (no non-MHC instrument)
ESYT1,Female,TRUE,FALSE,DROPPED (was MHC-dependent),FALSE,0.912,0.068,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),FDR-RANK ONLY (estimate identical; lost to BH re-ranking)
GNL1,Female,TRUE,FALSE,DROPPED (was MHC-dependent),TRUE,1,0,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),UNTESTABLE without MHC (no non-MHC instrument)
IKZF3,Female,TRUE,TRUE,retained in both,FALSE,0.226,0.774,SUGGESTIVE colocalisation,ROBUST (significant with and without MHC)
MED1,Female,TRUE,TRUE,retained in both,FALSE,0.552,0.431,INCONCLUSIVE (no strong evidence either way),ROBUST (significant with and without MHC)
SMARCC2,Female,TRUE,TRUE,retained in both,FALSE,0.709,0.275,INCONCLUSIVE (no strong evidence either way),ROBUST (significant with and without MHC)
CDC37,Female,FALSE,TRUE,NEW (surfaced once MHC removed),FALSE,1,0,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),ROBUST (significant with and without MHC)
ESYT1,Male,TRUE,FALSE,DROPPED (was MHC-dependent),FALSE,0.912,0.068,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),FDR-RANK ONLY (estimate identical; lost to BH re-ranking)
HLA-DMA,Male,TRUE,FALSE,DROPPED (was MHC-dependent),TRUE,1,0,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),UNTESTABLE without MHC (no non-MHC instrument)
INPP5B,Male,TRUE,FALSE,DROPPED (was MHC-dependent),FALSE,0.929,0.069,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),ROBUST (significant with and without MHC)
MED1,Male,TRUE,TRUE,retained in both,FALSE,0.552,0.431,INCONCLUSIVE (no strong evidence either way),ROBUST (significant with and without MHC)
SMARCC2,Male,TRUE,TRUE,retained in both,FALSE,0.709,0.275,INCONCLUSIVE (no strong evidence either way),ROBUST (significant with and without MHC)
VPS52,Male,TRUE,FALSE,DROPPED (was MHC-dependent),TRUE,1,0,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),UNTESTABLE without MHC (no non-MHC instrument)
NCOA5,Male,FALSE,TRUE,NEW (surfaced once MHC removed),FALSE,1,0,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),ROBUST (significant with and without MHC)
PHF19,Male,FALSE,TRUE,NEW (surfaced once MHC removed),FALSE,0.038,0.962,COLOCALISED at default prior only (not robust to p12),ROBUST (significant with and without MHC)
TAB1,Male,FALSE,TRUE,NEW (surfaced once MHC removed),FALSE,0.84,0.16,DISTINCT VARIANTS (LD-confounded: MR estimate not causal),ROBUST (significant with and without MHC)
