module,gene,kME,GS_RA,connectivity,is_hub
yellow,ZNF267,0.946,0.534,117.93,TRUE
yellow,ZFYVE16,0.953,0.49,114.79,TRUE
yellow,SP3,0.946,0.52,113.61,TRUE
yellow,FAR1,0.951,0.519,111.93,TRUE
yellow,SNX13,0.937,0.526,111.75,TRUE
yellow,SPOPL,0.955,0.505,110.73,TRUE
yellow,PPP1R12A,0.916,0.536,107.6,TRUE
yellow,RRM2B,0.939,0.508,104.71,TRUE
yellow,ROCK1,0.913,0.478,103.6,TRUE
yellow,UBE2W,0.933,0.555,103.5,TRUE
yellow,CPEB4,0.939,0.471,102.89,TRUE
yellow,CPEB2,0.918,0.525,102.87,TRUE
yellow,EXOC8,0.933,0.507,102.37,TRUE
yellow,MTMR6,0.936,0.52,101.98,TRUE
yellow,NEK7,0.912,0.465,100.34,TRUE
yellow,PPP4R2,0.911,0.534,100.24,TRUE
yellow,SLMAP,0.928,0.483,99.66,TRUE
yellow,CCDC126,0.927,0.527,99.6,TRUE
yellow,BNIP2,0.92,0.519,98.78,TRUE
yellow,FAM91A1,0.912,0.537,98.7,TRUE
yellow,ZDHHC17,0.899,0.546,97.68,TRUE
yellow,FAM160B1,0.923,0.553,97.04,TRUE
yellow,RAB33B,0.92,0.485,96.5,TRUE
yellow,FMR1,0.891,0.478,95.15,TRUE
yellow,STXBP3,0.913,0.515,93.94,TRUE
yellow,ARID4B,0.878,0.488,93.63,TRUE
yellow,GALNT7,0.92,0.479,92.78,TRUE
yellow,TBC1D15,0.897,0.552,92.22,TRUE
yellow,KLHL2,0.921,0.495,91.5,TRUE
yellow,CHUK,0.917,0.505,91.14,TRUE
yellow,TBC1D23,0.88,0.535,91.02,TRUE
yellow,TANK,0.909,0.531,90.87,TRUE
yellow,CAPZA2,0.885,0.556,90.72,TRUE
yellow,MIER1,0.888,0.54,89.98,TRUE
yellow,PJA2,0.901,0.475,89.92,TRUE
yellow,PCMTD1,0.874,0.497,89.8,TRUE
yellow,PNPLA8,0.883,0.517,89.72,TRUE
yellow,NAB1,0.886,0.518,89.7,TRUE
yellow,LPGAT1,0.915,0.542,89.16,TRUE
yellow,FCHO2,0.91,0.478,89.04,TRUE
yellow,NIN,0.886,0.492,89.02,TRUE
yellow,ELMOD2,0.874,0.521,88.41,TRUE
yellow,TWF1,0.864,0.476,88.26,TRUE
yellow,C11orf54,0.908,0.526,87.83,TRUE
yellow,RB1CC1,0.9,0.546,87.83,TRUE
yellow,SNX10,0.913,0.426,87.74,TRUE
yellow,CD46,0.9,0.447,87.34,TRUE
yellow,BAZ2B,0.899,0.481,86.3,TRUE
yellow,STX7,0.89,0.576,85.92,TRUE
yellow,RP2,0.91,0.485,85.87,TRUE
yellow,BAZ1A,0.891,0.514,85.76,TRUE
yellow,ST8SIA4,0.907,0.46,85.72,TRUE
yellow,TMEM55A,0.908,0.45,85.6,TRUE
yellow,SSFA2,0.907,0.475,85.43,TRUE
yellow,ZEB1,0.865,0.417,85.29,TRUE
yellow,OSBPL11,0.907,0.417,85.25,TRUE
yellow,TGFBR1,0.867,0.485,84.91,TRUE
yellow,STK38L,0.898,0.458,84.76,TRUE
yellow,THAP5,0.862,0.408,84.7,TRUE
yellow,DCP2,0.881,0.484,84.02,TRUE
yellow,LYSMD3,0.853,0.498,83.79,TRUE
yellow,TSNAX,0.85,0.475,83.37,TRUE
yellow,LBR,0.894,0.481,83,TRUE
yellow,RBM7,0.885,0.528,82.82,TRUE
yellow,RAB18,0.877,0.524,82.7,TRUE
yellow,UBA3,0.871,0.507,81.98,TRUE
yellow,CSGALNACT2,0.893,0.57,81.77,TRUE
yellow,TMEM65,0.873,0.468,81.44,TRUE
yellow,SGMS1,0.889,0.393,81.09,TRUE
yellow,UBR3,0.865,0.425,80.88,TRUE
yellow,SERINC1,0.874,0.495,80.49,TRUE
yellow,C1GALT1C1,0.877,0.612,80.22,TRUE
yellow,CASC4,0.881,0.416,80.21,TRUE
yellow,ABHD3,0.876,0.472,79.62,TRUE
yellow,TAB3,0.874,0.418,79.49,TRUE
yellow,CCPG1,0.893,0.472,79.19,TRUE
yellow,TAF7,0.86,0.534,79.08,TRUE
yellow,CXorf23,0.884,0.528,78.74,TRUE
yellow,IFNGR1,0.893,0.478,78.44,TRUE
yellow,SEL1L,0.88,0.369,78.19,TRUE
yellow,LY96,0.866,0.53,78.18,TRUE
yellow,BCL2A1,0.869,0.566,78.15,TRUE
yellow,ZNF230,0.882,0.571,78.03,TRUE
yellow,SNX16,0.859,0.512,77.57,TRUE
yellow,TET2,0.889,0.382,77.56,TRUE
yellow,PPM1B,0.85,0.471,77.51,TRUE
yellow,STRN3,0.858,0.485,77.46,TRUE
yellow,CAPZA1,0.854,0.532,77.43,TRUE
yellow,ACSL4,0.88,0.476,77,TRUE
yellow,THAP1,0.855,0.48,76.87,TRUE
yellow,CLK4,0.842,0.463,76.56,TRUE
yellow,GMFB,0.843,0.521,76.29,TRUE
yellow,PTGS2,0.883,0.442,76.05,TRUE
yellow,AZI2,0.852,0.514,76.02,TRUE
yellow,SPAST,0.877,0.515,75.92,TRUE
yellow,RHOT1,0.872,0.485,75.84,TRUE
yellow,FNDC3A,0.844,0.473,75.67,TRUE
yellow,KIAA1468,0.847,0.476,75.61,TRUE
yellow,NAT1,0.849,0.536,75.06,TRUE
yellow,OSTM1,0.846,0.482,74.94,TRUE
