gene,logFC,adj.P.Val,module,GS_RA,kME_own
ARG1,1.36046631995879,3.18610327226326e-09,yellow,0.52,0.612
CLEC4D,1.16915360855525,5.13609812399248e-11,yellow,0.579,0.807
BCL2A1,1.15834995079186,3.55843470997482e-10,yellow,0.566,0.869
LY96,0.916756733564953,6.66389948741259e-09,yellow,0.53,0.866
MS4A4A,0.853633218252723,5.51150756180935e-10,yellow,0.467,0.473
ANXA3,0.833413988381371,8.89314901553933e-08,yellow,0.481,0.741
MS4A3,0.823880614707744,2.20993230672233e-05,yellow,0.412,0.54
TMTC1,0.820462402760418,0.000200718417456917,yellow,0.279,0.395
ZNF267,0.792520040916434,9.9036089537787e-10,yellow,0.534,0.946
HECW2,0.745838836890687,3.33979622225413e-08,yellow,0.461,0.695
FCGBP,-0.744604940950837,2.62013770162302e-09,brown,-0.491,0.506
ZNF117,0.740931727831291,6.50042030401528e-07,yellow,0.47,0.813
SNX16,0.700259571518484,3.30081761734897e-09,yellow,0.512,0.859
NAT1,0.689837710311432,7.09677410057694e-09,yellow,0.536,0.849
HMGB2,0.673800937190015,2.69459181006284e-12,yellow,0.631,0.862
BCAT1,0.666628651516105,1.11304136571862e-06,yellow,0.455,0.492
ZNF230,0.663494306450211,4.14366659343276e-10,yellow,0.571,0.882
C1GALT1C1,0.646928821737564,4.438975154396e-12,yellow,0.612,0.877
SLC37A3,0.643823751202246,2.32172317575747e-09,yellow,0.524,0.809
SULT1B1,0.636120094938198,2.99774812350224e-07,yellow,0.477,0.769
NDUFB3,0.634793776000762,7.60336354014929e-10,yellow,0.523,0.787
SGMS2,0.633313547191337,5.72740165281581e-08,yellow,0.435,0.716
SKIL,0.630676902929908,7.46799862730968e-09,yellow,0.491,0.844
HNMT,0.628097709735001,2.12185700236559e-08,yellow,0.396,0.531
SEMA3C,0.622260999172272,1.0167963037628e-08,yellow,0.511,0.775
CHMP5,0.620770682342747,2.28616979952991e-10,yellow,0.562,0.831
CCDC126,0.619810109631483,1.14056474817687e-08,yellow,0.527,0.927
CPEB2,0.602656289332605,1.43340283254932e-09,yellow,0.525,0.918
ZFYVE16,0.597751454416922,1.43560660111975e-08,yellow,0.49,0.953
NRG1,0.58713204132414,0.000350603691885646,yellow,0.266,0.389
S100A12,0.585810849387974,1.08525464795859e-07,yellow,0.422,0.581
CDK5R1,0.580682866239536,1.8583568426176e-07,yellow,0.47,0.637
FPGT,0.580415900454852,7.38835163388317e-09,yellow,0.507,0.837
LTK,-0.577327634061541,5.13609812399248e-11,brown,-0.508,0.382
SAMSN1,0.57671279342808,3.18856096766898e-10,yellow,0.574,0.835
ST3GAL6,0.576027154529108,4.27085858762242e-07,yellow,0.453,0.847
LOC100131541,-0.5753917030027,1.03314412979326e-07,brown,-0.465,0.758
CPNE8,0.57395219048001,1.08137298469797e-09,yellow,0.508,0.803
CXorf23,0.567256333069783,4.58714777698376e-10,yellow,0.528,0.884
RNASE4,0.566826736357245,9.19656831140181e-08,yellow,0.391,0.546
FAS,0.563761947549874,1.22771255465792e-08,yellow,0.512,0.871
PMAIP1,0.557698856807905,7.07089581189221e-07,yellow,0.456,0.813
CNIH4,0.555717366917,2.01034975033954e-09,yellow,0.555,0.803
TWF1,0.549746866811454,2.23325464571817e-07,yellow,0.476,0.864
CLEC12A,0.549550236724466,0.00147284937352048,yellow,0.24,0.362
