gene,logFC,adj.P.Val,module,GS_RA,kME_own
BCL2A1,1.83658683032758,6.04796403658513e-08,yellow,0.566,0.869
ZNF117,1.57559049114339,2.44235045334636e-07,yellow,0.47,0.813
LY96,1.5475493686022,1.38848950688847e-07,yellow,0.53,0.866
MS4A3,1.43529149624027,0.00135504146956022,yellow,0.412,0.54
ARG1,1.4247725620729,6.99509200526872e-05,yellow,0.52,0.612
ZNF267,1.41807933357753,6.04796403658513e-08,yellow,0.534,0.946
NAT1,1.3675192008252,5.13396939489344e-08,yellow,0.536,0.849
CLEC4D,1.35353738017841,1.01368537175892e-06,yellow,0.579,0.807
TRIM23,1.21047811974067,3.37298846777781e-08,yellow,0.502,0.856
SNX16,1.15264886249964,2.44235045334636e-07,yellow,0.512,0.859
CPEB2,1.1244303274448,2.00419013622516e-07,yellow,0.525,0.918
PMAIP1,1.11527497482755,5.57917448259349e-07,yellow,0.456,0.813
TWF1,1.1133456763666,7.46785446557236e-08,yellow,0.476,0.864
CCDC126,1.1062889254445,1.61618483867465e-07,yellow,0.527,0.927
ZNF230,1.09141244519553,4.3803672831542e-08,yellow,0.571,0.882
SKIL,1.08078827846402,3.94328297882212e-06,yellow,0.491,0.844
FPGT,1.06303671489944,2.9346808978753e-07,yellow,0.507,0.837
ANXA3,1.0390670341277,0.000289278106071492,yellow,0.481,0.741
SAMSN1,1.02432107489694,1.28648833005132e-07,yellow,0.574,0.835
PTGS2,1.02056668893323,7.55660607883231e-06,yellow,0.442,0.883
TBC1D15,1.00783079918137,3.27942153010919e-08,yellow,0.552,0.897
C1GALT1C1,1.00385518814671,1.71007028393782e-07,yellow,0.612,0.877
ZNF354A,0.997401099711766,6.17031396608705e-06,yellow,0.467,0.792
RAB33B,0.995700899985977,1.68745793023821e-07,yellow,0.485,0.92
CHMP5,0.989603087397852,1.68745793023821e-07,yellow,0.562,0.831
FCHO2,0.982958851979645,3.91167288438907e-07,yellow,0.478,0.91
SULT1B1,0.966984114818028,7.26844470922515e-05,yellow,0.477,0.769
PNPLA8,0.965871003254421,6.04796403658513e-08,yellow,0.517,0.883
BCAT1,0.96206336591482,1.59807614394394e-06,yellow,0.455,0.492
FAS,0.956414365421816,2.93434510802894e-06,yellow,0.512,0.871
ZDHHC17,0.952109890415619,2.16463896864911e-07,yellow,0.546,0.899
ZFYVE16,0.933803078760306,4.63512748459795e-06,yellow,0.49,0.953
HMGB2,0.927984491163194,6.04796403658513e-08,yellow,0.631,0.862
CLK4,0.926688436858484,3.21405233238551e-06,yellow,0.463,0.842
DSC2,0.926094001089325,0.00253235815897202,yellow,0.328,0.626
LOC100131541,-0.919004093890567,2.85630562342871e-05,brown,-0.465,0.758
GPR65,0.918211799807471,2.00419013622516e-07,yellow,0.509,0.816
THAP5,0.905910825919046,6.05498758196456e-07,yellow,0.408,0.862
DOCK4,0.898544899460963,0.000795173083869356,yellow,0.363,0.671
SNX13,0.894556509017144,1.33746723469345e-07,yellow,0.526,0.937
KLHL2,0.885961330336662,5.71042216462722e-06,yellow,0.495,0.921
PCMTD1,0.878060287647986,1.47650993028877e-06,yellow,0.497,0.874
SEMA3C,0.873233004034069,4.15779780400918e-05,yellow,0.511,0.775
ABCA1,0.870631735163802,0.000147510856828939,yellow,0.427,0.55
UBE2W,0.868144325566405,8.25293414087285e-08,yellow,0.555,0.933
CNIH4,0.863249076085499,2.95358388347307e-07,yellow,0.555,0.803
PPP4R2,0.860578373117073,3.20702739168219e-07,yellow,0.534,0.911
ARL5B,0.852506503081736,3.68027202396079e-06,yellow,0.477,0.803
ASPH,0.852062333509057,0.00029274424802493,yellow,0.383,0.819
RAB18,0.837551613487156,4.36934408814993e-08,yellow,0.524,0.877
ST3GAL6,0.83598395962499,5.18214250949403e-06,yellow,0.453,0.847
B3GNT2,0.835376954304917,6.82462999576264e-08,yellow,0.485,0.825
RNFT1,0.831969373879348,2.80293918432758e-05,yellow,0.462,0.798
SLC35F5,0.828277430350281,3.68027202396079e-06,yellow,0.392,0.828
ALCAM,0.826975979580788,2.33707892068638e-06,yellow,0.348,0.773
NAB1,0.821455096479062,7.46785446557236e-08,yellow,0.518,0.886
GRAMD1C,0.815367382657854,0.00136945532093422,yellow,0.338,0.739
ABHD13,0.814112437937072,4.48113232226022e-07,yellow,0.53,0.845
TMEM170B,0.811321295422594,8.47494380560505e-06,yellow,0.477,0.875
