sex,gene,module,logFC,DEG_FDR,dir,kME,GS_RA
Female,ARG1,yellow,1.36046631995879,3.18610327226326e-09,Up in RA,0.612,0.52
Female,CLEC4D,yellow,1.16915360855525,5.13609812399248e-11,Up in RA,0.807,0.579
Female,BCL2A1,yellow,1.15834995079186,3.55843470997482e-10,Up in RA,0.869,0.566
Female,LY96,yellow,0.916756733564953,6.66389948741259e-09,Up in RA,0.866,0.53
Female,MS4A4A,yellow,0.853633218252723,5.51150756180935e-10,Up in RA,0.473,0.467
Female,ANXA3,yellow,0.833413988381371,8.89314901553933e-08,Up in RA,0.741,0.481
Female,MS4A3,yellow,0.823880614707744,2.20993230672233e-05,Up in RA,0.54,0.412
Female,TMTC1,yellow,0.820462402760418,0.000200718417456917,Up in RA,0.395,0.279
Female,ZNF267,yellow,0.792520040916434,9.9036089537787e-10,Up in RA,0.946,0.534
Female,HECW2,yellow,0.745838836890687,3.33979622225413e-08,Up in RA,0.695,0.461
Female,FCGBP,brown,-0.744604940950837,2.62013770162302e-09,Down in RA,0.506,-0.491
Female,ZNF117,yellow,0.740931727831291,6.50042030401528e-07,Up in RA,0.813,0.47
Female,SNX16,yellow,0.700259571518484,3.30081761734897e-09,Up in RA,0.859,0.512
Female,NAT1,yellow,0.689837710311432,7.09677410057694e-09,Up in RA,0.849,0.536
Female,HMGB2,yellow,0.673800937190015,2.69459181006284e-12,Up in RA,0.862,0.631
Female,BCAT1,yellow,0.666628651516105,1.11304136571862e-06,Up in RA,0.492,0.455
Female,ZNF230,yellow,0.663494306450211,4.14366659343276e-10,Up in RA,0.882,0.571
Female,C1GALT1C1,yellow,0.646928821737564,4.438975154396e-12,Up in RA,0.877,0.612
Female,SLC37A3,yellow,0.643823751202246,2.32172317575747e-09,Up in RA,0.809,0.524
Female,SULT1B1,yellow,0.636120094938198,2.99774812350224e-07,Up in RA,0.769,0.477
Female,NDUFB3,yellow,0.634793776000762,7.60336354014929e-10,Up in RA,0.787,0.523
Female,SGMS2,yellow,0.633313547191337,5.72740165281581e-08,Up in RA,0.716,0.435
Female,SKIL,yellow,0.630676902929908,7.46799862730968e-09,Up in RA,0.844,0.491
Female,HNMT,yellow,0.628097709735001,2.12185700236559e-08,Up in RA,0.531,0.396
Female,SEMA3C,yellow,0.622260999172272,1.0167963037628e-08,Up in RA,0.775,0.511
Female,CHMP5,yellow,0.620770682342747,2.28616979952991e-10,Up in RA,0.831,0.562
Female,CCDC126,yellow,0.619810109631483,1.14056474817687e-08,Up in RA,0.927,0.527
Female,CPEB2,yellow,0.602656289332605,1.43340283254932e-09,Up in RA,0.918,0.525
Female,ZFYVE16,yellow,0.597751454416922,1.43560660111975e-08,Up in RA,0.953,0.49
Female,NRG1,yellow,0.58713204132414,0.000350603691885646,Up in RA,0.389,0.266
Female,S100A12,yellow,0.585810849387974,1.08525464795859e-07,Up in RA,0.581,0.422
Female,CDK5R1,yellow,0.580682866239536,1.8583568426176e-07,Up in RA,0.637,0.47
Female,FPGT,yellow,0.580415900454852,7.38835163388317e-09,Up in RA,0.837,0.507
Female,LTK,brown,-0.577327634061541,5.13609812399248e-11,Down in RA,0.382,-0.508
Female,SAMSN1,yellow,0.57671279342808,3.18856096766898e-10,Up in RA,0.835,0.574
Female,ST3GAL6,yellow,0.576027154529108,4.27085858762242e-07,Up in RA,0.847,0.453
Female,LOC100131541,brown,-0.5753917030027,1.03314412979326e-07,Down in RA,0.758,-0.465
Female,CPNE8,yellow,0.57395219048001,1.08137298469797e-09,Up in RA,0.803,0.508
Female,CXorf23,yellow,0.567256333069783,4.58714777698376e-10,Up in RA,0.884,0.528
Female,RNASE4,yellow,0.566826736357245,9.19656831140181e-08,Up in RA,0.546,0.391
Female,FAS,yellow,0.563761947549874,1.22771255465792e-08,Up in RA,0.871,0.512
Female,PMAIP1,yellow,0.557698856807905,7.07089581189221e-07,Up in RA,0.813,0.456
Female,CNIH4,yellow,0.555717366917,2.01034975033954e-09,Up in RA,0.803,0.555
Female,TWF1,yellow,0.549746866811454,2.23325464571817e-07,Up in RA,0.864,0.476
Female,CLEC12A,yellow,0.549550236724466,0.00147284937352048,Up in RA,0.362,0.24
Female,FCHO2,yellow,0.548771715870587,1.03314412979326e-07,Up in RA,0.91,0.478
Female,PDK4,yellow,0.543988258325031,0.000419437777875714,Up in RA,0.486,0.293
Female,TRIM23,yellow,0.536410654104108,1.05569363035868e-07,Up in RA,0.856,0.502
Female,ZDHHC17,yellow,0.53195141008634,2.28616979952991e-10,Up in RA,0.899,0.546
Female,GRAMD1C,yellow,0.530766066748865,8.72074617294618e-05,Up in RA,0.739,0.338
Female,ZNF608,yellow,0.530279067141332,7.73947249457769e-06,Up in RA,0.566,0.37
Female,RGS18,yellow,0.529503299830806,6.63174752534097e-09,Up in RA,0.846,0.501
Female,ABHD13,yellow,0.526010541236294,2.09813388656176e-09,Up in RA,0.845,0.53
Female,KLHL2,yellow,0.525419194030762,6.60956556554907e-08,Up in RA,0.921,0.495
Female,YOD1,yellow,0.521203115812637,5.59484314715471e-05,Up in RA,0.508,0.371
Female,SMPDL3A,yellow,0.521019498607421,1.68564355584735e-07,Up in RA,0.592,0.449
Female,ZNF354A,yellow,0.520977911155745,2.48876898236224e-07,Up in RA,0.792,0.467
Female,CLEC12B,yellow,0.519374020921666,0.00448904618856287,Up in RA,0.374,0.244
Female,PTGS2,yellow,0.518526559434749,1.21876832143192e-06,Up in RA,0.883,0.442
Female,ABCA1,yellow,0.518030279991609,3.55823021907544e-06,Up in RA,0.55,0.427
Female,SNX13,yellow,0.517996917785912,2.09077398972974e-09,Up in RA,0.937,0.526
Female,IKBIP,yellow,0.514668700230182,1.37554166577283e-06,Up in RA,0.823,0.447
Female,JAK2,yellow,0.511183960369767,7.49639970924528e-10,Up in RA,0.86,0.539
Female,NHS,yellow,0.50859376261998,1.03484783811987e-05,Up in RA,0.722,0.355
Female,TMEM170B,yellow,0.506868031626476,3.98789510591323e-08,Up in RA,0.875,0.477
Female,PPP4R2,yellow,0.506803856478913,8.87549133602925e-10,Up in RA,0.911,0.534
Female,ADAM9,yellow,0.506756722942455,7.8683371715208e-08,Up in RA,0.846,0.441
Female,DOCK4,yellow,0.505214740127052,0.000553302006522907,Up in RA,0.671,0.363
Female,GPR34,yellow,0.503169961032924,3.37977305796485e-05,Up in RA,0.639,0.38
Female,CCR5,brown,-0.501439491911418,3.16725518421678e-08,Down in RA,0.401,-0.489
Female,ASPH,yellow,0.501375273391972,6.02694140481812e-05,Up in RA,0.819,0.383
Female,CARD16,yellow,0.499191061007705,1.0142077972953e-06,Up in RA,0.666,0.436
Female,IRAK3,yellow,0.497687307843546,8.93981348555828e-08,Up in RA,0.802,0.464
Female,SLCO4C1,yellow,0.497547429663849,3.45813058574214e-06,Up in RA,0.683,0.419
Female,TXN,yellow,0.496418260041952,7.09677410057694e-09,Up in RA,0.711,0.519
Female,S100A8,yellow,0.495844473154833,5.13609812399248e-11,Up in RA,0.792,0.564
Female,ATP8B4,yellow,0.493157480224108,7.95099503098783e-08,Up in RA,0.724,0.465
Female,ST6GALNAC3,yellow,0.493018660805948,1.43560660111975e-08,Up in RA,0.741,0.508
Female,C5orf30,yellow,0.489852428618993,2.06649143232768e-10,Up in RA,0.771,0.593
