sex,gene,module,logFC,DEG_FDR,dir,kME,GS_RA
Male,BCL2A1,yellow,1.83658683032758,6.04796403658513e-08,Up in RA,0.869,0.566
Male,ZNF117,yellow,1.57559049114339,2.44235045334636e-07,Up in RA,0.813,0.47
Male,LY96,yellow,1.5475493686022,1.38848950688847e-07,Up in RA,0.866,0.53
Male,MS4A3,yellow,1.43529149624027,0.00135504146956022,Up in RA,0.54,0.412
Male,ARG1,yellow,1.4247725620729,6.99509200526872e-05,Up in RA,0.612,0.52
Male,ZNF267,yellow,1.41807933357753,6.04796403658513e-08,Up in RA,0.946,0.534
Male,NAT1,yellow,1.3675192008252,5.13396939489344e-08,Up in RA,0.849,0.536
Male,CLEC4D,yellow,1.35353738017841,1.01368537175892e-06,Up in RA,0.807,0.579
Male,TRIM23,yellow,1.21047811974067,3.37298846777781e-08,Up in RA,0.856,0.502
Male,SNX16,yellow,1.15264886249964,2.44235045334636e-07,Up in RA,0.859,0.512
Male,CPEB2,yellow,1.1244303274448,2.00419013622516e-07,Up in RA,0.918,0.525
Male,PMAIP1,yellow,1.11527497482755,5.57917448259349e-07,Up in RA,0.813,0.456
Male,TWF1,yellow,1.1133456763666,7.46785446557236e-08,Up in RA,0.864,0.476
Male,CCDC126,yellow,1.1062889254445,1.61618483867465e-07,Up in RA,0.927,0.527
Male,ZNF230,yellow,1.09141244519553,4.3803672831542e-08,Up in RA,0.882,0.571
Male,SKIL,yellow,1.08078827846402,3.94328297882212e-06,Up in RA,0.844,0.491
Male,FPGT,yellow,1.06303671489944,2.9346808978753e-07,Up in RA,0.837,0.507
Male,ANXA3,yellow,1.0390670341277,0.000289278106071492,Up in RA,0.741,0.481
Male,SAMSN1,yellow,1.02432107489694,1.28648833005132e-07,Up in RA,0.835,0.574
Male,PTGS2,yellow,1.02056668893323,7.55660607883231e-06,Up in RA,0.883,0.442
Male,TBC1D15,yellow,1.00783079918137,3.27942153010919e-08,Up in RA,0.897,0.552
Male,C1GALT1C1,yellow,1.00385518814671,1.71007028393782e-07,Up in RA,0.877,0.612
Male,ZNF354A,yellow,0.997401099711766,6.17031396608705e-06,Up in RA,0.792,0.467
Male,RAB33B,yellow,0.995700899985977,1.68745793023821e-07,Up in RA,0.92,0.485
Male,CHMP5,yellow,0.989603087397852,1.68745793023821e-07,Up in RA,0.831,0.562
Male,FCHO2,yellow,0.982958851979645,3.91167288438907e-07,Up in RA,0.91,0.478
Male,SULT1B1,yellow,0.966984114818028,7.26844470922515e-05,Up in RA,0.769,0.477
Male,PNPLA8,yellow,0.965871003254421,6.04796403658513e-08,Up in RA,0.883,0.517
Male,BCAT1,yellow,0.96206336591482,1.59807614394394e-06,Up in RA,0.492,0.455
Male,FAS,yellow,0.956414365421816,2.93434510802894e-06,Up in RA,0.871,0.512
Male,ZDHHC17,yellow,0.952109890415619,2.16463896864911e-07,Up in RA,0.899,0.546
Male,ZFYVE16,yellow,0.933803078760306,4.63512748459795e-06,Up in RA,0.953,0.49
Male,HMGB2,yellow,0.927984491163194,6.04796403658513e-08,Up in RA,0.862,0.631
Male,CLK4,yellow,0.926688436858484,3.21405233238551e-06,Up in RA,0.842,0.463
Male,DSC2,yellow,0.926094001089325,0.00253235815897202,Up in RA,0.626,0.328
Male,LOC100131541,brown,-0.919004093890567,2.85630562342871e-05,Down in RA,0.758,-0.465
Male,GPR65,yellow,0.918211799807471,2.00419013622516e-07,Up in RA,0.816,0.509
Male,THAP5,yellow,0.905910825919046,6.05498758196456e-07,Up in RA,0.862,0.408
Male,DOCK4,yellow,0.898544899460963,0.000795173083869356,Up in RA,0.671,0.363
Male,SNX13,yellow,0.894556509017144,1.33746723469345e-07,Up in RA,0.937,0.526
Male,KLHL2,yellow,0.885961330336662,5.71042216462722e-06,Up in RA,0.921,0.495
Male,PCMTD1,yellow,0.878060287647986,1.47650993028877e-06,Up in RA,0.874,0.497
Male,SEMA3C,yellow,0.873233004034069,4.15779780400918e-05,Up in RA,0.775,0.511
Male,ABCA1,yellow,0.870631735163802,0.000147510856828939,Up in RA,0.55,0.427
Male,UBE2W,yellow,0.868144325566405,8.25293414087285e-08,Up in RA,0.933,0.555
Male,CNIH4,yellow,0.863249076085499,2.95358388347307e-07,Up in RA,0.803,0.555
Male,PPP4R2,yellow,0.860578373117073,3.20702739168219e-07,Up in RA,0.911,0.534
Male,ARL5B,yellow,0.852506503081736,3.68027202396079e-06,Up in RA,0.803,0.477
Male,ASPH,yellow,0.852062333509057,0.00029274424802493,Up in RA,0.819,0.383
Male,RAB18,yellow,0.837551613487156,4.36934408814993e-08,Up in RA,0.877,0.524
Male,ST3GAL6,yellow,0.83598395962499,5.18214250949403e-06,Up in RA,0.847,0.453
Male,B3GNT2,yellow,0.835376954304917,6.82462999576264e-08,Up in RA,0.825,0.485
Male,RNFT1,yellow,0.831969373879348,2.80293918432758e-05,Up in RA,0.798,0.462
Male,SLC35F5,yellow,0.828277430350281,3.68027202396079e-06,Up in RA,0.828,0.392
Male,ALCAM,yellow,0.826975979580788,2.33707892068638e-06,Up in RA,0.773,0.348
Male,NAB1,yellow,0.821455096479062,7.46785446557236e-08,Up in RA,0.886,0.518
Male,GRAMD1C,yellow,0.815367382657854,0.00136945532093422,Up in RA,0.739,0.338
Male,ABHD13,yellow,0.814112437937072,4.48113232226022e-07,Up in RA,0.845,0.53
Male,TMEM170B,yellow,0.811321295422594,8.47494380560505e-06,Up in RA,0.875,0.477
Male,RGS18,yellow,0.809564961030014,1.76921262408682e-06,Up in RA,0.846,0.501
Male,SCRN3,yellow,0.806067013092974,8.49500501166448e-06,Up in RA,0.815,0.477
Male,EXOC8,yellow,0.803949793574671,3.62215943277423e-07,Up in RA,0.933,0.507
Male,VCPIP1,yellow,0.803090917832283,9.63798008490237e-08,Up in RA,0.761,0.517
Male,ZNF703,brown,-0.803080343090354,0.000137203166779468,Down in RA,0.553,-0.291
Male,CXorf23,yellow,0.795759504397571,2.09042282794333e-06,Up in RA,0.884,0.528
Male,GALNT3,yellow,0.79428910430873,2.28278700079382e-06,Up in RA,0.866,0.533
Male,AZI2,yellow,0.794112034186848,7.96723789020629e-06,Up in RA,0.852,0.514
Male,ANGPT1,yellow,0.792240433182624,0.00160684129238086,Up in RA,0.424,0.262
Male,BLZF1,yellow,0.789440719253054,6.18655346906216e-07,Up in RA,0.801,0.465
Male,TMEM55A,yellow,0.785955896405758,9.60121350564131e-06,Up in RA,0.908,0.45
Male,EDEM3,yellow,0.781207080213834,2.52986303113015e-07,Up in RA,0.782,0.421
Male,THAP1,yellow,0.780760971008413,6.69600512251277e-07,Up in RA,0.855,0.48
Male,GPR34,yellow,0.775772153237627,0.000928729053580692,Up in RA,0.639,0.38
Male,TMEM65,yellow,0.774269443362514,5.32100435307373e-06,Up in RA,0.873,0.468
Male,LYSMD3,yellow,0.767539975964121,1.01368537175892e-06,Up in RA,0.853,0.498
Male,C20orf197,yellow,0.76748405355887,5.62717063283011e-05,Up in RA,0.689,0.422
Male,NDUFB3,yellow,0.76482779756028,7.08044642225829e-06,Up in RA,0.787,0.523
Male,SP3,yellow,0.762748322475916,1.28648833005132e-07,Up in RA,0.946,0.52
Male,YAF2,yellow,0.759876073155203,4.55724548985107e-07,Up in RA,0.814,0.466
Male,PPP1R12A,yellow,0.759718846117693,6.04796403658513e-08,Up in RA,0.916,0.536
Male,SPAG1,yellow,0.759426692100843,0.000162259712350462,Up in RA,0.644,0.423
Male,CCPG1,yellow,0.755390807674707,1.05958350470608e-05,Up in RA,0.893,0.472
Male,ST8SIA4,yellow,0.744779017813463,5.10049133834333e-07,Up in RA,0.907,0.46
Male,C4orf33,yellow,0.739322513891542,5.91538932588742e-05,Up in RA,0.772,0.471
Male,ELMOD2,yellow,0.738348036335368,1.55714221708654e-06,Up in RA,0.874,0.521
Male,KIAA1468,yellow,0.734722637224568,3.410247733953e-06,Up in RA,0.847,0.476
Male,SLC37A3,yellow,0.731354175872018,0.000217329009593723,Up in RA,0.809,0.524
Male,IKBIP,yellow,0.728841952284563,6.26233887640765e-06,Up in RA,0.823,0.447
Male,AMN1,yellow,0.727349379121845,6.17906206056311e-07,Up in RA,0.846,0.494
Male,ZEB1,yellow,0.726725862844964,2.11676746144994e-07,Up in RA,0.865,0.417
Male,B3GNT5,yellow,0.726413613635744,0.000195511990673415,Up in RA,0.846,0.396
Male,FMR1,yellow,0.724914073136732,1.33746723469345e-07,Up in RA,0.891,0.478
Male,GPR160,yellow,0.72428106914992,9.35568177522486e-06,Up in RA,0.735,0.503
Male,CAPZA2,yellow,0.724027337170535,4.96603446024896e-08,Up in RA,0.885,0.556
Male,UBR3,yellow,0.723397724070375,8.78346094703359e-07,Up in RA,0.865,0.425
Male,TPM2,brown,-0.722379409446402,0.000165640322191784,Down in RA,0.566,-0.431
Male,C5orf30,yellow,0.722189353309423,9.21464550406777e-08,Up in RA,0.771,0.593
Male,TAF7,yellow,0.72062526454704,1.68745793023821e-07,Up in RA,0.86,0.534
Male,SGMS2,yellow,0.72020954084145,0.00475612350240596,Up in RA,0.716,0.435
Male,STRN3,yellow,0.718989937769322,1.85610919824821e-06,Up in RA,0.858,0.485
Male,SGMS1,yellow,0.718591501672431,8.6841576759961e-06,Up in RA,0.889,0.393
Male,ROCK1,yellow,0.717556806299237,3.65703520650231e-07,Up in RA,0.913,0.478
Male,RB1CC1,yellow,0.717270012476376,6.04796403658513e-08,Up in RA,0.9,0.546
Male,NEK7,yellow,0.716874824340041,2.52986303113015e-07,Up in RA,0.912,0.465
Male,RRM2B,yellow,0.715247447416256,2.95358388347307e-07,Up in RA,0.939,0.508
Male,ARID4B,yellow,0.714413031644724,7.79145850869992e-07,Up in RA,0.878,0.488
Male,FAM160B1,yellow,0.713448429516772,1.73101575747566e-07,Up in RA,0.923,0.553
Male,CPEB4,yellow,0.709642738976008,4.82456700006716e-06,Up in RA,0.939,0.471
Male,CSGALNACT2,yellow,0.705711058292429,6.66596259616618e-06,Up in RA,0.893,0.57
Male,RP2,yellow,0.704564728568065,8.24962000221744e-06,Up in RA,0.91,0.485
Male,GMFB,yellow,0.703208646158079,4.55724548985107e-07,Up in RA,0.843,0.521
Male,HECW2,yellow,0.703136307257188,0.0136970778249114,Up in RA,0.695,0.461
Male,C4orf32,yellow,0.701734368739199,3.41746266767013e-06,Up in RA,0.791,0.467
Male,HCFC1,brown,-0.699266274501732,1.68745793023821e-07,Down in RA,0.88,-0.487
Male,STARD3NL,yellow,0.697482262904324,3.27942153010919e-08,Up in RA,0.842,0.588
Male,DACH1,yellow,0.697139134365425,0.000141546251969249,Up in RA,0.51,0.322
Male,FAR1,yellow,0.69710052634125,2.93434510802894e-06,Up in RA,0.951,0.519
Male,FNDC3A,yellow,0.696451861035442,1.68745793023821e-07,Up in RA,0.844,0.473
Male,MPP7,yellow,0.692073972280282,4.37133072900924e-05,Up in RA,0.777,0.485
Male,CHUK,yellow,0.690942296398915,1.73413082345998e-06,Up in RA,0.917,0.505
Male,PKN2,yellow,0.688669433004241,3.65132923426309e-07,Up in RA,0.828,0.453
Male,SERPINB2,yellow,0.688493812085252,0.000299191629250861,Up in RA,0.601,0.391
Male,SENP6,yellow,0.687851713264347,7.25932298090994e-06,Up in RA,0.844,0.465
Male,SLC25A40,yellow,0.687734284551618,1.3255934889784e-05,Up in RA,0.845,0.462
Male,CPNE8,yellow,0.685191159554569,0.00015739871495975,Up in RA,0.803,0.508
Male,BAZ2B,yellow,0.683037107969479,2.94914055901324e-06,Up in RA,0.899,0.481
Male,FCGBP,brown,-0.680896095232066,0.00208026809057995,Down in RA,0.506,-0.491
Male,MTMR6,yellow,0.680123215665161,9.47482856917776e-07,Up in RA,0.936,0.52
Male,IDI1,yellow,0.678198852297594,7.09143928597875e-07,Up in RA,0.857,0.469
Male,SLCO4C1,yellow,0.677914339839137,0.00133446092367378,Up in RA,0.683,0.419
Male,DDX11,brown,-0.677716693840751,0.000243148969115631,Down in RA,0.426,-0.294
Male,YOD1,yellow,0.67706245425876,0.00303397239353092,Up in RA,0.508,0.371
Male,ACSL4,yellow,0.675730962271661,3.3689151356976e-06,Up in RA,0.88,0.476
Male,ABHD3,yellow,0.671927677026959,2.44223621671549e-05,Up in RA,0.876,0.472
Male,BAG4,yellow,0.670643062288186,7.17952336921064e-07,Up in RA,0.829,0.488
Male,THAP6,yellow,0.668123316074227,2.16930020166362e-05,Up in RA,0.665,0.363
Male,FAM91A1,yellow,0.666167434793529,6.04796403658513e-08,Up in RA,0.912,0.537
Male,KIAA0754,brown,-0.663253494796685,4.61250019855293e-05,Down in RA,0.744,-0.43
Male,WBP4,yellow,0.659647559278006,9.9439341193107e-05,Up in RA,0.598,0.471
Male,IFRD1,yellow,0.655990580533734,0.000138936132098636,Up in RA,0.825,0.474
Male,IL18R1,yellow,0.652343339472885,6.97468670260258e-05,Up in RA,0.646,0.403
Male,MIER1,yellow,0.650633388676314,3.27942153010919e-08,Up in RA,0.888,0.54
Male,PLCG1,brown,-0.648163664808056,1.23602298579158e-05,Down in RA,0.777,-0.518
Male,CCNG2,yellow,0.647571277317229,1.51315759981745e-05,Up in RA,0.818,0.437
Male,TRIM66,brown,-0.647166565942035,0.000115903706761077,Down in RA,0.58,-0.332
Male,SLC22A15,yellow,0.646782000754424,2.8080930302178e-05,Up in RA,0.74,0.452
Male,SLK,yellow,0.64515681359169,1.07986523271479e-06,Up in RA,0.763,0.433
Male,TSNAX,yellow,0.644664284516693,8.78346094703359e-07,Up in RA,0.85,0.475
Male,FAM174A,yellow,0.643992752602902,4.61827157736111e-05,Up in RA,0.701,0.338
Male,PZP,brown,-0.642210618152998,0.00324321551575148,Down in RA,0.487,-0.311
Male,UEVLD,yellow,0.640825094864805,7.5124864709396e-05,Up in RA,0.724,0.392
Male,ADAM9,yellow,0.640399078907353,0.000737726121668316,Up in RA,0.846,0.441
Male,JAK2,yellow,0.639605092060886,2.36672356660221e-05,Up in RA,0.86,0.539
Male,CXCL6,yellow,0.637932561099165,0.00307101683249319,Up in RA,0.594,0.256
Male,BTBD11,brown,-0.636062973490627,0.000580684131321953,Down in RA,0.503,-0.411
Male,TGFBR1,yellow,0.635827858365807,2.11676746144994e-07,Up in RA,0.867,0.485
Male,C9orf72,yellow,0.63509045840395,7.08431245093317e-05,Up in RA,0.861,0.492
Male,ST6GALNAC3,yellow,0.629587864019436,5.99932226636109e-05,Up in RA,0.741,0.508
Male,CARD16,yellow,0.629157840436278,0.0040134376760679,Up in RA,0.666,0.436
Male,CASC4,yellow,0.628590341096929,9.69272626627326e-07,Up in RA,0.881,0.416
Male,EIF3B,brown,-0.6261368645975,1.06254798682277e-05,Down in RA,0.768,-0.469
Male,HEATR5A,yellow,0.625751198845144,4.42113433471404e-05,Up in RA,0.83,0.435
Male,SPTAN1,brown,-0.625619750620021,7.34411765086831e-06,Down in RA,0.848,-0.503
Male,ATP8B4,yellow,0.625437455035244,1.30407147802965e-05,Up in RA,0.724,0.465
Male,PDPR,brown,-0.624469955144027,0.00022447250019947,Down in RA,0.431,-0.317
Male,MFN1,yellow,0.622935824704499,3.87884959814469e-05,Up in RA,0.843,0.455
Male,FLNA,brown,-0.622246570220846,6.39197494276252e-07,Down in RA,0.812,-0.426
Male,NFXL1,yellow,0.620756563219903,0.0388485637015809,Up in RA,0.523,0.125
Male,OSTM1,yellow,0.619751718795385,2.39540585924182e-06,Up in RA,0.846,0.482
Male,HIST1H2AK,yellow,0.618937186179481,0.000266737782993385,Up in RA,0.569,0.354
Male,APBA2,brown,-0.617450536229563,0.000117630180255793,Down in RA,0.609,-0.383
Male,TBK1,yellow,0.616359454318091,3.23939700631323e-06,Up in RA,0.863,0.51
Male,ARRDC3,yellow,0.616078075283232,8.22357208210858e-06,Up in RA,0.784,0.466
Male,GALNT7,yellow,0.615896004783509,4.42090813956591e-06,Up in RA,0.92,0.479
Male,FBXO30,yellow,0.615733090364053,1.57863090661635e-05,Up in RA,0.849,0.486
Male,C11orf54,yellow,0.615110145015402,4.96603446024896e-08,Up in RA,0.908,0.526
Male,TXN,yellow,0.614862283426761,3.49718568465919e-05,Up in RA,0.711,0.519
Male,FAM8A1,yellow,0.614267133065716,1.37512729285735e-06,Up in RA,0.857,0.494
Male,MAP3K8,yellow,0.613704176456067,6.75755606159672e-05,Up in RA,0.42,0.321
Male,STX7,yellow,0.613249124940449,8.93683171578524e-07,Up in RA,0.89,0.576
Male,ERGIC2,yellow,0.611090117918304,6.85626282325078e-07,Up in RA,0.777,0.461
Male,MAP4,brown,-0.610680160612015,3.23939700631323e-06,Down in RA,0.846,-0.519
Male,NHS,yellow,0.610311611959689,0.00417188895844195,Up in RA,0.722,0.355
Male,TRIM28,brown,-0.605684841934304,1.09875927815748e-06,Down in RA,0.815,-0.473
Male,HORMAD1,yellow,0.60512163670989,1.42646757388333e-05,Up in RA,0.747,0.462
Male,STXBP3,yellow,0.604887138143646,9.06205462110705e-07,Up in RA,0.913,0.515
Male,TBC1D23,yellow,0.603102196332354,2.97569626428015e-07,Up in RA,0.88,0.535
Male,MYO5A,yellow,0.602327866987351,2.46157639107041e-06,Up in RA,0.84,0.393
Male,GLG1,brown,-0.602281003709625,1.41994694253207e-06,Down in RA,0.817,-0.519
Male,GPI,brown,-0.602244063191109,1.31129545120068e-06,Down in RA,0.907,-0.51
Male,SLMAP,yellow,0.601238412287499,1.06759033593472e-05,Up in RA,0.928,0.483
Male,PGGT1B,yellow,0.600466769137805,0.000261609875375237,Up in RA,0.856,0.445
Male,ZMYM3,brown,-0.599974180111864,4.36950687692491e-07,Down in RA,0.786,-0.481
Male,EPB41L2,brown,-0.59873426134706,0.000103587425215767,Down in RA,0.513,-0.324
Male,DGKA,brown,-0.598107764201628,1.09934962298296e-05,Down in RA,0.793,-0.471
Male,ZNRF2,yellow,0.596838228539855,4.91497341925742e-05,Up in RA,0.826,0.453
Male,DNMT1,brown,-0.596447892256368,7.17952336921064e-07,Down in RA,0.859,-0.495
Male,TANK,yellow,0.595694097219632,1.13219512527193e-06,Up in RA,0.909,0.531
Male,RNF139,yellow,0.593858912367677,1.546856741772e-06,Up in RA,0.799,0.471
Male,KBTBD7,yellow,0.593322190282844,0.000111001974719243,Up in RA,0.786,0.434
Male,CD4,brown,-0.593125162867301,6.19046308939221e-08,Down in RA,0.689,-0.321
Male,KRCC1,yellow,0.591703836954839,1.47884606116856e-05,Up in RA,0.789,0.5
Male,CDC25B,brown,-0.5894134432808,2.38479527361286e-06,Down in RA,0.861,-0.523
Male,S100A8,yellow,0.589246036248247,7.12559754000481e-06,Up in RA,0.792,0.564
Male,NECAB1,yellow,0.588718167364817,0.000732467985652033,Up in RA,0.508,0.221
Male,PLA2G4A,yellow,0.588246618828407,0.00114782589150638,Up in RA,0.687,0.428
Male,UBA3,yellow,0.587987475944364,2.90595552008091e-06,Up in RA,0.871,0.507
Male,LONRF1,yellow,0.586701579192588,2.96783558069965e-05,Up in RA,0.881,0.441
Male,DNAJC11,brown,-0.585939360387724,6.04796403658513e-08,Down in RA,0.844,-0.497
Male,CCNT2,yellow,0.584995374706536,0.000776671403556668,Up in RA,0.787,0.444
Male,CLSTN1,brown,-0.58274836958665,1.15877464100903e-07,Down in RA,0.896,-0.556
Male,KIAA1109,yellow,0.581378722577649,2.10112243119909e-05,Up in RA,0.834,0.45
Male,CEP164,brown,-0.580868112883499,1.70391795352267e-06,Down in RA,0.631,-0.378
Male,TMC8,brown,-0.580318726407929,4.87835618863672e-06,Down in RA,0.829,-0.55
Male,PPDPF,brown,-0.579925287076155,0.00029274424802493,Down in RA,0.661,-0.404
Male,NFATC3,brown,-0.579594892416742,1.61451993808553e-06,Down in RA,0.874,-0.555
Male,POM121,brown,-0.578835232404923,2.98193184721183e-07,Down in RA,0.68,-0.452
Male,GAB1,yellow,0.578428384718296,0.00112093920675895,Up in RA,0.807,0.406
Male,RICTOR,yellow,0.578148137960231,1.4521216334205e-05,Up in RA,0.573,0.381
Male,RPAP1,brown,-0.577030560515995,1.19503322182668e-06,Down in RA,0.741,-0.42
Male,EXOC6,yellow,0.575961707402236,1.45839925107371e-05,Up in RA,0.881,0.558
Male,DPY19L3,yellow,0.574585150656078,0.000736746672577669,Up in RA,0.689,0.445
Male,EFHC2,yellow,0.571576764620819,0.00972631426007328,Up in RA,0.533,0.234
Male,SCRN1,brown,-0.571513217461444,5.96164208881277e-06,Down in RA,0.689,-0.527
Male,TCFL5,yellow,0.570800420022442,9.19207411994701e-06,Up in RA,0.711,0.397
Male,SPOPL,yellow,0.57017772201171,1.05335773462831e-06,Up in RA,0.955,0.505
Male,FOXP4,brown,-0.569728221079892,2.33632722807636e-05,Down in RA,0.624,-0.515
Male,IRAK3,yellow,0.569618275331449,0.000411184648635741,Up in RA,0.802,0.464
Male,UBAP2,brown,-0.5693872618891,6.96381206106976e-07,Down in RA,0.806,-0.581
Male,LPCAT2,yellow,0.569202452350904,0.000948270696883415,Up in RA,0.737,0.386
Male,STAG3L3,brown,-0.568665292236073,7.87781423306393e-05,Down in RA,0.824,-0.462
Male,SSBP3,brown,-0.568648255845249,0.000111497368184185,Down in RA,0.646,-0.34
Male,TAF15,brown,-0.566457884129748,7.13561331823511e-07,Down in RA,0.773,-0.45
Male,SMARCA4,brown,-0.563673119762408,3.37298846777781e-08,Down in RA,0.789,-0.554
Male,GMCL1,yellow,0.562177422653822,1.67546621004332e-07,Up in RA,0.824,0.484
Male,TERF2,brown,-0.561838835617625,1.1606976787636e-06,Down in RA,0.794,-0.5
Male,PTPN18,brown,-0.560863158221841,4.4894739263273e-07,Down in RA,0.781,-0.423
Male,PRR12,brown,-0.560574453848813,2.00365555847231e-05,Down in RA,0.766,-0.489
Male,FTO,brown,-0.560324776087982,1.4609701842468e-06,Down in RA,0.865,-0.53
Male,RPGR,yellow,0.559294882159712,0.000771873027523331,Up in RA,0.841,0.39
Male,DCHS1,brown,-0.558941258415902,3.14907193802042e-05,Down in RA,0.475,-0.416
Male,MED30,yellow,0.557029184548165,2.95358388347307e-07,Up in RA,0.777,0.536
Male,TMEM71,yellow,0.556850994393974,4.7157236141945e-06,Up in RA,0.818,0.476
Male,CKLF,yellow,0.556721828901629,4.78117541834206e-06,Up in RA,0.751,0.516
Male,GABBR1,brown,-0.556420385025332,2.86835528557987e-05,Down in RA,0.724,-0.433
Male,JAG1,yellow,0.556156448945056,0.00042821756050813,Up in RA,0.751,0.405
Male,RMI1,yellow,0.554290940588854,3.17340969926812e-05,Up in RA,0.864,0.487
Male,ZBTB20,brown,-0.553383682165976,9.62156706806963e-07,Down in RA,0.811,-0.49
Male,AHCTF1,yellow,0.552975631484835,9.4289389666014e-06,Up in RA,0.672,0.263
Male,ARID4A,yellow,0.552348264160085,1.97556317441598e-05,Up in RA,0.842,0.419
Male,OSGIN2,yellow,0.55184725837898,5.22760780685027e-05,Up in RA,0.721,0.446
Male,PRPF8,brown,-0.55125299164482,9.58885184458198e-08,Down in RA,0.847,-0.549
Male,LXN,yellow,0.550706651983326,0.000826702600147556,Up in RA,0.744,0.436
Male,TRAPPC6B,yellow,0.550122030378192,2.3065252236365e-06,Up in RA,0.827,0.482
Male,FOXRED2,brown,-0.549816645853607,0.000448282972430009,Down in RA,0.405,-0.247
Male,P2RY14,yellow,0.548895011398313,0.023859857283964,Up in RA,0.359,0.169
Male,NAT10,brown,-0.546879066448973,9.69272626627326e-07,Down in RA,0.819,-0.597
Male,LHPP,brown,-0.546824127090202,5.22760780685027e-05,Down in RA,0.537,-0.285
Male,SLFN12,yellow,0.546100296326261,0.000161833611904375,Up in RA,0.611,0.433
Male,EHMT2,brown,-0.545089353674496,3.43491256627469e-05,Down in RA,0.742,-0.382
Male,CDK5RAP2,brown,-0.545068280689894,0.00106103833162568,Down in RA,0.404,-0.228
Male,WDFY1,yellow,0.543649449940294,2.32799476715338e-06,Up in RA,0.726,0.431
Male,ZFAND6,yellow,0.543042349686059,2.32799476715338e-06,Up in RA,0.834,0.517
Male,SUPT5H,brown,-0.542233791236644,1.15381011612726e-06,Down in RA,0.828,-0.545
Male,CHMP2B,yellow,0.541732250041353,2.92438162222501e-06,Up in RA,0.676,0.458
Male,IDH3G,brown,-0.541029116472691,1.71007028393782e-07,Down in RA,0.821,-0.475
Male,ARFIP1,yellow,0.540209876017539,4.82456700006716e-06,Up in RA,0.808,0.491
