sex,module,cor_ME_RA,direction,consistent,gene,logFC,DEG_FDR,kME
Female,yellow,0.556,up in RA,TRUE,ABCA1,0.518030279991609,3.55823021907544e-06,0.55
Female,yellow,0.556,up in RA,TRUE,ABCC2,0.207046356542274,0.00402282353970464,0.606
Female,yellow,0.556,up in RA,TRUE,ABHD13,0.526010541236294,2.09813388656176e-09,0.845
Female,yellow,0.556,up in RA,TRUE,ABHD3,0.358201263545206,2.60852150621431e-08,0.876
Female,yellow,0.556,up in RA,TRUE,ABI1,0.152228275183557,7.67711573355559e-06,0.782
Female,yellow,0.556,up in RA,TRUE,ACAP2,0.18402822927452,1.83481301500333e-05,0.854
Female,yellow,0.556,up in RA,TRUE,ACOT13,0.260147430221868,9.37292838915402e-08,0.579
Female,yellow,0.556,up in RA,TRUE,ACSL3,0.297049592826173,4.88415522843022e-08,0.797
Female,yellow,0.556,up in RA,TRUE,ACSL4,0.407684638611877,1.12992700342853e-07,0.88
Female,yellow,0.556,up in RA,TRUE,ACTR10,0.235539950004475,5.13609812399248e-11,0.785
Female,yellow,0.556,up in RA,TRUE,ADAM10,0.338499911308805,1.98600629838086e-07,0.78
Female,yellow,0.556,up in RA,TRUE,ADAM9,0.506756722942455,7.8683371715208e-08,0.846
Female,yellow,0.556,up in RA,TRUE,AGFG1,0.157439793553719,0.000278075275859482,0.652
Female,yellow,0.556,up in RA,TRUE,AGTPBP1,0.269877823443185,1.75380202952313e-05,0.746
Female,yellow,0.556,up in RA,TRUE,AIF1,0.12035875319193,0.00597387917875004,0.459
Female,yellow,0.556,up in RA,TRUE,ALCAM,0.290222841816897,0.0012639445929281,0.773
Female,yellow,0.556,up in RA,TRUE,ALS2,0.141534134803893,0.0109660645298498,0.386
Female,yellow,0.556,up in RA,TRUE,AMD1,0.200746529567229,1.78350452292645e-06,0.816
Female,yellow,0.556,up in RA,TRUE,AMN1,0.462039700826539,6.58778063686018e-08,0.846
Female,yellow,0.556,up in RA,TRUE,ANAPC13,0.115967640592703,0.00146114902461068,0.494
Female,yellow,0.556,up in RA,TRUE,ANGPT1,0.275973958213003,0.0289185094135865,0.424
Female,yellow,0.556,up in RA,TRUE,ANKRD50,0.338157403543862,3.81871667882506e-05,0.674
Female,yellow,0.556,up in RA,TRUE,ANKRD6,0.182555680421959,0.0016003138698885,0.555
Female,yellow,0.556,up in RA,TRUE,ANLN,0.154480732086765,0.0101516020985654,0.356
Female,yellow,0.556,up in RA,TRUE,ANXA3,0.833413988381371,8.89314901553933e-08,0.741
Female,yellow,0.556,up in RA,TRUE,APH1B,0.15441927628778,1.5973041970978e-05,0.433
Female,yellow,0.556,up in RA,TRUE,ARFIP1,0.343088152496119,2.39623674412749e-08,0.808
Female,yellow,0.556,up in RA,TRUE,ARG1,1.36046631995879,3.18610327226326e-09,0.612
Female,yellow,0.556,up in RA,TRUE,ARHGAP29,0.335394907577768,2.63947011512566e-05,0.485
Female,yellow,0.556,up in RA,TRUE,ARID4A,0.242183291899626,4.4010217192503e-06,0.842
Female,yellow,0.556,up in RA,TRUE,ARID4B,0.390364093653524,6.31666316196482e-09,0.878
Female,yellow,0.556,up in RA,TRUE,ARL15,0.140716669762556,0.00307737529669745,0.408
Female,yellow,0.556,up in RA,TRUE,ARL3,0.240885051626613,0.000117294288534876,0.68
Female,yellow,0.556,up in RA,TRUE,ARL5B,0.472882898227178,9.28618593103933e-08,0.803
Female,yellow,0.556,up in RA,TRUE,ARNTL,0.130282482527952,0.000946836100527954,0.651
Female,yellow,0.556,up in RA,TRUE,ARRDC3,0.266314054398843,1.52554328958123e-06,0.784
Female,yellow,0.556,up in RA,TRUE,ARRDC4,0.326949486297004,0.000984141344443166,0.492
Female,yellow,0.556,up in RA,TRUE,ASAH1,0.141885641470338,2.34780668486631e-06,0.705
Female,yellow,0.556,up in RA,TRUE,ASB7,0.176206659081384,4.73293672878945e-05,0.801
Female,yellow,0.556,up in RA,TRUE,ASB9,0.169345628447387,0.000114114932970538,0.417
Female,yellow,0.556,up in RA,TRUE,ASPH,0.501375273391972,6.02694140481812e-05,0.819
Female,yellow,0.556,up in RA,TRUE,ATG3,0.244725401919259,9.81358013152171e-08,0.822
Female,yellow,0.556,up in RA,TRUE,ATP11A,0.222234283377571,0.000390123760085623,0.582
Female,yellow,0.556,up in RA,TRUE,ATP11B,0.284069050592778,7.14505293578802e-09,0.836
Female,yellow,0.556,up in RA,TRUE,ATP6V1D,0.161997701439871,0.000345573120641914,0.385
Female,yellow,0.556,up in RA,TRUE,ATP8B4,0.493157480224108,7.95099503098783e-08,0.724
Female,yellow,0.556,up in RA,TRUE,AZI2,0.471666922705063,4.22537732436105e-09,0.852
Female,yellow,0.556,up in RA,TRUE,AZIN1,0.168468080606469,0.000871030243992177,0.712
Female,yellow,0.556,up in RA,TRUE,B2M,0.118713586626713,1.1139045435868e-07,0.741
Female,yellow,0.556,up in RA,TRUE,B3GNT2,0.383008740877282,2.73420129919161e-07,0.825
Female,yellow,0.556,up in RA,TRUE,B3GNT5,0.473078122799944,1.37441617333621e-05,0.846
Female,yellow,0.556,up in RA,TRUE,BACH1,0.142114275573324,0.000880942137113539,0.785
Female,yellow,0.556,up in RA,TRUE,BAG4,0.379088427288454,1.3529351101841e-08,0.829
Female,yellow,0.556,up in RA,TRUE,BAZ1A,0.273315411041345,2.32720097556952e-08,0.891
Female,yellow,0.556,up in RA,TRUE,BAZ2B,0.428387230553957,5.25246244515136e-08,0.899
Female,yellow,0.556,up in RA,TRUE,BCAT1,0.666628651516105,1.11304136571862e-06,0.492
Female,yellow,0.556,up in RA,TRUE,BCL2A1,1.15834995079186,3.55843470997482e-10,0.869
Female,yellow,0.556,up in RA,TRUE,BLZF1,0.395505315470091,8.93250931829678e-07,0.801
Female,yellow,0.556,up in RA,TRUE,BNIP2,0.287233774003886,2.50703086111885e-09,0.92
Female,yellow,0.556,up in RA,TRUE,BTBD10,0.349407801537454,2.98099799239685e-10,0.856
Female,yellow,0.556,up in RA,TRUE,BTBD3,0.351236787168457,5.94115606229602e-06,0.596
Female,yellow,0.556,up in RA,TRUE,BTN2A1,0.180961248096437,3.20017642713929e-05,0.603
Female,yellow,0.556,up in RA,TRUE,C11orf54,0.320057624214109,1.93878214863545e-08,0.908
Female,yellow,0.556,up in RA,TRUE,C12orf76,0.166751738609,0.000212988505033015,0.313
Female,yellow,0.556,up in RA,TRUE,C16orf72,0.245583944681459,5.32809790883247e-07,0.783
Female,yellow,0.556,up in RA,TRUE,C1GALT1C1,0.646928821737564,4.438975154396e-12,0.877
Female,yellow,0.556,up in RA,TRUE,C20orf197,0.440106875319446,1.66475357386037e-05,0.689
Female,yellow,0.556,up in RA,TRUE,C4orf32,0.382556293894586,5.65176807777139e-07,0.791
Female,yellow,0.556,up in RA,TRUE,C4orf33,0.400905816581123,3.18099176604498e-07,0.772
Female,yellow,0.556,up in RA,TRUE,C5orf30,0.489852428618993,2.06649143232768e-10,0.771
Female,yellow,0.556,up in RA,TRUE,C9orf66,0.191977224276812,0.00013981700101159,0.523
Female,yellow,0.556,up in RA,TRUE,C9orf72,0.449362570274852,9.05495255569804e-09,0.861
Female,yellow,0.556,up in RA,TRUE,CAB39,0.174755958703544,2.46630063550329e-06,0.8
Female,yellow,0.556,up in RA,TRUE,CALML4,0.168341359166801,0.00135872458134934,0.612
Female,yellow,0.556,up in RA,TRUE,CAPZA1,0.199972234443357,9.48600950904297e-09,0.854
Female,yellow,0.556,up in RA,TRUE,CAPZA2,0.456013557419409,3.18856096766898e-10,0.885
Female,yellow,0.556,up in RA,TRUE,CARD16,0.499191061007705,1.0142077972953e-06,0.666
Female,yellow,0.556,up in RA,TRUE,CARD8,0.247637227476699,2.56390441474642e-07,0.806
Female,yellow,0.556,up in RA,TRUE,CASC4,0.261885810221325,1.07798864800857e-05,0.881
Female,yellow,0.556,up in RA,TRUE,CASP1,0.162985080609608,0.000168848289667584,0.517
Female,yellow,0.556,up in RA,TRUE,CCDC126,0.619810109631483,1.14056474817687e-08,0.927
Female,yellow,0.556,up in RA,TRUE,CCDC146,0.335249223494369,6.34109368909987e-05,0.575
Female,yellow,0.556,up in RA,TRUE,CCNDBP1,0.197566670628121,6.59038939318982e-08,0.644
Female,yellow,0.556,up in RA,TRUE,CCNG2,0.298554929268898,1.93117439267941e-06,0.818
Female,yellow,0.556,up in RA,TRUE,CCNT2,0.382801736916696,1.48163622225089e-07,0.787
