module,size,n_samples,cor_Control,p_Control,cor_RA,p_RA,is_disease_module,stratum
yellow,708,173,-0.556,1.91e-15,0.556,1.91e-15,TRUE,All samples
turquoise,2584,173,-0.369,6.09e-07,0.369,6.09e-07,FALSE,All samples
red,525,173,-0.289,0.000118,0.289,0.000118,FALSE,All samples
grey,6019,173,-0.161,0.0342,0.161,0.0342,FALSE,All samples
pink,172,173,-0.073,0.337,0.073,0.337,FALSE,All samples
tan,34,173,0.097,0.204,-0.097,0.204,FALSE,All samples
magenta,127,173,0.156,0.0406,-0.156,0.0406,FALSE,All samples
black,295,173,0.212,0.00512,-0.212,0.00512,FALSE,All samples
greenyellow,108,173,0.216,0.00423,-0.216,0.00423,FALSE,All samples
blue,2554,173,0.286,0.000134,-0.286,0.000134,FALSE,All samples
purple,120,173,0.317,2.1e-05,-0.317,2.1e-05,FALSE,All samples
green,639,173,0.362,9.59e-07,-0.362,9.59e-07,FALSE,All samples
brown,1878,173,0.59,1.29e-17,-0.59,1.29e-17,TRUE,All samples
yellow,708,138,-0.485,1.69e-09,0.485,1.69e-09,TRUE,Female
red,525,138,-0.306,0.000258,0.306,0.000258,FALSE,Female
turquoise,2584,138,-0.269,0.00141,0.269,0.00141,FALSE,Female
pink,172,138,-0.082,0.338,0.082,0.338,FALSE,Female
grey,6019,138,-0.043,0.619,0.043,0.619,FALSE,Female
tan,34,138,0.066,0.439,-0.066,0.439,FALSE,Female
magenta,127,138,0.12,0.161,-0.12,0.161,FALSE,Female
black,295,138,0.149,0.082,-0.149,0.082,FALSE,Female
blue,2554,138,0.182,0.0325,-0.182,0.0325,FALSE,Female
greenyellow,108,138,0.229,0.00689,-0.229,0.00689,FALSE,Female
purple,120,138,0.316,0.00016,-0.316,0.00016,FALSE,Female
green,639,138,0.354,2.08e-05,-0.354,2.08e-05,FALSE,Female
brown,1878,138,0.515,1e-10,-0.515,1e-10,TRUE,Female
yellow,708,35,-0.772,5.51e-08,0.772,5.51e-08,TRUE,Male
turquoise,2584,35,-0.643,3.15e-05,0.643,3.15e-05,FALSE,Male
grey,6019,35,-0.486,0.00311,0.486,0.00311,FALSE,Male
red,525,35,-0.258,0.135,0.258,0.135,FALSE,Male
pink,172,35,-0.018,0.917,0.018,0.917,FALSE,Male
greenyellow,108,35,0.115,0.51,-0.115,0.51,FALSE,Male
tan,34,35,0.186,0.285,-0.186,0.285,FALSE,Male
magenta,127,35,0.303,0.0767,-0.303,0.0767,FALSE,Male
purple,120,35,0.357,0.0351,-0.357,0.0351,FALSE,Male
black,295,35,0.378,0.0253,-0.378,0.0253,FALSE,Male
green,639,35,0.476,0.00384,-0.476,0.00384,FALSE,Male
blue,2554,35,0.55,0.000624,-0.55,0.000624,FALSE,Male
brown,1878,35,0.813,2.88e-09,-0.813,2.88e-09,TRUE,Male
