sex,term,coef,alpha
Female,(Intercept),0.5742,0.1
Female,WDR46,-0.1518,0.1
Female,AIF1,-0.0451,0.1
Female,VPS52,-0.1104,0.1
Female,GNL1,-0.3318,0.1
Female,VARS2,0.1901,0.1
Female,AP4B1,0.0794,0.1
Female,CSNK2B,0.1091,0.1
Female,LSM2,-0.0722,0.1
Female,HLA.DPA1,-0.136,0.1
Female,BRD2,-0.091,0.1
Female,C6orf136,-0.293,0.1
Female,IKZF3,-0.2005,0.1
Female,NCOA5,0.1038,0.1
Female,DAXX,0.0504,0.1
Female,ZBTB9,-0.0244,0.1
Female,MED1,-0.398,0.1
Female,INPP5B,0.0248,0.1
Female,ZNF785,-0.019,0.1
Female,SMARCC2,-0.1841,0.1
Female,SH2B1,-0.0824,0.1
Female,LPCAT2,-0.0154,0.1
Female,CDC37,-0.1029,0.1
Female,ESYT1,-0.3467,0.1
Female,LAX1,-0.0624,0.1
Female,RETSAT,-0.0577,0.1
Female,FCGR2B,0.2305,0.1
Male,(Intercept),-0.9143,0.1
Male,HLA.DRB1,-0.512,0.1
Male,AIF1,0.5211,0.1
Male,VPS52,-0.2539,0.1
Male,VARS2,-0.1174,0.1
Male,AP4B1,-0.3402,0.1
Male,HLA.DMA,-0.8249,0.1
Male,CSNK2B,-0.3437,0.1
Male,BRD2,-0.2833,0.1
Male,C6orf136,-0.4637,0.1
Male,PHF19,-0.2082,0.1
Male,IKZF3,-0.1097,0.1
Male,NCOA5,-0.1756,0.1
Male,DAXX,-0.034,0.1
Male,PGAP3,-0.1528,0.1
Male,TAB1,-0.5287,0.1
Male,MED1,-0.791,0.1
Male,INPP5B,-0.7191,0.1
Male,ZNF785,-0.1883,0.1
Male,SMARCC2,-0.63,0.1
Male,SH2B1,-0.0745,0.1
Male,LPCAT2,0.2172,0.1
Male,CDC37,0.0069,0.1
Male,KLF2,-0.772,0.1
Male,ESYT1,-0.6481,0.1
