panel,ID,label,axis,sex,n,fdr,NES,genes
A_shared_ORA,hsa00020,Citrate (TCA) cycle,Cell fate / metabolism,Female,18,0.000577726513574667,,
A_shared_ORA,hsa00020,Citrate (TCA) cycle,Cell fate / metabolism,Male,19,0.000664127975771127,,
A_shared_ORA,hsa04010,MAPK signalling,Cytokine / signalling,Female,95,0.0272752790834137,,
A_shared_ORA,hsa04010,MAPK signalling,Cytokine / signalling,Male,106,0.0232830075230314,,
A_shared_ORA,hsa04062,Chemokine signalling,Cytokine / signalling,Female,63,0.0396715509248685,,
A_shared_ORA,hsa04062,Chemokine signalling,Cytokine / signalling,Male,71,0.0265793733457967,,
A_shared_ORA,hsa04066,HIF-1 signalling,Cell fate / metabolism,Female,46,0.000913735676875272,,
A_shared_ORA,hsa04066,HIF-1 signalling,Cell fate / metabolism,Male,52,0.00022890647365326,,
A_shared_ORA,hsa04140,Autophagy,Cell fate / metabolism,Female,71,4.22221278508495e-05,,
A_shared_ORA,hsa04140,Autophagy,Cell fate / metabolism,Male,78,1.48662230330063e-05,,
A_shared_ORA,hsa04141,Protein processing in ER,Cell fate / metabolism,Female,78,1.20735189368265e-06,,
A_shared_ORA,hsa04141,Protein processing in ER,Cell fate / metabolism,Male,89,4.76280989475256e-08,,
A_shared_ORA,hsa04142,Lysosome,Cell fate / metabolism,Female,94,0.000143515968972618,,
A_shared_ORA,hsa04142,Lysosome,Cell fate / metabolism,Male,112,9.40389923054171e-07,,
A_shared_ORA,hsa04150,mTOR signalling,Cell fate / metabolism,Female,62,0.000668069781179286,,
A_shared_ORA,hsa04150,mTOR signalling,Cell fate / metabolism,Male,64,0.00425105038667209,,
A_shared_ORA,hsa04210,Apoptosis,Cell fate / metabolism,Female,51,0.00728591601111161,,
A_shared_ORA,hsa04210,Apoptosis,Cell fate / metabolism,Male,54,0.0177904256848929,,
A_shared_ORA,hsa04216,Ferroptosis,Cell fate / metabolism,Female,18,0.032135756514854,,
A_shared_ORA,hsa04216,Ferroptosis,Cell fate / metabolism,Male,24,0.000801789933973222,,
A_shared_ORA,hsa04621,NOD-like receptor signalling,Innate,Female,64,0.0147855633821341,,
A_shared_ORA,hsa04621,NOD-like receptor signalling,Innate,Male,72,0.00926748963485235,,
A_shared_ORA,hsa04623,Cytosolic DNA sensing,Innate,Female,31,0.0324685586685675,,
A_shared_ORA,hsa04623,Cytosolic DNA sensing,Innate,Male,34,0.0327397205225871,,
A_shared_ORA,hsa04658,Th1 / Th2 cell differentiation,Adaptive,Female,37,0.00707290095705652,,
A_shared_ORA,hsa04658,Th1 / Th2 cell differentiation,Adaptive,Male,43,0.00151967145416036,,
A_shared_ORA,hsa04659,Th17 cell differentiation,Adaptive,Female,52,1.24471094302342e-05,,
A_shared_ORA,hsa04659,Th17 cell differentiation,Adaptive,Male,55,1.796933106124e-05,,
A_shared_ORA,hsa04660,T cell receptor signalling,Adaptive,Female,51,0.000487601082930885,,
A_shared_ORA,hsa04660,T cell receptor signalling,Adaptive,Male,58,8.51944011192432e-05,,
A_shared_ORA,hsa04662,B cell receptor signalling,Adaptive,Female,43,9.30871106395467e-05,,
A_shared_ORA,hsa04662,B cell receptor signalling,Adaptive,Male,44,0.000458383971530758,,
A_shared_ORA,hsa04668,TNF signalling,Cytokine / signalling,Female,46,0.00471536859106071,,
A_shared_ORA,hsa04668,TNF signalling,Cytokine / signalling,Male,52,0.00194307858666299,,
A_shared_ORA,hsa04919,Thyroid hormone signalling,Hormonal,Female,55,4.22221278508495e-05,,
A_shared_ORA,hsa04919,Thyroid hormone signalling,Hormonal,Male,60,1.796933106124e-05,,
A_shared_ORA,hsa05235,PD-L1 / PD-1 checkpoint,Adaptive,Female,42,0.000143515968972618,,
A_shared_ORA,hsa05235,PD-L1 / PD-1 checkpoint,Adaptive,Male,45,0.00015869605935862,,
B_sex_restricted_ORA,hsa00061,Fatty acid biosynthesis,Cell fate / metabolism,Female,12,0.00188008895180045,,
B_sex_restricted_ORA,hsa00190,Oxidative phosphorylation,Cell fate / metabolism,Male,55,0.011945698932875,,
B_sex_restricted_ORA,hsa01522,Endocrine resistance,Hormonal,Female,37,0.0194927681700524,,
B_sex_restricted_ORA,hsa04064,NF-kB signalling,Cytokine / signalling,Female,47,0.000152578724894549,,
B_sex_restricted_ORA,hsa04068,FoxO signalling,Cytokine / signalling,Female,51,0.00337699878462883,,
B_sex_restricted_ORA,hsa04115,p53 signalling,Cytokine / signalling,Female,33,0.00209134973873237,,
B_sex_restricted_ORA,hsa04145,Phagocytosis,Innate,Male,95,0.0126975410267609,,
B_sex_restricted_ORA,hsa04330,Notch signalling,Cytokine / signalling,Female,25,0.02877067163852,,
B_sex_restricted_ORA,hsa04370,VEGF signalling,Cytokine / signalling,Male,28,0.00976824532736177,,
B_sex_restricted_ORA,hsa04380,Osteoclast differentiation,Bone,Male,55,0.0204876598187604,,
B_sex_restricted_ORA,hsa04611,Platelet activation,Innate,Male,50,0.0176643052516721,,
B_sex_restricted_ORA,hsa04620,Toll-like receptor signalling,Innate,Male,43,0.0301092292681656,,
B_sex_restricted_ORA,hsa04625,C-type lectin receptor signalling,Innate,Male,46,0.00338375855651231,,
B_sex_restricted_ORA,hsa04664,Fc epsilon RI signalling,Innate,Male,29,0.0351387354424322,,
B_sex_restricted_ORA,hsa04666,Fc gamma R-mediated phagosome formation,Innate,Male,41,0.0136095242136136,-1.95218139547962,
