gene,panel,Train,Internal test,External blood,External synovium
C6orf136,Female,0.784,0.804,0.964,0.919642857142857
ESYT1,Female,0.81,0.8,0.836,0.615131578947368
ESYT1,Male,0.938,1,0.7,0.615131578947368
GNL1,Female,0.765,0.593,0.7,0.924342105263158
IKZF3,Female,0.738,0.66,0.521,0.164473684210526
MED1,Female,0.793,0.713,0.586,0.273496240601504
MED1,Male,0.863,0.976,0.35,0.273496240601504
SMARCC2,Female,0.795,0.837,0.657,0.992246240601504
SMARCC2,Male,0.938,1,0.6,0.992246240601504
HLA-DMA,Male,0.927,0.952,0.975,0.149906015037594
INPP5B,Male,0.812,0.952,0.55,0.610902255639098
VPS52,Male,0.877,1,0.35,0.793468045112782
